0.00.154.924 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.155.032 I srv          init: The UI is disabled
0.00.155.032 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.155.128 W srv  llama_server: -----------------
0.00.155.131 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.155.133 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.155.133 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.155.134 W srv  llama_server: -----------------
0.00.170.675 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\bartowski\Meta-Llama-3.1-8B-Instruct-GGUF\Meta-Llama-3.1-8B-Instruct-Q8_0.gguf'
0.07.507.397 I cmn          init: llama threadpool init, n_threads = 6
0.07.744.933 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.07.757.648 I srv  llama_server: model loaded
0.07.757.651 I srv  llama_server: listening on http://127.0.0.1:8110
0.08.841.986 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.843.305 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.12.440.974 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.03, t =   3.60 s / 1138.53 tokens per second
0.14.990.890 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.05, t =   6.15 s / 999.43 tokens per second
0.17.919.141 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.07, t =   9.08 s / 902.63 tokens per second
0.21.273.699 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.08, t =  12.43 s / 823.79 tokens per second
0.24.990.706 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.10, t =  16.15 s / 761.00 tokens per second
0.29.986.152 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.11, t =  21.14 s / 678.06 tokens per second
0.34.342.857 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.13, t =  25.50 s / 642.53 tokens per second
0.39.584.047 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.15, t =  30.74 s / 599.60 tokens per second
0.45.151.462 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.16, t =  36.31 s / 564.06 tokens per second
0.51.419.998 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.18, t =  42.58 s / 529.12 tokens per second
