0.00.154.133 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.154.241 I srv          init: The UI is disabled
0.00.154.241 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.154.339 W srv  llama_server: -----------------
0.00.154.342 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.154.343 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.154.344 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.154.344 W srv  llama_server: -----------------
0.00.158.491 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\bartowski\Meta-Llama-3.1-8B-Instruct-GGUF\Meta-Llama-3.1-8B-Instruct-Q8_0.gguf'
0.00.158.584 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.07.307.144 W internal AllReduce init failed (n_devices != 2?); falling back to meta-backend butterfly
0.07.367.572 I cmn          init: llama threadpool init, n_threads = 6
0.07.618.701 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 130048, kv_unified = 'false'
0.07.618.847 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.07.632.713 I srv  llama_server: model loaded
0.07.632.716 I srv  llama_server: listening on http://127.0.0.1:8110
0.08.793.562 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.793.587 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.16.054.311 I slot print_timing: id  0 | task 0 | prompt eval time =    7260.67 ms /  4096 tokens (    1.77 ms per token,   564.14 tokens per second)
0.16.054.316 I slot print_timing: id  0 | task 0 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.16.054.317 I slot print_timing: id  0 | task 0 |       total time =    7260.67 ms /  4097 tokens
0.16.054.319 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.16.054.738 I slot      release: id  0 | task 0 | stop processing: n_tokens = 4096, truncated = 0
0.16.057.430 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.889 (> 0.100 thold), f_keep = 1.000
0.16.057.579 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.17.034.179 I slot print_timing: id  0 | task 3 | prompt eval time =     976.58 ms /   512 tokens (    1.91 ms per token,   524.28 tokens per second)
0.17.034.184 I slot print_timing: id  0 | task 3 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.17.034.185 I slot print_timing: id  0 | task 3 |       total time =     976.58 ms /   513 tokens
0.17.034.186 I slot print_timing: id  0 | task 3 |    graphs reused =          1
0.17.034.470 I slot      release: id  0 | task 3 | stop processing: n_tokens = 4608, truncated = 0
0.17.055.939 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.692 (> 0.100 thold), f_keep = 1.000
0.17.056.108 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.23.792.106 I slot print_timing: id  0 | task 5 | prompt eval time =    4117.39 ms /  2048 tokens (    2.01 ms per token,   497.40 tokens per second)
0.23.792.110 I slot print_timing: id  0 | task 5 |        eval time =    2618.56 ms /   128 tokens (   20.62 ms per token,    48.50 tokens per second)
0.23.792.111 I slot print_timing: id  0 | task 5 |       total time =    6735.95 ms /  2176 tokens
0.23.792.112 I slot print_timing: id  0 | task 5 |    graphs reused =        127
0.23.792.508 I slot      release: id  0 | task 5 | stop processing: n_tokens = 6783, truncated = 0
0.23.820.794 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.414 (> 0.100 thold), f_keep = 1.000
0.23.820.966 I slot launch_slot_: id  0 | task 134 | processing task, is_child = 0
0.27.439.257 I slot print_timing: id  0 | task 134 | prompt processing, n_tokens =   2048, progress = 0.54, t =   3.62 s / 566.02 tokens per second
0.32.172.165 I slot print_timing: id  0 | task 134 | prompt processing, n_tokens =   4096, progress = 0.66, t =   8.35 s / 490.47 tokens per second
0.37.227.735 I slot print_timing: id  0 | task 134 | prompt processing, n_tokens =   6144, progress = 0.79, t =  13.41 s / 458.28 tokens per second
0.42.726.381 I slot print_timing: id  0 | task 134 | prompt processing, n_tokens =   8192, progress = 0.91, t =  18.91 s / 433.32 tokens per second
0.47.874.468 I slot print_timing: id  0 | task 134 | prompt eval time =   24053.38 ms /  9601 tokens (    2.51 ms per token,   399.15 tokens per second)
0.47.874.473 I slot print_timing: id  0 | task 134 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.47.874.474 I slot print_timing: id  0 | task 134 |       total time =   24053.38 ms /  9602 tokens
0.47.874.474 I slot print_timing: id  0 | task 134 |    graphs reused =        127
0.47.875.469 I slot      release: id  0 | task 134 | stop processing: n_tokens = 16384, truncated = 0
0.47.882.062 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.970 (> 0.100 thold), f_keep = 1.000
0.47.882.225 I slot launch_slot_: id  0 | task 140 | processing task, is_child = 0
0.49.389.797 I slot print_timing: id  0 | task 140 | prompt eval time =    1507.53 ms /   512 tokens (    2.94 ms per token,   339.63 tokens per second)
0.49.389.802 I slot print_timing: id  0 | task 140 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.49.389.803 I slot print_timing: id  0 | task 140 |       total time =    1507.53 ms /   513 tokens
0.49.389.803 I slot print_timing: id  0 | task 140 |    graphs reused =        127
0.49.390.735 I slot      release: id  0 | task 140 | stop processing: n_tokens = 16896, truncated = 0
0.49.423.812 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.892 (> 0.100 thold), f_keep = 1.000
0.49.423.984 I slot launch_slot_: id  0 | task 142 | processing task, is_child = 0
0.58.522.366 I slot print_timing: id  0 | task 142 | prompt eval time =    6083.31 ms /  2048 tokens (    2.97 ms per token,   336.66 tokens per second)
0.58.522.370 I slot print_timing: id  0 | task 142 |        eval time =    3015.02 ms /   128 tokens (   23.74 ms per token,    42.12 tokens per second)
0.58.522.371 I slot print_timing: id  0 | task 142 |       total time =    9098.33 ms /  2176 tokens
0.58.522.372 I slot print_timing: id  0 | task 142 |    graphs reused =        253
0.58.523.307 I slot      release: id  0 | task 142 | stop processing: n_tokens = 19071, truncated = 0
0.58.536.558 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.582 (> 0.100 thold), f_keep = 1.000
0.58.536.736 I slot launch_slot_: id  0 | task 271 | processing task, is_child = 0
1.03.746.396 I slot print_timing: id  0 | task 271 | prompt processing, n_tokens =   2048, progress = 0.64, t =   5.21 s / 393.12 tokens per second
1.10.413.798 I slot print_timing: id  0 | task 271 | prompt processing, n_tokens =   4096, progress = 0.71, t =  11.88 s / 344.87 tokens per second
1.17.393.231 I slot print_timing: id  0 | task 271 | prompt processing, n_tokens =   6144, progress = 0.77, t =  18.86 s / 325.83 tokens per second
1.24.696.555 I slot print_timing: id  0 | task 271 | prompt processing, n_tokens =   8192, progress = 0.83, t =  26.16 s / 313.15 tokens per second
1.32.320.004 I slot print_timing: id  0 | task 271 | prompt processing, n_tokens =  10240, progress = 0.89, t =  33.78 s / 303.11 tokens per second
1.41.004.915 I slot print_timing: id  0 | task 271 | prompt processing, n_tokens =  12288, progress = 0.96, t =  42.47 s / 289.35 tokens per second
1.48.455.810 I slot print_timing: id  0 | task 271 | prompt eval time =   49918.83 ms / 13697 tokens (    3.64 ms per token,   274.39 tokens per second)
1.48.455.814 I slot print_timing: id  0 | task 271 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
1.48.455.815 I slot print_timing: id  0 | task 271 |       total time =   49918.83 ms / 13698 tokens
1.48.455.815 I slot print_timing: id  0 | task 271 |    graphs reused =        253
1.48.457.572 I slot      release: id  0 | task 271 | stop processing: n_tokens = 32768, truncated = 0
1.48.495.125 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.985 (> 0.100 thold), f_keep = 1.000
1.48.495.286 I slot launch_slot_: id  0 | task 279 | processing task, is_child = 0
1.50.611.031 I slot print_timing: id  0 | task 279 | prompt eval time =    2115.72 ms /   512 tokens (    4.13 ms per token,   242.00 tokens per second)
1.50.611.035 I slot print_timing: id  0 | task 279 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
1.50.611.036 I slot print_timing: id  0 | task 279 |       total time =    2115.72 ms /   513 tokens
1.50.611.037 I slot print_timing: id  0 | task 279 |    graphs reused =        253
1.50.612.652 I slot      release: id  0 | task 279 | stop processing: n_tokens = 33280, truncated = 0
1.50.644.453 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.942 (> 0.100 thold), f_keep = 1.000
