0.00.151.572 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.151.680 I srv          init: The UI is disabled
0.00.151.681 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.151.775 W srv  llama_server: -----------------
0.00.151.779 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.151.780 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.151.780 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.151.781 W srv  llama_server: -----------------
0.00.160.757 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\bartowski\Meta-Llama-3.1-8B-Instruct-GGUF\Meta-Llama-3.1-8B-Instruct-Q8_0.gguf'
0.06.568.473 I cmn          init: llama threadpool init, n_threads = 6
0.06.811.319 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.06.826.965 I srv  llama_server: model loaded
0.06.826.969 I srv  llama_server: listening on http://127.0.0.1:8110
0.08.629.282 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.629.313 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.15.685.893 I slot print_timing: id  0 | task 0 | n_gen =    105, tg =  34.44 t/s, tg_3s =  34.77 t/s
0.16.352.485 I slot print_timing: id  0 | task 0 | prompt eval time =    4036.90 ms /  3713 tokens (    1.09 ms per token,   919.77 tokens per second)
0.16.352.489 I slot print_timing: id  0 | task 0 |        eval time =    3686.22 ms /   128 tokens (   29.03 ms per token,    34.45 tokens per second)
0.16.352.490 I slot print_timing: id  0 | task 0 |       total time =    7723.12 ms /  3841 tokens
0.16.352.491 I slot print_timing: id  0 | task 0 |    graphs reused =        127
0.16.352.856 I slot      release: id  0 | task 0 | stop processing: n_tokens = 3840, truncated = 0
0.16.406.991 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.231 (> 0.100 thold), f_keep = 0.966
0.16.407.170 I slot launch_slot_: id  0 | task 130 | processing task, is_child = 0
0.20.750.415 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =   4096, progress = 0.49, t =   4.34 s / 943.08 tokens per second
0.23.619.383 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =   6144, progress = 0.61, t =   7.21 s / 851.89 tokens per second
0.26.880.012 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =   8192, progress = 0.74, t =  10.47 s / 782.22 tokens per second
0.30.552.873 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =  10240, progress = 0.87, t =  14.15 s / 723.90 tokens per second
0.34.488.999 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =  12288, progress = 0.99, t =  18.08 s / 679.58 tokens per second
0.39.630.978 I slot print_timing: id  0 | task 130 | n_gen =    100, tg =  31.19 t/s, tg_3s =  31.50 t/s
0.40.527.493 I slot print_timing: id  0 | task 130 | prompt eval time =   20049.24 ms / 12374 tokens (    1.62 ms per token,   617.18 tokens per second)
0.40.527.497 I slot print_timing: id  0 | task 130 |        eval time =    4070.97 ms /   128 tokens (   32.05 ms per token,    31.20 tokens per second)
0.40.527.498 I slot print_timing: id  0 | task 130 |       total time =   24120.21 ms / 12502 tokens
0.40.527.499 I slot print_timing: id  0 | task 130 |    graphs reused =        252
0.40.528.453 I slot      release: id  0 | task 130 | stop processing: n_tokens = 16212, truncated = 0
0.40.661.463 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.495 (> 0.100 thold), f_keep = 0.992
0.40.661.642 I slot launch_slot_: id  0 | task 265 | processing task, is_child = 0
0.44.065.594 I slot print_timing: id  0 | task 265 | prompt processing, n_tokens =   2048, progress = 0.56, t =   3.40 s / 601.67 tokens per second
0.48.820.807 I slot print_timing: id  0 | task 265 | prompt processing, n_tokens =   4096, progress = 0.62, t =   8.16 s / 502.02 tokens per second
0.53.912.719 I slot print_timing: id  0 | task 265 | prompt processing, n_tokens =   6144, progress = 0.68, t =  13.25 s / 463.66 tokens per second
0.59.280.093 I slot print_timing: id  0 | task 265 | prompt processing, n_tokens =   8192, progress = 0.75, t =  18.62 s / 440.00 tokens per second
1.04.948.918 I slot print_timing: id  0 | task 265 | prompt processing, n_tokens =  10240, progress = 0.81, t =  24.29 s / 421.62 tokens per second
1.11.469.147 I slot print_timing: id  0 | task 265 | prompt processing, n_tokens =  12288, progress = 0.87, t =  30.81 s / 398.87 tokens per second
