0.00.155.851 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.155.961 I srv          init: The UI is disabled
0.00.155.962 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.156.057 W srv  llama_server: -----------------
0.00.156.060 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.156.061 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.156.062 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.156.062 W srv  llama_server: -----------------
0.00.165.412 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\mradermacher\Mistral-Small-4-119B-2603-i1-GGUF\Mistral-Small-4-119B-2603.i1-IQ1_M.gguf'
0.00.607.526 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
0.21.741.086 W llama_context: setting new yarn_attn_factor = 1.0000 (mscale == 1.0, mscale_all_dim = 1.0)
0.21.858.101 I cmn          init: llama threadpool init, n_threads = 6
0.22.087.487 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 134144, kv_unified = 'false'
0.22.087.648 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.22.095.685 I srv  llama_server: model loaded
0.22.095.689 I srv  llama_server: listening on http://127.0.0.1:8110
0.22.937.529 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.937.593 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.36.194.129 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.03, t =  13.26 s / 154.49 tokens per second
0.50.476.153 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.06, t =  27.54 s / 148.74 tokens per second
1.05.798.558 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.09, t =  42.86 s / 143.35 tokens per second
1.22.226.846 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.12, t =  59.29 s / 138.17 tokens per second
1.40.297.105 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.16, t =  77.36 s / 132.37 tokens per second
2.00.172.776 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.19, t =  97.23 s / 126.37 tokens per second
2.20.880.610 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.22, t = 117.94 s / 121.55 tokens per second
2.43.841.675 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.25, t = 140.90 s / 116.28 tokens per second
3.08.210.431 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.28, t = 165.27 s / 111.53 tokens per second
