0.00.155.772 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.155.894 I srv          init: The UI is disabled
0.00.155.894 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.156.001 W srv  llama_server: -----------------
0.00.156.004 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.156.005 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.156.005 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.156.006 W srv  llama_server: -----------------
0.00.160.128 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\mradermacher\Mistral-Small-4-119B-2603-i1-GGUF\Mistral-Small-4-119B-2603.i1-IQ1_M.gguf'
0.00.604.276 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
0.22.617.084 W llama_context: setting new yarn_attn_factor = 1.0000 (mscale == 1.0, mscale_all_dim = 1.0)
0.22.725.535 I cmn          init: llama threadpool init, n_threads = 6
0.22.973.976 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.22.994.690 I srv  llama_server: model loaded
0.22.994.694 I srv  llama_server: listening on http://127.0.0.1:8110
0.24.735.453 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.24.735.483 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.38.146.816 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.56, t =  13.41 s / 152.71 tokens per second
0.52.609.908 I slot print_timing: id  0 | task 0 | n_gen =    111, tg =  36.45 t/s, tg_3s =  36.78 t/s
0.53.076.744 I slot print_timing: id  0 | task 0 | prompt eval time =   24856.26 ms /  3638 tokens (    6.83 ms per token,   146.36 tokens per second)
0.53.076.748 I slot print_timing: id  0 | task 0 |        eval time =    3484.84 ms /   128 tokens (   27.44 ms per token,    36.44 tokens per second)
0.53.076.749 I slot print_timing: id  0 | task 0 |       total time =   28341.10 ms /  3766 tokens
0.53.076.750 I slot print_timing: id  0 | task 0 |    graphs reused =        127
0.53.077.112 I slot      release: id  0 | task 0 | stop processing: n_tokens = 3765, truncated = 0
0.53.166.293 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.222 (> 0.100 thold), f_keep = 0.967
0.53.166.466 I slot launch_slot_: id  0 | task 130 | processing task, is_child = 0
1.08.614.299 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =   2048, progress = 0.35, t =  15.45 s / 132.58 tokens per second
1.25.068.265 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =   4096, progress = 0.47, t =  31.90 s / 128.39 tokens per second
1.43.071.684 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =   6144, progress = 0.60, t =  49.90 s / 123.11 tokens per second
2.02.875.055 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =   8192, progress = 0.72, t =  69.71 s / 117.52 tokens per second
2.23.407.753 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =  10240, progress = 0.85, t =  90.24 s / 113.47 tokens per second
2.46.231.036 I slot print_timing: id  0 | task 130 | prompt processing, n_tokens =  12288, progress = 0.97, t = 113.06 s / 108.68 tokens per second
2.55.063.859 I slot print_timing: id  0 | task 130 | n_gen =    100, tg =  31.71 t/s, tg_3s =  32.03 t/s
2.55.945.268 I slot print_timing: id  0 | task 130 | prompt eval time =  118774.54 ms / 12745 tokens (    9.32 ms per token,   107.30 tokens per second)
2.55.945.272 I slot print_timing: id  0 | task 130 |        eval time =    4003.68 ms /   128 tokens (   31.53 ms per token,    31.72 tokens per second)
2.55.945.275 I slot print_timing: id  0 | task 130 |       total time =  122778.22 ms / 12873 tokens
2.55.945.276 I slot print_timing: id  0 | task 130 |    graphs reused =        253
2.55.946.202 I slot      release: id  0 | task 130 | stop processing: n_tokens = 16511, truncated = 0
