0.00.151.589 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.151.697 I srv          init: The UI is disabled
0.00.151.698 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.151.793 W srv  llama_server: -----------------
0.00.151.797 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.151.798 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.151.798 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.151.799 W srv  llama_server: -----------------
0.00.158.378 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\ggml-org\NVIDIA-Nemotron-3.5-Lightning-30B-A3B-GGUF\NVIDIA-Nemotron-3.5-Lightning-30B-A3B-Q4_0.gguf'
0.14.329.727 I cmn          init: llama threadpool init, n_threads = 6
0.14.610.979 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.14.620.053 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.14.620.076 I srv  llama_server: model loaded
0.14.620.079 I srv  llama_server: listening on http://127.0.0.1:8110
0.16.928.883 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.16.928.998 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.21.375.787 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.03, t =   4.45 s / 921.13 tokens per second
0.23.864.472 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.05, t =   6.94 s / 885.89 tokens per second
0.26.372.583 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.06, t =   9.44 s / 867.47 tokens per second
0.28.902.035 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.08, t =  11.97 s / 855.26 tokens per second
0.31.443.244 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.10, t =  14.51 s / 846.62 tokens per second
0.34.004.035 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.11, t =  17.07 s / 839.59 tokens per second
0.36.611.060 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.13, t =  19.68 s / 832.44 tokens per second
0.39.257.432 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.15, t =  22.33 s / 825.50 tokens per second
0.41.947.854 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.16, t =  25.02 s / 818.59 tokens per second
0.44.825.608 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.18, t =  27.90 s / 807.56 tokens per second
0.47.914.930 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.19, t =  30.99 s / 793.14 tokens per second
0.51.051.959 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.21, t =  34.12 s / 780.24 tokens per second
0.54.412.308 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.23, t =  37.48 s / 764.93 tokens per second
0.57.842.613 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.24, t =  40.91 s / 750.85 tokens per second
1.01.554.482 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.26, t =  44.63 s / 734.29 tokens per second
1.05.327.222 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.28, t =  48.40 s / 719.37 tokens per second
1.09.154.744 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.29, t =  52.23 s / 705.86 tokens per second
1.13.046.212 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.31, t =  56.12 s / 693.41 tokens per second
1.16.975.038 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.32, t =  60.05 s / 682.15 tokens per second
