0.00.154.276 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.154.386 I srv          init: The UI is disabled
0.00.154.387 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.154.480 W srv  llama_server: -----------------
0.00.154.484 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.154.485 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.154.486 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.154.486 W srv  llama_server: -----------------
0.00.169.255 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\ggml-org\NVIDIA-Nemotron-3.5-Lightning-30B-A3B-GGUF\NVIDIA-Nemotron-3.5-Lightning-30B-A3B-Q4_0.gguf'
0.14.320.740 I cmn          init: llama threadpool init, n_threads = 6
0.14.532.042 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.14.539.215 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.14.539.240 I srv  llama_server: model loaded
0.14.539.243 I srv  llama_server: listening on http://127.0.0.1:8110
0.14.582.727 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.14.582.752 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.17.861.543 I slot print_timing: id  0 | task 0 | n_gen =    211, tg =  69.87 t/s, tg_3s =  70.20 t/s
0.20.874.969 I slot print_timing: id  0 | task 0 | n_gen =    422, tg =  69.94 t/s, tg_3s =  70.02 t/s
0.22.160.316 I slot print_timing: id  0 | task 0 | prompt eval time =     273.04 ms /    18 tokens (   15.17 ms per token,    65.92 tokens per second)
0.22.160.321 I slot print_timing: id  0 | task 0 |        eval time =    7304.41 ms /   512 tokens (   14.29 ms per token,    69.96 tokens per second)
0.22.160.322 I slot print_timing: id  0 | task 0 |       total time =    7577.45 ms /   530 tokens
0.22.160.323 I slot print_timing: id  0 | task 0 |    graphs reused =        509
0.22.160.345 I slot      release: id  0 | task 0 | stop processing: n_tokens = 529, truncated = 0
0.22.185.423 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.034
0.22.218.306 I slot launch_slot_: id  0 | task 514 | processing task, is_child = 0
0.25.432.041 I slot print_timing: id  0 | task 514 | n_gen =    211, tg =  69.96 t/s, tg_3s =  70.30 t/s
0.28.432.431 I slot print_timing: id  0 | task 514 | n_gen =    421, tg =  69.98 t/s, tg_3s =  69.99 t/s
0.29.733.240 I slot print_timing: id  0 | task 514 | prompt eval time =     212.13 ms /    18 tokens (   11.78 ms per token,    84.86 tokens per second)
0.29.733.244 I slot print_timing: id  0 | task 514 |        eval time =    7302.69 ms /   512 tokens (   14.29 ms per token,    69.97 tokens per second)
0.29.733.245 I slot print_timing: id  0 | task 514 |       total time =    7514.82 ms /   530 tokens
0.29.733.246 I slot print_timing: id  0 | task 514 |    graphs reused =       1017
0.29.733.258 I slot      release: id  0 | task 514 | stop processing: n_tokens = 529, truncated = 0
0.29.750.542 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.034
0.29.750.706 I slot launch_slot_: id  0 | task 1028 | processing task, is_child = 0
0.32.963.569 I slot print_timing: id  0 | task 1028 | n_gen =    211, tg =  69.99 t/s, tg_3s =  70.32 t/s
0.35.966.396 I slot print_timing: id  0 | task 1028 | n_gen =    421, tg =  69.96 t/s, tg_3s =  69.94 t/s
0.37.267.602 I slot print_timing: id  0 | task 1028 | prompt eval time =     212.31 ms /    18 tokens (   11.79 ms per token,    84.78 tokens per second)
0.37.267.606 I slot print_timing: id  0 | task 1028 |        eval time =    7304.48 ms /   512 tokens (   14.29 ms per token,    69.96 tokens per second)
0.37.267.607 I slot print_timing: id  0 | task 1028 |       total time =    7516.78 ms /   530 tokens
0.37.267.608 I slot print_timing: id  0 | task 1028 |    graphs reused =       1525
0.37.267.623 I slot      release: id  0 | task 1028 | stop processing: n_tokens = 529, truncated = 0
0.37.293.730 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.034
0.37.293.906 I slot launch_slot_: id  0 | task 1542 | processing task, is_child = 0
0.40.508.851 I slot print_timing: id  0 | task 1542 | n_gen =    211, tg =  69.93 t/s, tg_3s =  70.27 t/s
0.43.510.073 I slot print_timing: id  0 | task 1542 | n_gen =    421, tg =  69.95 t/s, tg_3s =  69.97 t/s
0.44.811.961 I slot print_timing: id  0 | task 1542 | prompt eval time =     212.01 ms /    18 tokens (   11.78 ms per token,    84.90 tokens per second)
0.44.811.966 I slot print_timing: id  0 | task 1542 |        eval time =    7305.94 ms /   512 tokens (   14.30 ms per token,    69.94 tokens per second)
0.44.811.967 I slot print_timing: id  0 | task 1542 |       total time =    7517.94 ms /   530 tokens
0.44.811.968 I slot print_timing: id  0 | task 1542 |    graphs reused =       2033
0.44.811.983 I slot      release: id  0 | task 1542 | stop processing: n_tokens = 529, truncated = 0
0.44.813.356 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.034
0.44.813.532 I slot launch_slot_: id  0 | task 2056 | processing task, is_child = 0
0.48.039.020 I slot print_timing: id  0 | task 2056 | n_gen =    212, tg =  70.03 t/s, tg_3s =  70.36 t/s
0.51.040.375 I slot print_timing: id  0 | task 2056 | n_gen =    422, tg =  70.00 t/s, tg_3s =  69.97 t/s
0.52.325.458 I slot print_timing: id  0 | task 2056 | prompt eval time =     212.56 ms /    18 tokens (   11.81 ms per token,    84.68 tokens per second)
0.52.325.463 I slot print_timing: id  0 | task 2056 |        eval time =    7299.25 ms /   512 tokens (   14.28 ms per token,    70.01 tokens per second)
0.52.325.464 I slot print_timing: id  0 | task 2056 |       total time =    7511.82 ms /   530 tokens
0.52.325.465 I slot print_timing: id  0 | task 2056 |    graphs reused =       2541
0.52.325.476 I slot      release: id  0 | task 2056 | stop processing: n_tokens = 529, truncated = 0
0.52.351.537 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.034
0.52.351.735 I slot launch_slot_: id  0 | task 2570 | processing task, is_child = 0
0.55.566.351 I slot print_timing: id  0 | task 2570 | n_gen =    211, tg =  69.94 t/s, tg_3s =  70.28 t/s
0.58.580.420 I slot print_timing: id  0 | task 2570 | n_gen =    422, tg =  69.97 t/s, tg_3s =  70.01 t/s
0.59.868.111 I slot print_timing: id  0 | task 2570 | prompt eval time =     212.08 ms /    18 tokens (   11.78 ms per token,    84.87 tokens per second)
0.59.868.115 I slot print_timing: id  0 | task 2570 |        eval time =    7304.18 ms /   512 tokens (   14.29 ms per token,    69.96 tokens per second)
0.59.868.116 I slot print_timing: id  0 | task 2570 |       total time =    7516.27 ms /   530 tokens
0.59.868.117 I slot print_timing: id  0 | task 2570 |    graphs reused =       3049
0.59.868.129 I slot      release: id  0 | task 2570 | stop processing: n_tokens = 529, truncated = 0
0.59.882.609 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.034
0.59.882.913 I slot launch_slot_: id  0 | task 3084 | processing task, is_child = 0
1.03.095.543 I slot print_timing: id  0 | task 3084 | n_gen =    211, tg =  69.99 t/s, tg_3s =  70.32 t/s
1.06.096.296 I slot print_timing: id  0 | task 3084 | n_gen =    421, tg =  69.99 t/s, tg_3s =  69.98 t/s
1.07.396.551 I slot print_timing: id  0 | task 3084 | prompt eval time =     212.17 ms /    18 tokens (   11.79 ms per token,    84.84 tokens per second)
1.07.396.555 I slot print_timing: id  0 | task 3084 |        eval time =    7301.34 ms /   512 tokens (   14.29 ms per token,    69.99 tokens per second)
1.07.396.556 I slot print_timing: id  0 | task 3084 |       total time =    7513.51 ms /   530 tokens
1.07.396.557 I slot print_timing: id  0 | task 3084 |    graphs reused =       3557
1.07.396.568 I slot      release: id  0 | task 3084 | stop processing: n_tokens = 529, truncated = 0
1.07.420.253 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.034
1.07.420.416 I slot launch_slot_: id  0 | task 3598 | processing task, is_child = 0
1.10.635.492 I slot print_timing: id  0 | task 3598 | n_gen =    211, tg =  69.95 t/s, tg_3s =  70.29 t/s
1.13.636.008 I slot print_timing: id  0 | task 3598 | n_gen =    421, tg =  69.97 t/s, tg_3s =  69.99 t/s
1.14.937.710 I slot print_timing: id  0 | task 3598 | prompt eval time =     213.02 ms /    18 tokens (   11.83 ms per token,    84.50 tokens per second)
1.14.937.714 I slot print_timing: id  0 | task 3598 |        eval time =    7304.17 ms /   512 tokens (   14.29 ms per token,    69.96 tokens per second)
1.14.937.714 I slot print_timing: id  0 | task 3598 |       total time =    7517.18 ms /   530 tokens
1.14.937.715 I slot print_timing: id  0 | task 3598 |    graphs reused =       4065
1.14.937.727 I slot      release: id  0 | task 3598 | stop processing: n_tokens = 529, truncated = 0
1.14.962.934 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.034
1.14.963.099 I slot launch_slot_: id  0 | task 4112 | processing task, is_child = 0
1.18.177.712 I slot print_timing: id  0 | task 4112 | n_gen =    211, tg =  69.95 t/s, tg_3s =  70.28 t/s
1.21.180.633 I slot print_timing: id  0 | task 4112 | n_gen =    421, tg =  69.94 t/s, tg_3s =  69.93 t/s
1.22.480.726 I slot print_timing: id  0 | task 4112 | prompt eval time =     212.25 ms /    18 tokens (   11.79 ms per token,    84.81 tokens per second)
1.22.480.730 I slot print_timing: id  0 | task 4112 |        eval time =    7305.27 ms /   512 tokens (   14.30 ms per token,    69.95 tokens per second)
1.22.480.731 I slot print_timing: id  0 | task 4112 |       total time =    7517.52 ms /   530 tokens
1.22.480.732 I slot print_timing: id  0 | task 4112 |    graphs reused =       4573
1.22.480.744 I slot      release: id  0 | task 4112 | stop processing: n_tokens = 529, truncated = 0
1.22.503.533 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.034
1.22.503.691 I slot launch_slot_: id  0 | task 4626 | processing task, is_child = 0
1.25.718.407 I slot print_timing: id  0 | task 4626 | n_gen =    211, tg =  69.95 t/s, tg_3s =  70.28 t/s
1.28.732.701 I slot print_timing: id  0 | task 4626 | n_gen =    422, tg =  69.97 t/s, tg_3s =  70.00 t/s
1.30.019.252 I slot print_timing: id  0 | task 4626 | prompt eval time =     212.31 ms /    18 tokens (   11.79 ms per token,    84.78 tokens per second)
1.30.019.256 I slot print_timing: id  0 | task 4626 |        eval time =    7303.14 ms /   512 tokens (   14.29 ms per token,    69.97 tokens per second)
1.30.019.257 I slot print_timing: id  0 | task 4626 |       total time =    7515.45 ms /   530 tokens
1.30.019.258 I slot print_timing: id  0 | task 4626 |    graphs reused =       5081
1.30.019.269 I slot      release: id  0 | task 4626 | stop processing: n_tokens = 529, truncated = 0
1.30.032.239 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.034
1.30.032.418 I slot launch_slot_: id  0 | task 5140 | processing task, is_child = 0
1.33.248.371 I slot print_timing: id  0 | task 5140 | n_gen =    211, tg =  69.92 t/s, tg_3s =  70.25 t/s
