0.00.175.761 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.175.867 I srv          init: The UI is disabled
0.00.175.868 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.175.968 W srv  llama_server: -----------------
0.00.175.971 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.175.972 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.175.973 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.175.973 W srv  llama_server: -----------------
0.00.178.299 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\unsloth\Qwen3-Coder-Next-GGUF\Qwen3-Coder-Next-UD-Q2_K_XL.gguf'
0.00.602.681 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
0.00.817.065 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.21.012.408 I cmn          init: llama threadpool init, n_threads = 6
0.21.288.130 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 134144, kv_unified = 'false'
0.21.288.273 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.21.294.738 I srv  llama_server: model loaded
0.21.294.744 I srv  llama_server: listening on http://127.0.0.1:8110
0.22.609.106 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.609.174 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.27.673.033 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.03, t =   5.06 s / 404.44 tokens per second
0.32.461.133 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.06, t =   9.85 s / 415.76 tokens per second
0.37.338.323 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.09, t =  14.73 s / 417.14 tokens per second
0.42.384.625 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.12, t =  19.78 s / 414.26 tokens per second
0.47.726.276 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.16, t =  25.12 s / 407.69 tokens per second
0.53.463.103 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.19, t =  30.85 s / 398.27 tokens per second
0.59.441.450 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.22, t =  36.83 s / 389.23 tokens per second
1.05.708.458 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.25, t =  43.10 s / 380.15 tokens per second
1.11.893.806 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.28, t =  49.28 s / 373.99 tokens per second
1.18.418.383 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.31, t =  55.81 s / 366.97 tokens per second
1.25.573.169 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.34, t =  62.96 s / 357.80 tokens per second
1.32.700.218 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.38, t =  70.09 s / 350.63 tokens per second
1.39.773.260 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.41, t =  77.16 s / 345.03 tokens per second
