0.00.151.815 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.151.918 I srv          init: The UI is disabled
0.00.151.919 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.152.012 W srv  llama_server: -----------------
0.00.152.016 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.152.017 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.152.017 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.152.018 W srv  llama_server: -----------------
0.00.164.057 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\unsloth\Qwen3-Coder-Next-GGUF\Qwen3-Coder-Next-UD-Q2_K_XL.gguf'
0.00.534.803 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
0.00.742.933 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.11.789.905 E ggml_backend_cuda_buffer_type_alloc_buffer: allocating 906.08 MiB on device 0: cudaMalloc failed: out of memory
0.11.789.913 E ggml_gallocr_reserve_n_impl: failed to allocate CUDA0 buffer of size 950094336
0.11.789.914 E graph_reserve: failed to allocate compute buffers
0.11.789.927 W sched_reserve: compute buffer allocation failed, retrying without pipeline parallelism
0.11.832.168 I cmn          init: llama threadpool init, n_threads = 6
0.12.088.653 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 196608, kv_unified = 'false'
0.12.093.137 I srv  llama_server: model loaded
0.12.093.140 I srv  llama_server: listening on http://127.0.0.1:8110
0.12.790.083 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.12.790.132 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.17.872.885 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.56, t =   5.08 s / 402.94 tokens per second
0.20.819.928 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3151, progress = 0.86, t =   8.03 s / 392.42 tokens per second
0.22.189.317 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3663, progress = 1.00, t =   9.40 s / 389.72 tokens per second
0.25.765.168 I slot print_timing: id  0 | task 0 | n_gen =    107, tg =  35.27 t/s, tg_3s =  35.60 t/s
0.26.358.670 I slot print_timing: id  0 | task 0 | prompt eval time =    9969.55 ms /  3667 tokens (    2.72 ms per token,   367.82 tokens per second)
0.26.358.675 I slot print_timing: id  0 | task 0 |        eval time =    3598.80 ms /   128 tokens (   28.34 ms per token,    35.29 tokens per second)
0.26.358.676 I slot print_timing: id  0 | task 0 |       total time =   13568.35 ms /  3795 tokens
0.26.358.679 I slot print_timing: id  0 | task 0 |    graphs reused =        127
0.26.358.995 I slot      release: id  0 | task 0 | stop processing: n_tokens = 3794, truncated = 0
0.26.449.138 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.226 (> 0.100 thold), f_keep = 0.966
0.26.449.331 I slot launch_slot_: id  0 | task 132 | processing task, is_child = 0
0.31.386.991 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   2048, progress = 0.35, t =   4.94 s / 414.78 tokens per second
0.36.262.670 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   4096, progress = 0.48, t =   9.81 s / 417.40 tokens per second
0.41.315.921 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   6144, progress = 0.60, t =  14.87 s / 413.28 tokens per second
0.46.505.093 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   8192, progress = 0.73, t =  20.06 s / 408.47 tokens per second
0.51.667.008 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  10240, progress = 0.86, t =  25.22 s / 406.07 tokens per second
0.56.767.715 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  12059, progress = 0.97, t =  30.32 s / 397.75 tokens per second
0.58.652.255 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  12571, progress = 1.00, t =  32.20 s / 390.37 tokens per second
