0.00.153.405 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.153.520 I srv          init: The UI is disabled
0.00.153.521 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.153.620 W srv  llama_server: -----------------
0.00.153.641 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.153.642 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.153.642 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.153.642 W srv  llama_server: -----------------
0.00.162.437 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\mradermacher\Qwen3.5-122B-A10B-i1-GGUF\Qwen3.5-122B-A10B.i1-IQ1_M.gguf'
0.00.830.581 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
0.22.152.590 I cmn          init: llama threadpool init, n_threads = 6
0.22.505.449 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 134144, kv_unified = 'false'
0.22.513.828 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.22.527.604 I srv  llama_server: model loaded
0.22.527.711 I srv  llama_server: listening on http://127.0.0.1:8110
0.22.683.343 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.683.407 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.39.742.953 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.03, t =  17.06 s / 120.05 tokens per second
0.57.676.161 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.06, t =  34.99 s / 117.05 tokens per second
1.15.847.370 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.09, t =  53.16 s / 115.57 tokens per second
1.33.845.223 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.12, t =  71.16 s / 115.12 tokens per second
1.52.885.181 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.16, t =  90.20 s / 113.52 tokens per second
2.12.517.890 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.19, t = 109.83 s / 111.88 tokens per second
2.31.519.994 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.22, t = 128.84 s / 111.27 tokens per second
2.51.943.609 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.25, t = 149.26 s / 109.77 tokens per second
3.11.876.436 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.28, t = 169.19 s / 108.94 tokens per second
3.32.245.614 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.31, t = 189.56 s / 108.04 tokens per second
3.53.467.200 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.34, t = 210.78 s / 106.88 tokens per second
4.15.237.429 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.38, t = 232.55 s / 105.68 tokens per second
4.36.650.690 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.41, t = 253.96 s / 104.83 tokens per second
4.58.736.935 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.44, t = 276.05 s / 103.86 tokens per second
5.21.286.330 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.47, t = 298.60 s / 102.88 tokens per second
5.44.271.666 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.50, t = 321.59 s / 101.90 tokens per second
6.07.619.754 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.53, t = 344.93 s / 100.94 tokens per second
6.31.146.253 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.56, t = 368.46 s / 100.05 tokens per second
6.54.860.027 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.59, t = 392.17 s / 99.22 tokens per second
7.18.614.509 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.62, t = 415.93 s / 98.48 tokens per second
7.42.926.853 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43008, progress = 0.66, t = 440.24 s / 97.69 tokens per second
8.07.868.834 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45056, progress = 0.69, t = 465.18 s / 96.86 tokens per second
8.33.195.712 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47104, progress = 0.72, t = 490.51 s / 96.03 tokens per second
8.59.072.127 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49152, progress = 0.75, t = 516.38 s / 95.18 tokens per second
9.25.163.219 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51200, progress = 0.78, t = 542.47 s / 94.38 tokens per second
9.52.118.788 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53248, progress = 0.81, t = 569.43 s / 93.51 tokens per second
10.19.285.020 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55296, progress = 0.84, t = 596.60 s / 92.69 tokens per second
