0.00.152.487 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.152.599 I srv          init: The UI is disabled
0.00.152.599 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.152.697 W srv  llama_server: -----------------
0.00.152.700 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.152.702 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.152.702 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.152.703 W srv  llama_server: -----------------
0.00.164.278 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\unsloth\Qwen3.5-9B-GGUF\Qwen3.5-9B-Q8_0.gguf'
0.00.164.382 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.08.185.014 W llama_context: n_ctx_seq (264192) > n_ctx_train (262144) -- possible training context overflow
0.08.185.043 W internal AllReduce init failed (n_devices != 2?); falling back to meta-backend butterfly
0.08.264.809 I cmn          init: llama threadpool init, n_threads = 6
0.08.434.490 W srv    load_model: the slot context (264192) exceeds the training context of the model (262144) - capping
0.08.490.355 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.08.490.493 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.08.497.158 I srv  llama_server: model loaded
0.08.497.163 I srv  llama_server: listening on http://127.0.0.1:8110
0.09.244.708 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.09.244.907 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.12.258.147 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2048, progress = 0.01, t =   3.01 s / 679.68 tokens per second
0.15.744.866 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4096, progress = 0.02, t =   6.50 s / 630.17 tokens per second
0.19.299.389 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6144, progress = 0.02, t =  10.05 s / 611.08 tokens per second
0.23.003.097 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8192, progress = 0.03, t =  13.76 s / 595.43 tokens per second
0.26.814.644 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10240, progress = 0.04, t =  17.57 s / 582.82 tokens per second
0.30.709.287 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12288, progress = 0.05, t =  21.46 s / 572.49 tokens per second
0.34.667.058 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14336, progress = 0.06, t =  25.42 s / 563.92 tokens per second
0.38.828.426 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16384, progress = 0.06, t =  29.58 s / 553.83 tokens per second
0.43.090.946 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18432, progress = 0.07, t =  33.85 s / 544.59 tokens per second
0.47.413.517 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  20480, progress = 0.08, t =  38.17 s / 536.57 tokens per second
0.51.853.308 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  22528, progress = 0.09, t =  42.61 s / 528.73 tokens per second
0.56.365.883 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  24576, progress = 0.09, t =  47.12 s / 521.55 tokens per second
1.00.959.193 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  26624, progress = 0.10, t =  51.71 s / 514.83 tokens per second
1.05.639.806 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  28672, progress = 0.11, t =  56.39 s / 508.42 tokens per second
1.10.407.421 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  30720, progress = 0.12, t =  61.16 s / 502.27 tokens per second
1.15.673.462 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  32768, progress = 0.13, t =  66.43 s / 493.28 tokens per second
1.20.783.944 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  34816, progress = 0.13, t =  71.54 s / 486.67 tokens per second
1.25.918.100 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  36864, progress = 0.14, t =  76.67 s / 480.80 tokens per second
1.31.117.110 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  38912, progress = 0.15, t =  81.87 s / 475.28 tokens per second
1.36.331.669 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  40960, progress = 0.16, t =  87.09 s / 470.34 tokens per second
1.41.640.122 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  43008, progress = 0.17, t =  92.39 s / 465.48 tokens per second
1.47.019.054 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  45056, progress = 0.17, t =  97.77 s / 460.82 tokens per second
1.52.494.261 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  47104, progress = 0.18, t = 103.25 s / 456.22 tokens per second
1.58.069.006 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  49152, progress = 0.19, t = 108.82 s / 451.67 tokens per second
2.03.724.578 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  51200, progress = 0.20, t = 114.48 s / 447.24 tokens per second
