0.00.154.848 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.154.954 I srv          init: The UI is disabled
0.00.154.955 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.155.051 W srv  llama_server: -----------------
0.00.155.054 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.155.056 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.155.056 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.155.056 W srv  llama_server: -----------------
0.00.159.026 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\unsloth\Qwen3.5-9B-GGUF\Qwen3.5-9B-Q8_0.gguf'
0.07.817.359 I cmn          init: llama threadpool init, n_threads = 6
0.08.019.349 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.08.025.931 I srv  llama_server: model loaded
0.08.025.935 I srv  llama_server: listening on http://127.0.0.1:8110
0.08.702.585 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.702.615 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.11.891.211 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3143, progress = 0.86, t =   3.19 s / 985.71 tokens per second
0.12.243.773 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3655, progress = 1.00, t =   3.54 s / 1032.16 tokens per second
0.16.371.229 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  31.48 t/s, tg_3s =  31.80 t/s
0.17.260.898 I slot print_timing: id  0 | task 0 | prompt eval time =    4524.00 ms /  3659 tokens (    1.24 ms per token,   808.80 tokens per second)
0.17.260.903 I slot print_timing: id  0 | task 0 |        eval time =    4034.23 ms /   128 tokens (   31.77 ms per token,    31.48 tokens per second)
0.17.260.904 I slot print_timing: id  0 | task 0 |       total time =    8558.23 ms /  3787 tokens
0.17.260.904 I slot print_timing: id  0 | task 0 |    graphs reused =        127
0.17.261.059 I slot      release: id  0 | task 0 | stop processing: n_tokens = 3786, truncated = 0
0.17.393.414 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.224 (> 0.100 thold), f_keep = 0.966
0.17.393.674 I slot launch_slot_: id  0 | task 132 | processing task, is_child = 0
0.21.303.558 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   4096, progress = 0.47, t =   3.91 s / 1047.61 tokens per second
0.23.459.265 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   6144, progress = 0.60, t =   6.07 s / 1012.93 tokens per second
0.25.735.676 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   8192, progress = 0.73, t =   8.34 s / 982.03 tokens per second
0.28.158.360 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  10240, progress = 0.85, t =  10.76 s / 951.27 tokens per second
0.30.672.364 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  12152, progress = 0.97, t =  13.28 s / 915.16 tokens per second
0.31.434.224 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  12664, progress = 1.00, t =  14.04 s / 901.96 tokens per second
0.35.877.722 I slot print_timing: id  0 | task 132 | n_gen =    100, tg =  30.70 t/s, tg_3s =  31.01 t/s
