0.00.189.580 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.189.701 I srv          init: The UI is disabled
0.00.189.701 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.189.792 W srv  llama_server: -----------------
0.00.189.810 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.189.812 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.189.812 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.189.812 W srv  llama_server: -----------------
0.00.191.658 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\unsloth\Qwen3.6-27B-GGUF\Qwen3.6-27B-Q4_0.gguf'
0.07.702.152 I cmn          init: llama threadpool init, n_threads = 6
0.08.045.862 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 196608, kv_unified = 'false'
0.08.053.151 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.08.053.173 I srv  llama_server: model loaded
0.08.053.174 I srv  llama_server: listening on http://127.0.0.1:8110
0.08.813.278 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.813.313 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.18.430.803 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.56, t =   9.62 s / 212.95 tokens per second
0.24.764.187 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3143, progress = 0.86, t =  15.95 s / 197.04 tokens per second
0.27.635.923 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3655, progress = 1.00, t =  18.82 s / 194.18 tokens per second
0.36.030.299 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  14.30 t/s, tg_3s =  14.44 t/s
0.37.988.257 I slot print_timing: id  0 | task 0 | prompt eval time =   20292.78 ms /  3659 tokens (    5.55 ms per token,   180.31 tokens per second)
0.37.988.261 I slot print_timing: id  0 | task 0 |        eval time =    8882.02 ms /   128 tokens (   69.94 ms per token,    14.30 tokens per second)
0.37.988.262 I slot print_timing: id  0 | task 0 |       total time =   29174.80 ms /  3787 tokens
0.37.988.262 I slot print_timing: id  0 | task 0 |    graphs reused =        127
0.37.988.550 I slot      release: id  0 | task 0 | stop processing: n_tokens = 3786, truncated = 0
0.38.123.462 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.224 (> 0.100 thold), f_keep = 0.966
0.38.123.760 I slot launch_slot_: id  0 | task 132 | processing task, is_child = 0
0.48.086.238 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   2048, progress = 0.35, t =   9.96 s / 205.57 tokens per second
0.58.223.387 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   4096, progress = 0.47, t =  20.10 s / 203.79 tokens per second
1.08.558.000 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   6144, progress = 0.60, t =  30.43 s / 201.88 tokens per second
1.19.223.969 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   8192, progress = 0.73, t =  41.10 s / 199.32 tokens per second
1.30.175.690 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  10240, progress = 0.85, t =  52.05 s / 196.73 tokens per second
1.40.639.353 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  12152, progress = 0.97, t =  62.52 s / 194.38 tokens per second
1.44.617.229 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  12664, progress = 1.00, t =  66.49 s / 190.46 tokens per second
1.53.489.337 I slot print_timing: id  0 | task 132 | n_gen =    100, tg =  13.76 t/s, tg_3s =  13.89 t/s
1.55.523.888 I slot print_timing: id  0 | task 132 | prompt eval time =   68168.13 ms / 12668 tokens (    5.38 ms per token,   185.83 tokens per second)
1.55.523.893 I slot print_timing: id  0 | task 132 |        eval time =    9231.66 ms /   128 tokens (   72.69 ms per token,    13.76 tokens per second)
1.55.523.895 I slot print_timing: id  0 | task 132 |       total time =   77399.79 ms / 12796 tokens
1.55.523.896 I slot print_timing: id  0 | task 132 |    graphs reused =        252
1.55.524.517 I slot      release: id  0 | task 132 | stop processing: n_tokens = 16450, truncated = 0
1.55.743.373 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.502 (> 0.100 thold), f_keep = 0.992
1.55.743.660 I slot launch_slot_: id  0 | task 268 | processing task, is_child = 0
2.07.368.247 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =   2048, progress = 0.56, t =  11.62 s / 176.18 tokens per second
2.19.294.375 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =   4096, progress = 0.63, t =  23.55 s / 173.92 tokens per second
2.31.581.695 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =   6144, progress = 0.69, t =  35.84 s / 171.44 tokens per second
2.44.045.010 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =   8192, progress = 0.75, t =  48.30 s / 169.60 tokens per second
2.56.739.093 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =  10240, progress = 0.82, t =  61.00 s / 167.88 tokens per second
3.09.825.630 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =  12288, progress = 0.88, t =  74.08 s / 165.87 tokens per second
3.23.053.383 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =  14336, progress = 0.94, t =  87.31 s / 164.20 tokens per second
3.32.132.698 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =  15697, progress = 0.98, t =  96.39 s / 162.85 tokens per second
3.36.809.145 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =  16209, progress = 1.00, t = 101.07 s / 160.38 tokens per second
3.46.318.342 I slot print_timing: id  0 | task 268 | n_gen =    100, tg =  13.12 t/s, tg_3s =  13.25 t/s
