0.00.168.634 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.168.738 I srv          init: The UI is disabled
0.00.168.738 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.168.831 W srv  llama_server: -----------------
0.00.168.834 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.168.836 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.168.836 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.168.837 W srv  llama_server: -----------------
0.00.185.686 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf'
0.15.765.472 I cmn          init: llama threadpool init, n_threads = 6
0.16.005.501 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.16.012.770 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.16.012.794 I srv  llama_server: model loaded
0.16.012.796 I srv  llama_server: listening on http://127.0.0.1:8110
0.17.515.228 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.17.515.425 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.20.917.635 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2076, progress = 0.01, t =   3.40 s / 610.20 tokens per second
0.24.100.521 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4124, progress = 0.02, t =   6.59 s / 626.27 tokens per second
0.27.373.542 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6172, progress = 0.03, t =   9.86 s / 626.09 tokens per second
0.30.727.153 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8220, progress = 0.04, t =  13.21 s / 622.18 tokens per second
0.34.189.194 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10268, progress = 0.04, t =  16.67 s / 615.82 tokens per second
0.37.746.188 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12316, progress = 0.05, t =  20.23 s / 608.78 tokens per second
0.41.333.356 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14364, progress = 0.06, t =  23.82 s / 603.08 tokens per second
0.45.060.490 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16412, progress = 0.07, t =  27.54 s / 595.83 tokens per second
0.48.815.390 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18460, progress = 0.08, t =  31.30 s / 589.78 tokens per second
