0.00.157.449 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.157.565 I srv          init: The UI is disabled
0.00.157.566 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.157.664 W srv  llama_server: -----------------
0.00.157.667 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.157.668 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.157.669 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.157.669 W srv  llama_server: -----------------
0.00.174.107 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf'
0.00.174.311 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.18.815.597 W llama_context: n_ctx_seq (264192) > n_ctx_train (262144) -- possible training context overflow
0.18.815.906 W internal AllReduce init failed (n_devices != 2?); falling back to meta-backend butterfly
0.18.867.762 I cmn          init: llama threadpool init, n_threads = 6
0.19.149.024 W srv    load_model: the slot context (264192) exceeds the training context of the model (262144) - capping
0.19.191.138 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.19.193.269 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.19.204.567 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.19.204.929 I srv  llama_server: model loaded
0.19.204.933 I srv  llama_server: listening on http://127.0.0.1:8110
0.21.451.232 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.21.451.432 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.24.841.155 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2048, progress = 0.01, t =   3.39 s / 604.19 tokens per second
0.28.463.957 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4096, progress = 0.02, t =   7.01 s / 584.11 tokens per second
0.32.172.093 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6144, progress = 0.02, t =  10.72 s / 573.11 tokens per second
0.35.917.565 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8192, progress = 0.03, t =  14.47 s / 566.29 tokens per second
0.39.781.772 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10240, progress = 0.04, t =  18.33 s / 558.64 tokens per second
0.43.749.598 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12288, progress = 0.05, t =  22.30 s / 551.08 tokens per second
0.47.749.478 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14336, progress = 0.06, t =  26.30 s / 545.14 tokens per second
0.51.880.906 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16384, progress = 0.06, t =  30.43 s / 538.43 tokens per second
0.56.131.810 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18432, progress = 0.07, t =  34.68 s / 531.49 tokens per second
1.00.687.311 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  20480, progress = 0.08, t =  39.24 s / 521.98 tokens per second
1.05.379.972 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  22528, progress = 0.09, t =  43.93 s / 512.84 tokens per second
1.10.189.969 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  24576, progress = 0.09, t =  48.74 s / 504.25 tokens per second
1.15.286.612 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  26624, progress = 0.10, t =  53.83 s / 494.55 tokens per second
1.20.389.308 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  28672, progress = 0.11, t =  58.94 s / 486.48 tokens per second
1.25.634.560 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  30720, progress = 0.12, t =  64.18 s / 478.64 tokens per second
1.31.029.198 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  32768, progress = 0.13, t =  69.58 s / 470.96 tokens per second
1.36.471.434 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  34816, progress = 0.13, t =  75.02 s / 464.09 tokens per second
1.42.543.952 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  36864, progress = 0.14, t =  81.09 s / 454.60 tokens per second
1.48.276.386 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  38912, progress = 0.15, t =  86.82 s / 448.17 tokens per second
1.54.067.415 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  40960, progress = 0.16, t =  92.62 s / 442.26 tokens per second
1.59.919.626 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  43008, progress = 0.17, t =  98.47 s / 436.77 tokens per second
2.05.754.413 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  45056, progress = 0.17, t = 104.30 s / 431.98 tokens per second
2.11.881.582 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  47104, progress = 0.18, t = 110.43 s / 426.55 tokens per second
2.18.391.361 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  49152, progress = 0.19, t = 116.94 s / 420.32 tokens per second
2.24.964.723 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  51200, progress = 0.20, t = 123.51 s / 414.53 tokens per second
2.31.609.720 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  53248, progress = 0.21, t = 130.16 s / 409.11 tokens per second
2.38.145.291 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  55296, progress = 0.21, t = 136.69 s / 404.53 tokens per second
2.44.838.524 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  57344, progress = 0.22, t = 143.39 s / 399.93 tokens per second
2.51.782.175 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  59392, progress = 0.23, t = 150.33 s / 395.08 tokens per second
2.58.584.708 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  61440, progress = 0.24, t = 157.13 s / 391.01 tokens per second
3.05.545.195 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  63488, progress = 0.24, t = 164.09 s / 386.90 tokens per second
3.12.532.078 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  65536, progress = 0.25, t = 171.08 s / 383.07 tokens per second
3.19.625.225 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  67584, progress = 0.26, t = 178.17 s / 379.32 tokens per second
3.27.692.628 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  69632, progress = 0.27, t = 186.24 s / 373.88 tokens per second
3.35.243.463 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  71680, progress = 0.28, t = 193.79 s / 369.88 tokens per second
3.42.698.287 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  73728, progress = 0.28, t = 201.24 s / 366.36 tokens per second
3.50.462.668 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  75776, progress = 0.29, t = 209.01 s / 362.55 tokens per second
3.58.099.708 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  77824, progress = 0.30, t = 216.65 s / 359.22 tokens per second
4.05.747.808 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  79872, progress = 0.31, t = 224.29 s / 356.10 tokens per second
4.13.925.387 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  81920, progress = 0.32, t = 232.47 s / 352.39 tokens per second
4.22.204.276 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  83968, progress = 0.32, t = 240.75 s / 348.78 tokens per second
4.30.620.040 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  86016, progress = 0.33, t = 249.17 s / 345.22 tokens per second
4.39.123.795 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  88064, progress = 0.34, t = 257.67 s / 341.77 tokens per second
4.47.756.102 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  90112, progress = 0.35, t = 266.30 s / 338.38 tokens per second
4.56.157.464 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  92160, progress = 0.36, t = 274.70 s / 335.49 tokens per second
5.04.779.595 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  94208, progress = 0.36, t = 283.33 s / 332.51 tokens per second
5.13.378.351 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  96256, progress = 0.37, t = 291.92 s / 329.73 tokens per second
5.22.575.230 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  98304, progress = 0.38, t = 301.12 s / 326.46 tokens per second
5.31.342.595 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 100352, progress = 0.39, t = 309.89 s / 323.83 tokens per second
5.40.298.750 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 102400, progress = 0.39, t = 318.84 s / 321.16 tokens per second
5.49.405.260 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 104448, progress = 0.40, t = 327.95 s / 318.49 tokens per second
5.58.652.368 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 106496, progress = 0.41, t = 337.20 s / 315.83 tokens per second
6.08.012.041 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 108544, progress = 0.42, t = 346.56 s / 313.21 tokens per second
6.17.446.523 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 110592, progress = 0.43, t = 355.99 s / 310.66 tokens per second
6.26.980.386 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 112640, progress = 0.43, t = 365.53 s / 308.16 tokens per second
6.37.255.285 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 114688, progress = 0.44, t = 375.80 s / 305.18 tokens per second
6.47.401.461 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 116736, progress = 0.45, t = 385.95 s / 302.47 tokens per second
6.57.249.849 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 118784, progress = 0.46, t = 395.79 s / 300.12 tokens per second
7.07.372.656 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 120832, progress = 0.47, t = 405.92 s / 297.68 tokens per second
7.17.386.408 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 122880, progress = 0.47, t = 415.93 s / 295.43 tokens per second
7.27.935.440 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 124928, progress = 0.48, t = 426.48 s / 292.93 tokens per second
7.38.232.695 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 126976, progress = 0.49, t = 436.78 s / 290.71 tokens per second
7.48.662.492 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 129024, progress = 0.50, t = 447.21 s / 288.51 tokens per second
7.59.709.846 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 131072, progress = 0.51, t = 458.25 s / 286.02 tokens per second
8.10.341.540 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 133120, progress = 0.51, t = 468.89 s / 283.91 tokens per second
8.21.043.519 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 135168, progress = 0.52, t = 479.59 s / 281.84 tokens per second
8.31.877.433 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 137216, progress = 0.53, t = 490.42 s / 279.79 tokens per second
8.43.262.590 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 139264, progress = 0.54, t = 501.81 s / 277.53 tokens per second
8.54.280.743 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 141312, progress = 0.54, t = 512.82 s / 275.56 tokens per second
9.05.621.111 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 143360, progress = 0.55, t = 524.16 s / 273.50 tokens per second
9.17.188.671 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 145408, progress = 0.56, t = 535.73 s / 271.42 tokens per second
9.28.650.547 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 147456, progress = 0.57, t = 547.19 s / 269.48 tokens per second
9.39.773.969 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 149504, progress = 0.58, t = 558.32 s / 267.78 tokens per second
9.51.289.721 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 151552, progress = 0.58, t = 569.83 s / 265.96 tokens per second
10.03.252.512 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 153600, progress = 0.59, t = 581.80 s / 264.01 tokens per second
10.15.376.391 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 155648, progress = 0.60, t = 593.92 s / 262.07 tokens per second
10.27.119.123 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 157696, progress = 0.61, t = 605.66 s / 260.37 tokens per second
10.38.997.963 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 159744, progress = 0.62, t = 617.54 s / 258.68 tokens per second
10.51.782.130 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 161792, progress = 0.62, t = 630.32 s / 256.68 tokens per second
11.03.990.099 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 163840, progress = 0.63, t = 642.53 s / 254.99 tokens per second
11.16.261.046 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 165888, progress = 0.64, t = 654.80 s / 253.34 tokens per second
11.29.257.626 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 167936, progress = 0.65, t = 667.80 s / 251.48 tokens per second
11.42.865.738 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 169984, progress = 0.66, t = 681.41 s / 249.46 tokens per second
11.55.391.037 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 172032, progress = 0.66, t = 693.93 s / 247.91 tokens per second
12.07.960.087 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 174080, progress = 0.67, t = 706.50 s / 246.40 tokens per second
12.20.687.202 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 176128, progress = 0.68, t = 719.23 s / 244.88 tokens per second
12.33.638.004 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 178176, progress = 0.69, t = 732.18 s / 243.35 tokens per second
12.46.976.079 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 180224, progress = 0.69, t = 745.52 s / 241.74 tokens per second
