0.00.153.072 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.153.183 I srv          init: The UI is disabled
0.00.153.184 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.153.280 W srv  llama_server: -----------------
0.00.153.283 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.153.284 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.153.285 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.153.285 W srv  llama_server: -----------------
0.00.158.242 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf'
0.16.507.476 I cmn          init: llama threadpool init, n_threads = 6
0.16.777.555 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.16.784.859 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.16.784.884 I srv  llama_server: model loaded
0.16.784.887 I srv  llama_server: listening on http://127.0.0.1:8110
0.18.842.165 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.18.842.194 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.22.186.826 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.56, t =   3.34 s / 612.33 tokens per second
0.24.216.683 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3143, progress = 0.86, t =   5.37 s / 584.80 tokens per second
0.25.165.726 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3655, progress = 1.00, t =   6.32 s / 578.01 tokens per second
0.28.356.378 I slot print_timing: id  0 | task 0 | prompt eval time =    6813.52 ms /  3659 tokens (    1.86 ms per token,   537.02 tokens per second)
0.28.356.383 I slot print_timing: id  0 | task 0 |        eval time =    2700.61 ms /   128 tokens (   21.26 ms per token,    47.03 tokens per second)
0.28.356.384 I slot print_timing: id  0 | task 0 |       total time =    9514.13 ms /  3787 tokens
0.28.356.385 I slot print_timing: id  0 | task 0 |    graphs reused =        127
0.28.356.677 I slot      release: id  0 | task 0 | stop processing: n_tokens = 3786, truncated = 0
0.28.490.151 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.224 (> 0.100 thold), f_keep = 0.966
0.28.490.443 I slot launch_slot_: id  0 | task 132 | processing task, is_child = 0
0.31.729.191 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   2048, progress = 0.35, t =   3.24 s / 632.35 tokens per second
0.35.010.534 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   4096, progress = 0.47, t =   6.52 s / 628.22 tokens per second
0.38.426.393 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   6144, progress = 0.60, t =   9.94 s / 618.36 tokens per second
0.41.944.502 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   8192, progress = 0.73, t =  13.45 s / 608.89 tokens per second
0.45.578.818 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  10240, progress = 0.85, t =  17.09 s / 599.24 tokens per second
0.49.259.472 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  12152, progress = 0.97, t =  20.77 s / 585.11 tokens per second
0.50.698.298 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  12664, progress = 1.00, t =  22.21 s / 570.25 tokens per second
0.54.141.532 I slot print_timing: id  0 | task 132 | prompt eval time =   22795.84 ms / 12668 tokens (    1.80 ms per token,   555.72 tokens per second)
0.54.141.537 I slot print_timing: id  0 | task 132 |        eval time =    2855.13 ms /   128 tokens (   22.48 ms per token,    44.48 tokens per second)
0.54.141.538 I slot print_timing: id  0 | task 132 |       total time =   25650.97 ms / 12796 tokens
0.54.141.538 I slot print_timing: id  0 | task 132 |    graphs reused =        252
0.54.142.182 I slot      release: id  0 | task 132 | stop processing: n_tokens = 16450, truncated = 0
0.54.333.348 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.502 (> 0.100 thold), f_keep = 0.992
0.54.333.635 I slot launch_slot_: id  0 | task 268 | processing task, is_child = 0
0.58.199.173 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =   2048, progress = 0.56, t =   3.87 s / 529.82 tokens per second
1.02.222.444 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =   4096, progress = 0.63, t =   7.89 s / 519.22 tokens per second
1.06.452.695 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =   6144, progress = 0.69, t =  12.12 s / 506.97 tokens per second
1.10.844.399 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =   8192, progress = 0.75, t =  16.51 s / 496.16 tokens per second
1.15.343.180 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =  10240, progress = 0.82, t =  21.01 s / 487.40 tokens per second
1.19.995.252 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =  12288, progress = 0.88, t =  25.66 s / 478.85 tokens per second
1.24.728.284 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =  14336, progress = 0.94, t =  30.39 s / 471.66 tokens per second
1.28.158.832 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =  15697, progress = 0.98, t =  33.83 s / 464.06 tokens per second
1.29.880.491 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =  16209, progress = 1.00, t =  35.55 s / 455.99 tokens per second
1.33.584.162 I slot print_timing: id  0 | task 268 | n_gen =    127, tg =  41.92 t/s, tg_3s =  42.26 t/s
1.33.608.189 I slot print_timing: id  0 | task 268 | prompt eval time =   36244.93 ms / 16213 tokens (    2.24 ms per token,   447.32 tokens per second)
1.33.608.193 I slot print_timing: id  0 | task 268 |        eval time =    3029.45 ms /   128 tokens (   23.85 ms per token,    41.92 tokens per second)
1.33.608.194 I slot print_timing: id  0 | task 268 |       total time =   39274.38 ms / 16341 tokens
1.33.608.195 I slot print_timing: id  0 | task 268 |    graphs reused =        378
1.33.609.251 I slot      release: id  0 | task 268 | stop processing: n_tokens = 32659, truncated = 0
1.33.829.745 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.509 (> 0.100 thold), f_keep = 0.996
1.33.830.024 I slot launch_slot_: id  0 | task 406 | processing task, is_child = 0
1.38.701.985 I slot print_timing: id  0 | task 406 | prompt processing, n_tokens =   2048, progress = 0.54, t =   4.87 s / 420.37 tokens per second
1.43.698.600 I slot print_timing: id  0 | task 406 | prompt processing, n_tokens =   4096, progress = 0.57, t =   9.87 s / 415.06 tokens per second
1.48.706.846 I slot print_timing: id  0 | task 406 | prompt processing, n_tokens =   6144, progress = 0.60, t =  14.88 s / 412.99 tokens per second
1.53.736.863 I slot print_timing: id  0 | task 406 | prompt processing, n_tokens =   8192, progress = 0.64, t =  19.91 s / 411.52 tokens per second
1.58.934.634 I slot print_timing: id  0 | task 406 | prompt processing, n_tokens =  10240, progress = 0.67, t =  25.10 s / 407.90 tokens per second
