0.07.460.865 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.07.460.967 I srv          init: The UI is disabled
0.07.460.967 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.07.461.058 W srv  llama_server: -----------------
0.07.461.061 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.07.461.062 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.07.461.062 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.07.461.063 W srv  llama_server: -----------------
0.07.469.939 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\bartowski\Qwen_Qwen3-Next-80B-A3B-Instruct-GGUF\Qwen_Qwen3-Next-80B-A3B-Instruct-Q2_K.gguf'
0.07.844.016 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
0.08.062.160 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.31.638.924 E ggml_backend_cuda_buffer_type_alloc_buffer: allocating 650.08 MiB on device 0: cudaMalloc failed: out of memory
0.31.638.956 E ggml_gallocr_reserve_n_impl: failed to allocate CUDA0 buffer of size 681658880
0.31.638.972 E graph_reserve: failed to allocate compute buffers
0.31.639.002 W sched_reserve: compute buffer allocation failed, retrying without pipeline parallelism
0.31.690.868 I cmn          init: llama threadpool init, n_threads = 6
0.31.953.228 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.31.966.201 I srv  llama_server: model loaded
0.31.966.309 I srv  llama_server: listening on http://127.0.0.1:8110
0.33.046.088 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.33.046.313 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.38.454.495 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2076, progress = 0.02, t =   5.41 s / 383.87 tokens per second
0.43.660.472 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4124, progress = 0.04, t =  10.61 s / 388.54 tokens per second
0.48.894.574 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6172, progress = 0.06, t =  15.85 s / 389.45 tokens per second
0.54.201.770 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8220, progress = 0.08, t =  21.16 s / 388.55 tokens per second
0.59.690.349 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10268, progress = 0.10, t =  26.64 s / 385.38 tokens per second
1.05.325.636 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12316, progress = 0.12, t =  32.28 s / 381.55 tokens per second
1.10.972.531 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14364, progress = 0.14, t =  37.93 s / 378.74 tokens per second
1.17.024.746 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16412, progress = 0.16, t =  43.98 s / 373.18 tokens per second
1.22.842.754 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18460, progress = 0.18, t =  49.80 s / 370.71 tokens per second
1.28.956.647 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20508, progress = 0.20, t =  55.91 s / 366.80 tokens per second
1.35.433.446 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22556, progress = 0.22, t =  62.39 s / 361.55 tokens per second
1.42.135.167 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24604, progress = 0.23, t =  69.09 s / 356.12 tokens per second
