0.00.157.248 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.157.358 I srv          init: The UI is disabled
0.00.157.359 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.157.462 W srv  llama_server: -----------------
0.00.157.465 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.157.466 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.157.467 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.157.467 W srv  llama_server: -----------------
0.00.171.192 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\bartowski\Qwen_Qwen3-Next-80B-A3B-Instruct-GGUF\Qwen_Qwen3-Next-80B-A3B-Instruct-Q2_K.gguf'
0.00.553.537 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
0.00.759.015 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.23.375.617 E ggml_backend_cuda_buffer_type_alloc_buffer: allocating 662.08 MiB on device 0: cudaMalloc failed: out of memory
0.23.375.635 E ggml_gallocr_reserve_n_impl: failed to allocate CUDA0 buffer of size 694241792
0.23.375.636 E graph_reserve: failed to allocate compute buffers
0.23.375.649 W sched_reserve: compute buffer allocation failed, retrying without pipeline parallelism
0.23.424.969 I cmn          init: llama threadpool init, n_threads = 6
0.23.691.412 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 134144, kv_unified = 'false'
0.23.692.518 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.23.703.903 I srv  llama_server: model loaded
0.23.704.017 I srv  llama_server: listening on http://127.0.0.1:8110
0.24.629.807 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.24.629.872 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.29.659.017 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.03, t =   5.03 s / 407.23 tokens per second
0.34.843.442 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.06, t =  10.21 s / 401.04 tokens per second
0.40.029.814 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.09, t =  15.40 s / 398.97 tokens per second
0.45.271.536 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.12, t =  20.64 s / 396.87 tokens per second
0.50.795.561 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.16, t =  26.17 s / 391.36 tokens per second
0.56.608.304 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.19, t =  31.98 s / 384.26 tokens per second
1.02.543.649 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.22, t =  37.91 s / 378.12 tokens per second
1.09.240.927 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.25, t =  44.61 s / 367.27 tokens per second
1.15.638.984 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.28, t =  51.01 s / 361.35 tokens per second
1.22.231.319 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.31, t =  57.60 s / 355.55 tokens per second
1.29.327.471 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.34, t =  64.70 s / 348.21 tokens per second
1.36.662.088 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.38, t =  72.03 s / 341.18 tokens per second
1.43.884.368 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.41, t =  79.25 s / 335.93 tokens per second
1.51.153.034 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.44, t =  86.52 s / 331.38 tokens per second
1.58.795.322 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.47, t =  94.16 s / 326.24 tokens per second
2.06.660.486 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.50, t = 102.03 s / 321.16 tokens per second
2.14.486.382 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.53, t = 109.86 s / 316.93 tokens per second
2.22.667.232 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.56, t = 118.04 s / 312.31 tokens per second
2.31.108.367 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.59, t = 126.48 s / 307.66 tokens per second
2.39.538.411 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.62, t = 134.91 s / 303.62 tokens per second
