0.00.155.430 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.155.563 I srv          init: The UI is disabled
0.00.155.563 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.155.668 W srv  llama_server: -----------------
0.00.155.670 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.155.672 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.155.672 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.155.672 W srv  llama_server: -----------------
0.00.167.051 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\bartowski\Qwen_Qwen3-Next-80B-A3B-Instruct-GGUF\Qwen_Qwen3-Next-80B-A3B-Instruct-Q2_K.gguf'
0.00.553.073 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
0.00.784.565 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.20.212.387 E ggml_backend_cuda_buffer_type_alloc_buffer: allocating 650.08 MiB on device 0: cudaMalloc failed: out of memory
0.20.212.401 E ggml_gallocr_reserve_n_impl: failed to allocate CUDA0 buffer of size 681658880
0.20.212.417 E graph_reserve: failed to allocate compute buffers
0.20.212.434 W sched_reserve: compute buffer allocation failed, retrying without pipeline parallelism
0.20.272.630 I cmn          init: llama threadpool init, n_threads = 6
0.20.591.523 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.20.606.159 I srv  llama_server: model loaded
0.20.606.166 I srv  llama_server: listening on http://127.0.0.1:8110
0.22.843.042 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.843.244 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.27.931.928 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.56, t =   5.09 s / 402.47 tokens per second
0.31.124.932 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3151, progress = 0.86, t =   8.28 s / 380.48 tokens per second
0.32.618.728 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3663, progress = 1.00, t =   9.78 s / 374.72 tokens per second
0.36.245.996 I slot print_timing: id  0 | task 0 | n_gen =    103, tg =  33.68 t/s, tg_3s =  34.01 t/s
0.36.983.305 I slot print_timing: id  0 | task 0 | prompt eval time =   10373.76 ms /  3667 tokens (    2.83 ms per token,   353.49 tokens per second)
0.36.983.309 I slot print_timing: id  0 | task 0 |        eval time =    3766.12 ms /   128 tokens (   29.65 ms per token,    33.72 tokens per second)
0.36.983.310 I slot print_timing: id  0 | task 0 |       total time =   14139.87 ms /  3795 tokens
0.36.983.310 I slot print_timing: id  0 | task 0 |    graphs reused =        127
0.36.986.757 I slot      release: id  0 | task 0 | stop processing: n_tokens = 3794, truncated = 0
0.37.123.837 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.226 (> 0.100 thold), f_keep = 0.966
0.37.124.022 I slot launch_slot_: id  0 | task 132 | processing task, is_child = 0
0.42.480.704 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   2048, progress = 0.35, t =   5.36 s / 382.33 tokens per second
0.47.728.834 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   4096, progress = 0.48, t =  10.60 s / 386.25 tokens per second
0.53.206.431 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   6144, progress = 0.60, t =  16.08 s / 382.04 tokens per second
0.58.847.721 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =   8192, progress = 0.73, t =  21.72 s / 377.10 tokens per second
1.04.442.734 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  10240, progress = 0.86, t =  27.32 s / 374.84 tokens per second
1.09.963.163 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  12059, progress = 0.97, t =  32.84 s / 367.22 tokens per second
1.11.988.285 I slot print_timing: id  0 | task 132 | prompt processing, n_tokens =  12571, progress = 1.00, t =  34.86 s / 360.57 tokens per second
1.15.751.245 I slot print_timing: id  0 | task 132 | n_gen =    100, tg =  32.40 t/s, tg_3s =  32.73 t/s
1.16.614.877 I slot print_timing: id  0 | task 132 | prompt eval time =   35571.46 ms / 12575 tokens (    2.83 ms per token,   353.51 tokens per second)
1.16.614.881 I slot print_timing: id  0 | task 132 |        eval time =    3918.91 ms /   128 tokens (   30.86 ms per token,    32.41 tokens per second)
1.16.614.882 I slot print_timing: id  0 | task 132 |       total time =   39490.38 ms / 12703 tokens
1.16.614.883 I slot print_timing: id  0 | task 132 |    graphs reused =        253
1.16.618.601 I slot      release: id  0 | task 132 | stop processing: n_tokens = 16365, truncated = 0
1.16.809.482 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.500 (> 0.100 thold), f_keep = 0.992
1.16.809.670 I slot launch_slot_: id  0 | task 268 | processing task, is_child = 0
1.22.641.137 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =   2048, progress = 0.56, t =   5.83 s / 351.20 tokens per second
1.28.688.556 I slot print_timing: id  0 | task 268 | prompt processing, n_tokens =   4096, progress = 0.63, t =  11.88 s / 344.82 tokens per second
