0.00.156.633 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.156.741 I srv          init: The UI is disabled
0.00.156.742 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.156.839 W srv  llama_server: -----------------
0.00.156.843 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.156.844 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.156.845 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.156.845 W srv  llama_server: -----------------
0.00.164.392 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\bartowski\nex-agi_Nex-N2.5-mini-GGUF\nex-agi_Nex-N2.5-mini-Q4_K_M.gguf'
0.18.480.909 I cmn          init: llama threadpool init, n_threads = 6
0.18.713.023 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.18.720.270 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.18.720.294 I srv  llama_server: model loaded
0.18.720.296 I srv  llama_server: listening on http://127.0.0.1:8110
0.20.839.691 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.20.839.888 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.24.456.808 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2076, progress = 0.01, t =   3.62 s / 573.98 tokens per second
0.27.825.937 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4124, progress = 0.02, t =   6.99 s / 590.32 tokens per second
0.31.282.493 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6172, progress = 0.03, t =  10.44 s / 591.04 tokens per second
0.34.832.147 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8220, progress = 0.04, t =  13.99 s / 587.47 tokens per second
0.38.475.846 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10268, progress = 0.04, t =  17.64 s / 582.22 tokens per second
0.42.236.663 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12316, progress = 0.05, t =  21.40 s / 575.60 tokens per second
0.45.996.569 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14364, progress = 0.06, t =  25.16 s / 570.98 tokens per second
0.49.881.054 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16412, progress = 0.07, t =  29.04 s / 565.13 tokens per second
0.53.866.650 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18460, progress = 0.08, t =  33.03 s / 558.94 tokens per second
0.57.964.835 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20508, progress = 0.09, t =  37.12 s / 552.41 tokens per second
1.02.111.438 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22556, progress = 0.10, t =  41.27 s / 546.53 tokens per second
1.06.390.852 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24604, progress = 0.10, t =  45.55 s / 540.14 tokens per second
1.10.737.327 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26652, progress = 0.11, t =  49.90 s / 534.14 tokens per second
1.15.211.212 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28700, progress = 0.12, t =  54.37 s / 527.85 tokens per second
1.19.917.313 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30748, progress = 0.13, t =  59.08 s / 520.47 tokens per second
1.24.696.927 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32796, progress = 0.14, t =  63.86 s / 513.59 tokens per second
1.29.644.317 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34844, progress = 0.15, t =  68.80 s / 506.42 tokens per second
1.34.617.474 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36892, progress = 0.16, t =  73.78 s / 500.05 tokens per second
1.39.754.675 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38940, progress = 0.17, t =  78.91 s / 493.45 tokens per second
1.45.015.356 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40988, progress = 0.17, t =  84.18 s / 486.94 tokens per second
1.50.380.585 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43036, progress = 0.18, t =  89.54 s / 480.63 tokens per second
1.55.819.405 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45084, progress = 0.19, t =  94.98 s / 474.67 tokens per second
2.01.362.037 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47132, progress = 0.20, t = 100.52 s / 468.87 tokens per second
2.07.080.694 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49180, progress = 0.21, t = 106.24 s / 462.91 tokens per second
2.12.890.580 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51228, progress = 0.22, t = 112.05 s / 457.19 tokens per second
2.18.774.489 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53276, progress = 0.23, t = 117.93 s / 451.74 tokens per second
2.24.740.849 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55324, progress = 0.24, t = 123.90 s / 446.52 tokens per second
2.30.797.472 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  57372, progress = 0.24, t = 129.96 s / 441.47 tokens per second
2.36.949.808 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  59420, progress = 0.25, t = 136.11 s / 436.56 tokens per second
2.43.244.984 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  61468, progress = 0.26, t = 142.40 s / 431.64 tokens per second
2.49.596.420 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  63516, progress = 0.27, t = 148.76 s / 426.98 tokens per second
2.56.432.650 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  65564, progress = 0.28, t = 155.59 s / 421.38 tokens per second
3.02.927.810 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  67612, progress = 0.29, t = 162.09 s / 417.13 tokens per second
3.09.565.715 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  69660, progress = 0.30, t = 168.73 s / 412.86 tokens per second
3.16.318.380 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  71708, progress = 0.31, t = 175.48 s / 408.64 tokens per second
3.23.143.258 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  73756, progress = 0.31, t = 182.30 s / 404.58 tokens per second
3.30.110.103 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  75804, progress = 0.32, t = 189.27 s / 400.51 tokens per second
3.37.122.782 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  77852, progress = 0.33, t = 196.28 s / 396.63 tokens per second
3.44.260.421 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  79900, progress = 0.34, t = 203.42 s / 392.78 tokens per second
3.51.514.715 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  81948, progress = 0.35, t = 210.67 s / 388.98 tokens per second
3.58.877.593 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  83996, progress = 0.36, t = 218.04 s / 385.24 tokens per second
4.06.435.100 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  86044, progress = 0.37, t = 225.59 s / 381.41 tokens per second
4.14.002.978 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  88092, progress = 0.38, t = 233.16 s / 377.81 tokens per second
