0.00.153.320 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.153.441 I srv          init: The UI is disabled
0.00.153.443 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.153.537 W srv  llama_server: -----------------
0.00.153.539 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.153.541 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.153.541 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.153.541 W srv  llama_server: -----------------
0.00.159.063 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\bartowski\nex-agi_Nex-N2.5-mini-GGUF\nex-agi_Nex-N2.5-mini-Q4_K_M.gguf'
0.18.057.651 W llama_context: n_ctx_seq (264192) > n_ctx_train (262144) -- possible training context overflow
0.18.247.739 I cmn          init: llama threadpool init, n_threads = 6
0.18.449.264 W srv    load_model: the slot context (264192) exceeds the training context of the model (262144) - capping
0.18.488.206 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.18.488.383 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.18.495.223 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.18.495.248 I srv  llama_server: model loaded
0.18.495.251 I srv  llama_server: listening on http://127.0.0.1:8110
0.18.568.140 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.18.568.296 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.22.347.944 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.03, t =   3.78 s / 541.87 tokens per second
0.25.738.231 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.06, t =   7.17 s / 571.28 tokens per second
0.29.259.833 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.09, t =  10.69 s / 574.66 tokens per second
0.32.984.980 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.12, t =  14.42 s / 568.24 tokens per second
0.36.921.290 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.16, t =  18.35 s / 557.95 tokens per second
0.41.046.319 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.19, t =  22.48 s / 546.67 tokens per second
0.45.323.330 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.22, t =  26.75 s / 535.83 tokens per second
0.49.852.158 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.25, t =  31.28 s / 523.72 tokens per second
0.54.499.399 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.28, t =  35.93 s / 512.98 tokens per second
0.59.213.850 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.31, t =  40.65 s / 503.87 tokens per second
1.04.185.722 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.34, t =  45.62 s / 493.85 tokens per second
1.09.287.733 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.38, t =  50.72 s / 484.55 tokens per second
1.14.379.893 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.41, t =  55.81 s / 477.04 tokens per second
1.19.752.997 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.44, t =  61.18 s / 468.62 tokens per second
1.25.197.945 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.47, t =  66.63 s / 461.06 tokens per second
1.30.815.913 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.50, t =  72.25 s / 453.55 tokens per second
1.36.416.666 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.53, t =  77.85 s / 447.23 tokens per second
1.42.533.773 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.56, t =  83.96 s / 439.04 tokens per second
1.48.325.127 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.59, t =  89.76 s / 433.53 tokens per second
1.54.248.678 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.62, t =  95.68 s / 428.09 tokens per second
2.00.469.759 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43008, progress = 0.66, t = 101.90 s / 422.06 tokens per second
2.07.045.904 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45056, progress = 0.69, t = 108.48 s / 415.35 tokens per second
2.13.292.431 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47104, progress = 0.72, t = 114.72 s / 410.59 tokens per second
2.19.737.419 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49152, progress = 0.75, t = 121.17 s / 405.65 tokens per second
2.26.320.145 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51200, progress = 0.78, t = 127.75 s / 400.78 tokens per second
2.32.952.779 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53248, progress = 0.81, t = 134.38 s / 396.24 tokens per second
2.39.981.284 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55296, progress = 0.84, t = 141.41 s / 391.03 tokens per second
2.46.790.454 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  57344, progress = 0.88, t = 148.22 s / 386.88 tokens per second
2.53.899.321 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  59392, progress = 0.91, t = 155.33 s / 382.36 tokens per second
3.01.090.349 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  61440, progress = 0.94, t = 162.52 s / 378.04 tokens per second
3.08.320.354 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  63488, progress = 0.97, t = 169.75 s / 374.01 tokens per second
3.16.828.419 I slot print_timing: id  0 | task 0 | prompt eval time =  178259.17 ms / 65536 tokens (    2.72 ms per token,   367.64 tokens per second)
3.16.828.424 I slot print_timing: id  0 | task 0 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
3.16.828.425 I slot print_timing: id  0 | task 0 |       total time =  178259.17 ms / 65537 tokens
3.16.828.426 I slot print_timing: id  0 | task 0 |    graphs reused =          1
3.16.830.658 I slot      release: id  0 | task 0 | stop processing: n_tokens = 65536, truncated = 0
3.16.874.760 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
3.16.875.051 I slot launch_slot_: id  0 | task 33 | processing task, is_child = 0
3.19.630.941 I slot print_timing: id  0 | task 33 | prompt eval time =    2755.86 ms /   512 tokens (    5.38 ms per token,   185.79 tokens per second)
3.19.630.946 I slot print_timing: id  0 | task 33 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
3.19.630.947 I slot print_timing: id  0 | task 33 |       total time =    2755.86 ms /   513 tokens
3.19.630.947 I slot print_timing: id  0 | task 33 |    graphs reused =          1
3.19.632.761 I slot      release: id  0 | task 33 | stop processing: n_tokens = 66048, truncated = 0
3.19.686.791 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.970 (> 0.100 thold), f_keep = 1.000
3.19.687.133 I slot launch_slot_: id  0 | task 35 | processing task, is_child = 0
3.31.070.867 I slot print_timing: id  0 | task 35 | n_gen =    115, tg =  37.91 t/s, tg_3s =  38.24 t/s
3.31.409.687 I slot print_timing: id  0 | task 35 | prompt eval time =    8376.30 ms /  2048 tokens (    4.09 ms per token,   244.50 tokens per second)
3.31.409.691 I slot print_timing: id  0 | task 35 |        eval time =    3346.18 ms /   128 tokens (   26.35 ms per token,    37.95 tokens per second)
3.31.409.692 I slot print_timing: id  0 | task 35 |       total time =   11722.48 ms /  2176 tokens
3.31.409.693 I slot print_timing: id  0 | task 35 |    graphs reused =        127
3.31.411.499 I slot      release: id  0 | task 35 | stop processing: n_tokens = 68223, truncated = 0
3.31.468.424 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.521 (> 0.100 thold), f_keep = 1.000
3.31.468.822 I slot launch_slot_: id  0 | task 164 | processing task, is_child = 0
3.38.770.857 I slot print_timing: id  0 | task 164 | prompt processing, n_tokens =   2048, progress = 0.54, t =   7.30 s / 280.47 tokens per second
3.46.269.444 I slot print_timing: id  0 | task 164 | prompt processing, n_tokens =   4096, progress = 0.55, t =  14.80 s / 276.75 tokens per second
3.54.011.392 I slot print_timing: id  0 | task 164 | prompt processing, n_tokens =   6144, progress = 0.57, t =  22.54 s / 272.55 tokens per second
4.02.012.681 I slot print_timing: id  0 | task 164 | prompt processing, n_tokens =   8192, progress = 0.58, t =  30.54 s / 268.21 tokens per second
4.10.051.958 I slot print_timing: id  0 | task 164 | prompt processing, n_tokens =  10240, progress = 0.60, t =  38.58 s / 265.40 tokens per second
4.18.423.724 I slot print_timing: id  0 | task 164 | prompt processing, n_tokens =  12288, progress = 0.61, t =  46.95 s / 261.70 tokens per second
