0.00.154.977 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.155.110 I srv          init: The UI is disabled
0.00.155.112 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.155.209 W srv  llama_server: -----------------
0.00.155.212 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.155.213 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.155.214 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.155.214 W srv  llama_server: -----------------
0.00.166.347 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\bartowski\nex-agi_Nex-N2.5-mini-GGUF\nex-agi_Nex-N2.5-mini-Q4_K_M.gguf'
0.00.166.457 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.19.439.168 W llama_context: n_ctx_seq (264192) > n_ctx_train (262144) -- possible training context overflow
0.19.439.200 W internal AllReduce init failed (n_devices != 2?); falling back to meta-backend butterfly
0.19.502.367 I cmn          init: llama threadpool init, n_threads = 6
0.19.762.393 W srv    load_model: the slot context (264192) exceeds the training context of the model (262144) - capping
0.19.804.150 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.19.804.308 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.19.811.028 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.19.811.050 I srv  llama_server: model loaded
0.19.811.052 I srv  llama_server: listening on http://127.0.0.1:8110
0.21.415.363 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.21.415.561 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.24.979.453 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2048, progress = 0.01, t =   3.56 s / 574.66 tokens per second
0.28.826.312 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4096, progress = 0.02, t =   7.41 s / 552.72 tokens per second
0.32.787.973 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6144, progress = 0.02, t =  11.37 s / 540.26 tokens per second
0.36.940.455 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8192, progress = 0.03, t =  15.52 s / 527.67 tokens per second
0.41.229.066 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10240, progress = 0.04, t =  19.81 s / 516.82 tokens per second
0.45.715.360 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12288, progress = 0.05, t =  24.30 s / 505.69 tokens per second
0.50.293.899 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14336, progress = 0.06, t =  28.88 s / 496.43 tokens per second
0.55.205.720 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16384, progress = 0.06, t =  33.79 s / 484.88 tokens per second
1.00.301.835 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18432, progress = 0.07, t =  38.89 s / 474.00 tokens per second
1.05.531.463 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  20480, progress = 0.08, t =  44.12 s / 464.24 tokens per second
1.10.857.439 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  22528, progress = 0.09, t =  49.44 s / 455.65 tokens per second
1.16.336.947 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  24576, progress = 0.09, t =  54.92 s / 447.48 tokens per second
1.21.721.976 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  26624, progress = 0.10, t =  60.31 s / 441.48 tokens per second
1.27.233.599 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  28672, progress = 0.11, t =  65.82 s / 435.63 tokens per second
1.32.892.100 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  30720, progress = 0.12, t =  71.48 s / 429.80 tokens per second
1.38.657.376 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  32768, progress = 0.13, t =  77.24 s / 424.23 tokens per second
1.44.864.678 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  34816, progress = 0.13, t =  83.45 s / 417.22 tokens per second
1.51.233.234 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  36864, progress = 0.14, t =  89.82 s / 410.44 tokens per second
1.57.529.897 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  38912, progress = 0.15, t =  96.11 s / 404.86 tokens per second
2.03.761.798 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  40960, progress = 0.16, t = 102.35 s / 400.21 tokens per second
2.10.477.632 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  43008, progress = 0.17, t = 109.06 s / 394.35 tokens per second
2.16.841.939 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  45056, progress = 0.17, t = 115.43 s / 390.35 tokens per second
2.23.631.914 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  47104, progress = 0.18, t = 122.22 s / 385.42 tokens per second
2.30.608.464 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  49152, progress = 0.19, t = 129.19 s / 380.46 tokens per second
2.37.713.512 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  51200, progress = 0.20, t = 136.30 s / 375.65 tokens per second
2.44.749.816 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  53248, progress = 0.21, t = 143.33 s / 371.50 tokens per second
2.51.866.075 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  55296, progress = 0.21, t = 150.45 s / 367.54 tokens per second
2.58.873.967 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  57344, progress = 0.22, t = 157.46 s / 364.19 tokens per second
3.06.021.338 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  59392, progress = 0.23, t = 164.60 s / 360.82 tokens per second
3.13.242.284 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  61440, progress = 0.24, t = 171.83 s / 357.57 tokens per second
3.20.577.215 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  63488, progress = 0.24, t = 179.16 s / 354.36 tokens per second
3.28.063.299 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  65536, progress = 0.25, t = 186.65 s / 351.12 tokens per second
3.35.771.607 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  67584, progress = 0.26, t = 194.35 s / 347.74 tokens per second
3.43.711.102 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  69632, progress = 0.27, t = 202.29 s / 344.21 tokens per second
3.51.758.370 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  71680, progress = 0.28, t = 210.34 s / 340.78 tokens per second
3.59.921.393 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  73728, progress = 0.28, t = 218.50 s / 337.42 tokens per second
4.08.152.834 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  75776, progress = 0.29, t = 226.74 s / 334.20 tokens per second
4.16.281.553 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  77824, progress = 0.30, t = 234.86 s / 331.36 tokens per second
4.24.482.656 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  79872, progress = 0.31, t = 243.06 s / 328.60 tokens per second
4.33.061.591 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  81920, progress = 0.32, t = 251.64 s / 325.54 tokens per second
4.42.009.503 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  83968, progress = 0.32, t = 260.59 s / 322.22 tokens per second
4.50.937.160 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  86016, progress = 0.33, t = 269.52 s / 319.15 tokens per second
4.59.782.253 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  88064, progress = 0.34, t = 278.36 s / 316.36 tokens per second
5.08.604.122 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  90112, progress = 0.35, t = 287.19 s / 313.78 tokens per second
5.17.328.284 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  92160, progress = 0.36, t = 295.91 s / 311.45 tokens per second
5.26.151.903 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  94208, progress = 0.36, t = 304.73 s / 309.15 tokens per second
5.35.766.964 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  96256, progress = 0.37, t = 314.35 s / 306.21 tokens per second
5.45.260.216 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  98304, progress = 0.38, t = 323.84 s / 303.56 tokens per second
5.54.673.226 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 100352, progress = 0.39, t = 333.25 s / 301.13 tokens per second
6.04.083.882 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 102400, progress = 0.39, t = 342.67 s / 298.83 tokens per second
6.13.436.340 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 104448, progress = 0.40, t = 352.02 s / 296.71 tokens per second
6.22.918.876 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 106496, progress = 0.41, t = 361.50 s / 294.59 tokens per second
6.32.502.152 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 108544, progress = 0.42, t = 371.08 s / 292.51 tokens per second
6.42.285.795 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 110592, progress = 0.43, t = 380.87 s / 290.37 tokens per second
6.52.900.419 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 112640, progress = 0.43, t = 391.48 s / 287.73 tokens per second
7.03.141.179 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 114688, progress = 0.44, t = 401.72 s / 285.49 tokens per second
7.13.103.886 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 116736, progress = 0.45, t = 411.68 s / 283.56 tokens per second
7.23.369.428 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 118784, progress = 0.46, t = 421.95 s / 281.51 tokens per second
7.34.054.289 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 120832, progress = 0.47, t = 432.63 s / 279.29 tokens per second
7.44.354.258 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens = 122880, progress = 0.47, t = 442.93 s / 277.42 tokens per second
