timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 15:30:54.107, 0, 42, 27.27, 0, 9, 405, 715, P0, 0x0000000000000001
2026/09/17 15:30:54.110, 1, 45, 27.75, 0, 9, 405, 715, P0, 0x0000000000000001
2026/09/17 15:30:55.122, 0, 42, 33.81, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:30:55.125, 1, 46, 33.56, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:30:56.136, 0, 42, 33.81, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:30:56.140, 1, 46, 33.81, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:30:57.145, 0, 42, 34.54, 26, 7198, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:30:57.149, 1, 46, 33.55, 0, 7729, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:30:58.162, 0, 42, 34.54, 25, 7198, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:30:58.165, 1, 46, 33.79, 0, 7729, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:30:59.180, 0, 42, 33.81, 0, 7198, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:30:59.183, 1, 46, 38.65, 100, 7729, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:31:00.195, 0, 42, 33.78, 0, 7198, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:31:00.198, 1, 46, 39.10, 96, 7729, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:31:01.208, 0, 42, 33.81, 0, 7198, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:31:01.211, 1, 46, 39.37, 96, 7729, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:31:02.220, 0, 43, 34.78, 0, 7610, 1227, 715, P0, 0x0000000000000000
2026/09/17 15:31:02.223, 1, 46, 39.61, 3, 8135, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:31:03.228, 0, 43, 39.47, 50, 7908, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:31:03.231, 1, 47, 130.02, 45, 8433, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:31:04.235, 0, 46, 62.24, 50, 7908, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:31:04.237, 1, 48, 159.45, 48, 8433, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:31:05.245, 0, 46, 167.33, 39, 7908, 1328, 715, P0, 0x0000000000000000
