timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 14:59:14.101, 0, 45, 28.00, 0, 9, 405, 715, P0, 0x0000000000000001
2026/09/17 14:59:14.104, 1, 42, 27.27, 0, 9, 405, 715, P0, 0x0000000000000001
2026/09/17 14:59:15.110, 0, 45, 34.54, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:15.114, 1, 42, 32.82, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:16.125, 0, 45, 34.78, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:16.130, 1, 42, 33.06, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:17.142, 0, 46, 34.78, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:17.144, 1, 43, 38.39, 95, 14661, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:18.159, 0, 46, 34.54, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:18.161, 1, 43, 38.38, 96, 14661, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:19.172, 0, 46, 34.78, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:19.175, 1, 43, 38.40, 95, 14661, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:20.184, 0, 46, 34.54, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:20.186, 1, 43, 38.38, 96, 14661, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:21.198, 0, 46, 34.54, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:21.201, 1, 43, 38.39, 96, 14661, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:22.209, 0, 46, 34.63, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:22.212, 1, 45, 174.30, 27, 15221, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:23.222, 0, 46, 34.66, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:23.225, 1, 45, 130.89, 99, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:24.230, 0, 46, 34.85, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:24.233, 1, 48, 176.38, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:25.243, 0, 46, 34.63, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:25.246, 1, 49, 177.71, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:26.255, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:26.258, 1, 50, 178.23, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:27.317, 0, 46, 34.36, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:27.320, 1, 50, 176.23, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:28.328, 0, 45, 34.12, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:28.331, 1, 51, 177.22, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:29.341, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:29.344, 1, 51, 180.00, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:30.353, 0, 46, 34.36, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:30.356, 1, 52, 186.42, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:31.368, 0, 46, 34.38, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:31.370, 1, 53, 180.70, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:32.382, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:32.384, 1, 53, 179.74, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:33.395, 0, 46, 34.85, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:33.399, 1, 53, 181.73, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:34.408, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:34.411, 1, 54, 181.40, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:35.422, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:35.425, 1, 54, 181.57, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:36.440, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:36.443, 1, 55, 180.58, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:37.456, 0, 46, 34.38, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:37.460, 1, 55, 177.50, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:38.470, 0, 46, 34.63, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:38.474, 1, 56, 182.29, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:39.486, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:39.489, 1, 56, 180.98, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:40.501, 0, 46, 34.58, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:40.504, 1, 56, 181.13, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:41.519, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:41.522, 1, 57, 183.83, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:42.535, 0, 46, 34.36, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:42.538, 1, 57, 182.16, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:43.550, 0, 46, 34.85, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:43.555, 1, 57, 181.54, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:44.564, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:44.567, 1, 58, 183.44, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:45.576, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:45.579, 1, 58, 184.48, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:46.587, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:46.593, 1, 59, 184.35, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:47.600, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:47.603, 1, 59, 189.30, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:48.614, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:48.617, 1, 59, 184.79, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:49.627, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:49.632, 1, 60, 184.67, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:50.638, 0, 46, 34.84, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:50.641, 1, 60, 184.04, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:51.651, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:51.656, 1, 60, 185.27, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:52.668, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:52.671, 1, 61, 185.11, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:53.679, 0, 46, 34.84, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:53.683, 1, 61, 185.23, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:54.690, 0, 46, 34.58, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:54.693, 1, 61, 184.21, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:55.705, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:55.708, 1, 62, 187.25, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:56.718, 0, 45, 34.83, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:56.721, 1, 62, 183.91, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:57.733, 0, 46, 34.38, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:57.737, 1, 62, 183.77, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:58.745, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:58.749, 1, 63, 187.54, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 14:59:59.761, 0, 46, 34.39, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 14:59:59.764, 1, 61, 145.68, 99, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:00:00.770, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:00:00.773, 1, 63, 187.66, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:00:01.783, 0, 46, 34.36, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:00:01.788, 1, 63, 185.24, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:00:02.793, 0, 46, 34.35, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:00:02.796, 1, 64, 186.49, 95, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:00:03.806, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:00:03.809, 1, 64, 186.70, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:00:04.817, 0, 46, 34.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:00:04.820, 1, 64, 187.98, 96, 15519, 1328, 715, P0, 0x0000000000000000
2026/09/17 15:00:05.829, 0, 45, 34.58, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/17 15:00:05.832, 1, 65, 188.57, 95, 15519, 1328, 715, P0, 0x0000000000000000
