timestamp,index,temperature.gpu,power.draw,utilization.gpu,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/16 23:23:58.312, 0, 34, 26.07, 0, 405, 715, P0, 0x0000000000000001
2026/09/16 23:23:58.316, 1, 37, 26.30, 0, 405, 715, P0, 0x0000000000000001
2026/09/16 23:23:59.321, 0, 34, 32.13, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:23:59.325, 1, 37, 31.62, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:00.342, 0, 34, 32.37, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:00.345, 1, 37, 36.71, 88, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:01.351, 0, 34, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:01.353, 1, 39, 126.60, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:02.371, 0, 34, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:02.375, 1, 41, 127.21, 84, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:03.392, 0, 34, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:03.395, 1, 41, 126.00, 84, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:04.412, 0, 34, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:04.415, 1, 42, 126.59, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:05.432, 0, 34, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:05.435, 1, 42, 126.83, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:06.452, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:06.455, 1, 42, 128.03, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:07.459, 0, 34, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:07.462, 1, 42, 128.42, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:08.481, 0, 35, 32.02, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:08.484, 1, 43, 129.51, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:09.488, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:09.491, 1, 43, 127.69, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:10.498, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:10.500, 1, 43, 135.10, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:11.520, 0, 34, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:11.523, 1, 44, 136.25, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:12.527, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:12.530, 1, 44, 125.38, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:13.538, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:13.541, 1, 44, 128.20, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:14.561, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:14.565, 1, 44, 129.99, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:15.586, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:15.588, 1, 45, 131.06, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:16.596, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:16.599, 1, 45, 130.36, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:17.607, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:17.610, 1, 45, 128.97, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:18.623, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:18.626, 1, 45, 133.32, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:19.644, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:19.647, 1, 46, 127.72, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:20.656, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:20.659, 1, 46, 135.14, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:21.678, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:21.682, 1, 46, 130.74, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:22.697, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:22.702, 1, 46, 128.31, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:23.718, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:23.721, 1, 47, 133.07, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:24.725, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:24.729, 1, 47, 139.04, 87, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:25.746, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:25.751, 1, 47, 132.09, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:26.769, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:26.773, 1, 47, 128.27, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:27.779, 0, 35, 32.02, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:27.782, 1, 48, 131.16, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:28.790, 0, 35, 32.50, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:28.793, 1, 48, 130.30, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:29.796, 0, 35, 32.48, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:29.800, 1, 48, 132.76, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:30.807, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:30.811, 1, 48, 126.33, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:31.816, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:31.819, 1, 48, 130.18, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:32.826, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:32.829, 1, 49, 129.69, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:33.846, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:33.849, 1, 49, 128.66, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:34.867, 0, 35, 32.50, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:34.869, 1, 49, 131.56, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:35.874, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:35.877, 1, 49, 130.23, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:36.897, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:36.900, 1, 50, 131.38, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:37.906, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:37.909, 1, 50, 122.84, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:38.923, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:38.927, 1, 50, 131.00, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:39.946, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:39.949, 1, 50, 132.20, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:40.966, 0, 35, 32.50, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:40.969, 1, 50, 135.62, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:41.986, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:41.989, 1, 50, 132.09, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:42.994, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:42.997, 1, 51, 131.24, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:44.004, 0, 35, 32.50, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:44.007, 1, 51, 138.09, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:45.026, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:45.029, 1, 51, 137.88, 84, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:46.035, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:46.037, 1, 51, 132.27, 84, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:47.043, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:47.049, 1, 51, 138.56, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:48.067, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:48.074, 1, 52, 136.18, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:49.088, 0, 35, 32.48, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:49.091, 1, 52, 131.43, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:50.096, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:50.098, 1, 52, 132.73, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:51.106, 0, 35, 32.48, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:51.109, 1, 52, 132.42, 85, 1328, 715, P0, 0x0000000000000000
