timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 10:45:29.242, 0, 65, 49.25, 0, 14891, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:29.245, 1, 65, 49.22, 0, 15432, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:30.254, 0, 69, 203.58, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:30.257, 1, 65, 49.06, 0, 15432, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:31.268, 0, 71, 81.70, 96, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:31.272, 1, 65, 151.63, 0, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:32.278, 0, 71, 186.01, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:32.281, 1, 69, 214.65, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:33.292, 0, 72, 240.97, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:33.295, 1, 67, 51.47, 0, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:34.305, 0, 72, 223.02, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:34.308, 1, 70, 219.46, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:35.312, 0, 73, 197.98, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:35.318, 1, 68, 52.30, 4, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:36.328, 0, 73, 218.73, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:36.331, 1, 71, 178.27, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:37.344, 0, 74, 230.72, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:37.347, 1, 70, 54.06, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:38.360, 0, 74, 182.35, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:38.363, 1, 72, 214.92, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:39.374, 0, 74, 212.24, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:39.380, 1, 72, 180.67, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:40.391, 0, 74, 163.70, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:40.394, 1, 72, 200.43, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:41.403, 0, 75, 232.76, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:41.406, 1, 72, 226.20, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:42.413, 0, 74, 200.33, 0, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:42.417, 1, 72, 188.73, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:43.426, 0, 73, 55.16, 54, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:43.429, 1, 73, 218.65, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:44.439, 0, 71, 52.85, 0, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:44.442, 1, 73, 189.97, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:45.452, 0, 73, 225.07, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:45.455, 1, 70, 52.15, 0, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:46.469, 0, 75, 187.98, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:46.475, 1, 69, 51.07, 0, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:47.485, 0, 73, 55.01, 0, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:47.488, 1, 71, 177.46, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:48.496, 0, 71, 53.26, 0, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:48.499, 1, 73, 220.20, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:49.508, 0, 71, 194.22, 33, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:49.513, 1, 72, 74.47, 59, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:50.520, 0, 73, 68.88, 48, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:50.523, 1, 72, 189.48, 49, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:51.530, 0, 73, 192.57, 45, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:51.533, 1, 72, 67.08, 52, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:52.542, 0, 73, 73.65, 48, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:52.545, 1, 72, 187.54, 49, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:53.559, 0, 73, 196.35, 45, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:53.561, 1, 72, 65.40, 52, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:54.572, 0, 74, 70.28, 45, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:54.575, 1, 72, 188.97, 52, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:55.581, 0, 73, 189.80, 48, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:55.583, 1, 72, 69.93, 49, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:56.597, 0, 74, 74.36, 45, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:56.600, 1, 72, 187.18, 52, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:57.611, 0, 73, 155.24, 48, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:57.611, 1, 73, 70.62, 49, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:58.619, 0, 74, 78.17, 45, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:58.623, 1, 72, 184.88, 51, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:59.633, 0, 74, 187.19, 45, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:45:59.636, 1, 73, 72.08, 52, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:00.648, 0, 76, 212.57, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:00.651, 1, 70, 53.94, 0, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:01.661, 0, 77, 209.11, 100, 15241, 1316, 715, P0, 0x0000000000000000
2026/09/17 10:46:01.665, 1, 70, 53.16, 0, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:02.675, 0, 77, 188.07, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:02.678, 1, 73, 200.96, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:03.692, 0, 77, 176.66, 100, 15241, 1316, 715, P0, 0x0000000000000000
2026/09/17 10:46:03.695, 1, 74, 230.12, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:04.702, 0, 77, 229.82, 9, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:04.705, 1, 74, 190.37, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:05.721, 0, 78, 227.21, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:05.724, 1, 75, 220.83, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:06.738, 0, 79, 227.55, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:06.741, 1, 73, 56.23, 0, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:07.753, 0, 78, 171.74, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:07.757, 1, 76, 233.44, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:08.766, 0, 79, 185.65, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:08.769, 1, 76, 224.40, 100, 15782, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:09.781, 0, 79, 156.29, 100, 15241, 1328, 715, P0, 0x0000000000000000
2026/09/17 10:46:09.787, 1, 76, 197.67, 100, 15782, 1328, 715, P0, 0x0000000000000000
