timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 11:38:03.626, 0, 53, 36.96, 0, 14453, 1189, 715, P0, 0x0000000000000000
2026/09/17 11:38:03.629, 1, 54, 42.26, 0, 14489, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:04.642, 0, 57, 46.87, 70, 14563, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:04.645, 1, 55, 156.23, 3, 14557, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:05.656, 0, 57, 173.03, 100, 14563, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:05.660, 1, 55, 44.17, 0, 14557, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:06.668, 0, 55, 43.99, 0, 14563, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:06.671, 1, 57, 168.78, 100, 14557, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:07.681, 0, 59, 161.38, 100, 14563, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:07.684, 1, 55, 43.43, 0, 14557, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:08.696, 0, 57, 169.57, 62, 14563, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:08.699, 1, 57, 45.32, 70, 14557, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:09.709, 0, 57, 45.47, 21, 14563, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:09.712, 1, 57, 146.21, 45, 14557, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:10.719, 0, 58, 166.47, 100, 14563, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:10.722, 1, 56, 44.86, 11, 14557, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:11.730, 0, 57, 45.22, 13, 14563, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:11.734, 1, 57, 159.83, 54, 14557, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:12.746, 0, 58, 163.70, 80, 14563, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:12.749, 1, 57, 45.36, 52, 14557, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:13.759, 0, 58, 45.49, 100, 14563, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:13.762, 1, 57, 150.52, 0, 14557, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:38:14.770, 0, 56, 43.30, 0, 14563, 1328, 715, P0, 0x0000000000000000
