timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 17:52:19.954, 0, 72, 51.67, 20, 15097, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:19.959, 1, 72, 55.00, 10, 15182, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:20.965, 0, 75, 227.67, 100, 15737, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:20.968, 1, 71, 53.82, 0, 15182, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:21.984, 0, 75, 146.44, 100, 15737, 1316, 715, P0, 0x0000000000000004
2026/09/17 17:52:21.990, 1, 71, 53.49, 0, 15182, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:22.997, 0, 77, 149.23, 100, 15737, 1316, 715, P0, 0x0000000000000004
2026/09/17 17:52:23.000, 1, 71, 52.59, 0, 15182, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:24.011, 0, 77, 243.36, 100, 15737, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:24.014, 1, 70, 51.12, 0, 15182, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:25.025, 0, 76, 54.63, 39, 15737, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:25.031, 1, 71, 146.00, 36, 15822, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:26.034, 0, 74, 52.69, 0, 15737, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:26.037, 1, 74, 147.55, 100, 15822, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:27.048, 0, 77, 139.87, 100, 15737, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:27.052, 1, 74, 245.68, 100, 15822, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:28.061, 0, 77, 209.89, 100, 15737, 1316, 715, P0, 0x0000000000000004
2026/09/17 17:52:28.064, 1, 75, 145.40, 100, 15822, 1316, 715, P0, 0x0000000000000000
2026/09/17 17:52:29.073, 0, 78, 137.99, 100, 15737, 1303, 715, P0, 0x0000000000000000
2026/09/17 17:52:29.076, 1, 76, 159.16, 100, 15822, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:30.083, 0, 78, 228.01, 100, 15737, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:30.085, 1, 73, 53.33, 0, 15822, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:31.095, 0, 79, 138.66, 100, 15737, 1316, 715, P0, 0x0000000000000000
2026/09/17 17:52:31.098, 1, 72, 52.64, 0, 15822, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:32.106, 0, 75, 53.18, 0, 15737, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:32.109, 1, 75, 248.12, 100, 15822, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:33.123, 0, 78, 205.80, 100, 15737, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:52:33.126, 1, 75, 154.44, 100, 15822, 1328, 715, P0, 0x0000000000000000
