timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 09:10:25.345, 0, 64, 46.38, 0, 15803, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:25.352, 1, 60, 45.38, 0, 14971, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:26.371, 0, 68, 210.12, 100, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:26.374, 1, 60, 45.28, 0, 14971, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:27.384, 0, 69, 160.38, 94, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:27.388, 1, 61, 134.71, 33, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:28.399, 0, 69, 162.61, 100, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:28.402, 1, 63, 179.58, 100, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:29.413, 0, 70, 195.47, 100, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:29.416, 1, 63, 202.36, 100, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:30.423, 0, 70, 209.19, 100, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:30.428, 1, 64, 150.69, 100, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:31.435, 0, 71, 195.41, 100, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:31.438, 1, 64, 146.01, 100, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:32.455, 0, 71, 190.40, 100, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:32.458, 1, 63, 47.75, 31, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:33.472, 0, 71, 189.30, 100, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:33.475, 1, 65, 138.54, 100, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:34.491, 0, 71, 219.75, 98, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:34.494, 1, 65, 181.00, 100, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:35.503, 0, 72, 205.63, 100, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:35.506, 1, 66, 174.89, 100, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:36.516, 0, 72, 141.96, 100, 16205, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:36.519, 1, 65, 152.00, 100, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/17 09:10:37.531, 0, 72, 195.14, 100, 16205, 1328, 715, P0, 0x0000000000000000
