timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 18:04:45.869, 0, 45, 34.53, 0, 10843, 1189, 715, P0, 0x0000000000000000
2026/09/17 18:04:45.876, 1, 46, 39.12, 0, 11305, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:46.894, 0, 49, 151.90, 68, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:46.899, 1, 48, 146.32, 99, 11409, 1316, 715, P0, 0x0000000000000000
2026/09/17 18:04:47.903, 0, 51, 149.78, 100, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:47.908, 1, 50, 153.33, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:48.914, 0, 52, 150.38, 100, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:48.918, 1, 51, 139.54, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:49.927, 0, 52, 72.33, 100, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:49.930, 1, 52, 145.05, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:50.940, 0, 51, 158.95, 75, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:50.944, 1, 50, 41.27, 0, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:51.955, 0, 49, 79.41, 0, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:51.958, 1, 51, 85.07, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:52.969, 0, 49, 95.19, 41, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:52.972, 1, 51, 86.30, 51, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:53.979, 0, 50, 153.55, 55, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:53.982, 1, 50, 42.49, 22, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:54.990, 0, 53, 176.68, 100, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:54.993, 1, 52, 151.28, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:56.007, 0, 54, 157.16, 100, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:56.010, 1, 53, 168.87, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:57.017, 0, 54, 173.86, 99, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:57.020, 1, 54, 150.98, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:58.027, 0, 55, 177.04, 100, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:58.030, 1, 55, 150.93, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:59.043, 0, 55, 180.90, 100, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:04:59.045, 1, 55, 173.14, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:00.055, 0, 56, 165.04, 100, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:00.059, 1, 56, 154.67, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:01.065, 0, 56, 159.92, 100, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:01.067, 1, 56, 150.27, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:02.077, 0, 56, 163.71, 99, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:02.080, 1, 56, 158.52, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:03.087, 0, 57, 174.27, 100, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:03.090, 1, 56, 151.63, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:04.097, 0, 57, 157.28, 99, 10927, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:04.102, 1, 57, 163.55, 100, 11409, 1328, 715, P0, 0x0000000000000000
2026/09/17 18:05:05.109, 0, 58, 154.26, 100, 10927, 1328, 715, P0, 0x0000000000000000
