timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 01:53:44.946, 0, 65, 41.79, 0, 13899, 1189, 715, P0, 0x0000000000000000
2026/09/17 01:53:44.952, 1, 69, 50.24, 0, 12821, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:45.969, 0, 69, 167.90, 62, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:45.976, 1, 71, 173.18, 99, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:46.994, 0, 70, 157.15, 100, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:46.997, 1, 73, 173.77, 100, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:48.010, 0, 71, 184.10, 100, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:48.014, 1, 74, 164.40, 100, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:49.032, 0, 72, 163.36, 87, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:49.036, 1, 74, 166.59, 100, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:50.041, 0, 70, 162.02, 89, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:50.044, 1, 72, 54.23, 0, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:51.054, 0, 68, 99.17, 24, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:51.057, 1, 73, 119.87, 100, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:52.063, 0, 69, 94.85, 42, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:52.065, 1, 72, 106.08, 49, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:53.073, 0, 70, 194.46, 69, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:53.076, 1, 71, 54.65, 24, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:54.085, 0, 72, 173.37, 100, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:54.088, 1, 73, 186.85, 100, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:55.098, 0, 72, 190.37, 100, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:55.101, 1, 75, 172.01, 100, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:56.109, 0, 73, 168.88, 87, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:56.111, 1, 75, 187.66, 100, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:57.124, 0, 73, 188.81, 100, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:57.127, 1, 76, 181.96, 100, 12925, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:58.166, 0, 74, 167.60, 87, 13983, 1328, 715, P0, 0x0000000000000000
2026/09/17 01:53:58.169, 1, 76, 180.61, 100, 12925, 1328, 715, P0, 0x0000000000000000
