timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 07:50:42.375, 0, 71, 44.67, 0, 14255, 1189, 715, P0, 0x0000000000000000
2026/09/17 07:50:42.378, 1, 71, 52.38, 0, 13740, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:43.386, 0, 73, 54.57, 92, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:43.389, 1, 72, 168.93, 47, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:44.400, 0, 76, 189.59, 44, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:44.404, 1, 74, 177.53, 100, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:45.414, 0, 76, 186.50, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:45.417, 1, 74, 56.10, 70, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:46.428, 0, 77, 190.75, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:46.431, 1, 73, 55.38, 0, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:47.445, 0, 75, 54.55, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:47.448, 1, 74, 176.89, 37, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:48.461, 0, 77, 193.99, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:48.464, 1, 73, 54.66, 0, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:49.470, 0, 74, 82.48, 35, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:49.475, 1, 74, 114.42, 48, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:50.486, 0, 74, 79.60, 40, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:50.489, 1, 74, 107.25, 51, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:51.498, 0, 74, 79.64, 41, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:51.501, 1, 74, 107.03, 48, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:52.510, 0, 77, 193.62, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:52.514, 1, 72, 55.38, 1, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:53.529, 0, 78, 201.65, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:53.534, 1, 73, 56.55, 29, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:54.541, 0, 78, 68.23, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:54.544, 1, 74, 179.89, 0, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:55.553, 0, 77, 194.16, 12, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:55.556, 1, 75, 186.39, 37, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:56.566, 0, 78, 204.94, 72, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:56.571, 1, 75, 185.14, 100, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:57.578, 0, 79, 202.32, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:57.580, 1, 75, 160.30, 100, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:58.591, 0, 79, 202.43, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:58.595, 1, 74, 57.70, 22, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:59.607, 0, 79, 190.53, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:50:59.613, 1, 74, 57.31, 0, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:51:00.619, 0, 79, 186.35, 100, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:51:00.623, 1, 74, 57.09, 0, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:51:01.634, 0, 78, 55.00, 100, 14315, 1303, 715, P0, 0x0000000000000000
2026/09/17 07:51:01.637, 1, 75, 185.83, 35, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:51:02.650, 0, 77, 163.68, 59, 14315, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:51:02.654, 1, 76, 182.37, 87, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:51:03.663, 0, 78, 167.66, 12, 14315, 1265, 715, P0, 0x0000000000000000
2026/09/17 07:51:03.666, 1, 76, 188.48, 100, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:51:04.679, 0, 79, 176.05, 22, 14315, 1303, 715, P0, 0x0000000000000020
2026/09/17 07:51:04.682, 1, 76, 193.08, 100, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:51:05.694, 0, 79, 162.43, 51, 14315, 1265, 715, P0, 0x0000000000000000
2026/09/17 07:51:05.697, 1, 76, 162.30, 100, 13800, 1328, 715, P0, 0x0000000000000000
2026/09/17 07:51:06.709, 0, 79, 167.76, 100, 14315, 1290, 715, P0, 0x0000000000000020
2026/09/17 07:51:06.716, 1, 76, 148.37, 100, 13800, 1328, 715, P0, 0x0000000000000000
