timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 11:33:02.273, 0, 73, 53.12, 0, 9479, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:02.276, 1, 72, 53.31, 0, 9149, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:03.287, 0, 76, 204.22, 100, 9741, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:03.290, 1, 72, 53.17, 0, 9149, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:04.298, 0, 77, 184.85, 100, 9741, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:04.306, 1, 75, 170.67, 100, 9411, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:05.310, 0, 78, 221.25, 100, 9741, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:05.313, 1, 76, 157.82, 100, 9411, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:06.329, 0, 79, 189.54, 100, 9741, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:06.332, 1, 76, 171.81, 100, 9411, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:07.341, 0, 79, 216.93, 100, 9741, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:07.345, 1, 77, 179.68, 100, 9411, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:08.355, 0, 80, 173.84, 100, 9741, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:08.358, 1, 77, 179.67, 100, 9411, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:09.370, 0, 80, 163.44, 98, 9741, 1316, 715, P0, 0x0000000000000000
2026/09/17 11:33:09.373, 1, 77, 168.90, 100, 9411, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:10.386, 0, 79, 112.78, 100, 9741, 1189, 715, P0, 0x0000000000000000
2026/09/17 11:33:10.389, 1, 76, 91.82, 0, 9411, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:11.398, 0, 77, 56.20, 0, 9741, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:11.401, 1, 78, 176.88, 100, 9411, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:12.410, 0, 78, 119.47, 50, 9741, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:12.413, 1, 77, 154.61, 51, 9411, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:13.424, 0, 78, 122.47, 46, 9741, 1328, 715, P0, 0x0000000000000000
2026/09/17 11:33:13.427, 1, 77, 117.89, 50, 9411, 1328, 715, P0, 0x0000000000000000
