timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 08:13:44.635, 0, 62, 46.13, 0, 14566, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:44.638, 1, 63, 46.59, 0, 13756, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:45.647, 0, 64, 49.27, 33, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:45.651, 1, 64, 169.14, 99, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:46.661, 0, 65, 50.00, 87, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:46.666, 1, 65, 165.09, 57, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:47.674, 0, 67, 80.99, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:47.677, 1, 64, 144.29, 4, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:48.685, 0, 67, 181.24, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:48.687, 1, 64, 47.95, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:49.698, 0, 67, 182.70, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:49.702, 1, 64, 48.67, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:50.712, 0, 67, 180.85, 39, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:50.715, 1, 65, 49.16, 11, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:51.736, 0, 65, 48.53, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:51.741, 1, 67, 173.99, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:52.747, 0, 66, 49.76, 39, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:52.750, 1, 66, 170.58, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:53.759, 0, 66, 78.68, 10, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:53.762, 1, 66, 102.75, 63, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:54.772, 0, 65, 81.73, 44, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:54.775, 1, 65, 94.43, 50, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:55.782, 0, 65, 81.03, 41, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:55.785, 1, 65, 109.90, 47, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:56.789, 0, 68, 188.86, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:56.792, 1, 64, 49.59, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:57.803, 0, 68, 192.76, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:57.806, 1, 65, 50.58, 1, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:58.815, 0, 66, 49.73, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:58.818, 1, 68, 181.34, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:59.830, 0, 67, 51.90, 48, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:13:59.833, 1, 66, 177.04, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:00.840, 0, 69, 195.16, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:00.843, 1, 65, 50.56, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:01.855, 0, 67, 187.79, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:01.858, 1, 67, 54.18, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:02.869, 0, 67, 50.94, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:02.872, 1, 67, 175.61, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:03.880, 0, 69, 190.18, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:03.883, 1, 65, 50.32, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:04.897, 0, 67, 185.51, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:04.902, 1, 67, 53.48, 78, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:05.909, 0, 67, 51.62, 20, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:05.912, 1, 67, 182.28, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:06.920, 0, 70, 191.84, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:06.923, 1, 66, 50.83, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:07.930, 0, 67, 50.22, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:07.933, 1, 69, 181.95, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:08.943, 0, 70, 62.67, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:08.948, 1, 66, 171.54, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:09.953, 0, 69, 185.43, 75, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:09.957, 1, 66, 52.04, 2, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:10.966, 0, 68, 51.42, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:10.969, 1, 68, 183.70, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:11.978, 0, 70, 192.27, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:11.981, 1, 66, 51.04, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:12.988, 0, 67, 50.67, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:12.991, 1, 69, 184.88, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:14.001, 0, 71, 194.10, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:14.004, 1, 66, 50.80, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:15.018, 0, 69, 190.29, 37, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:15.021, 1, 68, 53.45, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:16.032, 0, 69, 53.31, 41, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:16.035, 1, 68, 181.67, 7, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:17.041, 0, 70, 191.39, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:17.044, 1, 67, 52.24, 3, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:18.053, 0, 69, 52.34, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:18.056, 1, 69, 184.64, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:19.064, 0, 71, 196.28, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:19.067, 1, 67, 51.75, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:20.078, 0, 68, 51.65, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:20.082, 1, 69, 180.79, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:21.091, 0, 72, 189.56, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:21.094, 1, 67, 51.55, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:22.104, 0, 68, 51.39, 0, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:22.107, 1, 70, 190.28, 100, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:23.114, 0, 72, 194.81, 100, 14606, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:23.121, 1, 67, 51.52, 0, 13796, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:14:24.128, 0, 68, 50.21, 0, 14606, 1328, 715, P0, 0x0000000000000000
