timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 08:33:38.455, 0, 48, 35.27, 0, 15846, 1189, 715, P0, 0x0000000000000000
2026/09/17 08:33:38.459, 1, 49, 34.76, 0, 15203, 1189, 715, P0, 0x0000000000000000
2026/09/17 08:33:39.471, 0, 51, 54.19, 100, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:39.477, 1, 49, 111.04, 0, 15263, 1189, 715, P0, 0x0000000000000000
2026/09/17 08:33:40.496, 0, 53, 154.87, 100, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:40.501, 1, 50, 101.53, 0, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:41.509, 0, 53, 178.62, 29, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:41.513, 1, 53, 166.38, 89, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:42.520, 0, 54, 175.27, 100, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:42.524, 1, 54, 169.98, 100, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:43.535, 0, 55, 176.74, 100, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:43.538, 1, 53, 43.17, 72, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:44.544, 0, 53, 180.90, 7, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:44.549, 1, 53, 43.64, 95, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:45.563, 0, 52, 42.81, 0, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:45.568, 1, 55, 171.07, 100, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:46.573, 0, 52, 68.37, 41, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:46.576, 1, 53, 96.11, 46, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:47.585, 0, 52, 76.11, 43, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:47.588, 1, 53, 110.99, 49, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:48.600, 0, 52, 44.19, 39, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:48.605, 1, 52, 44.19, 22, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:49.615, 0, 55, 184.52, 8, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:49.618, 1, 54, 176.11, 100, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:50.627, 0, 56, 181.28, 93, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:50.630, 1, 56, 175.11, 100, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:51.640, 0, 57, 185.20, 100, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:51.644, 1, 55, 46.04, 73, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:52.653, 0, 57, 70.46, 100, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:52.656, 1, 54, 143.60, 0, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:53.666, 0, 56, 173.16, 21, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:53.671, 1, 56, 167.45, 94, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:54.682, 0, 57, 185.26, 100, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:54.685, 1, 56, 169.70, 100, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:55.709, 0, 58, 179.09, 100, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:55.712, 1, 57, 171.12, 100, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:56.720, 0, 58, 182.81, 100, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:56.723, 1, 56, 44.60, 96, 15263, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:57.740, 0, 59, 182.86, 100, 15906, 1328, 715, P0, 0x0000000000000000
2026/09/17 08:33:57.743, 1, 55, 44.12, 11, 15263, 1328, 715, P0, 0x0000000000000000
