timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 17:50:11.256, 0, 70, 50.22, 0, 15596, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:11.260, 1, 69, 51.64, 0, 15308, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:12.266, 0, 73, 143.60, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:12.269, 1, 69, 51.63, 0, 15308, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:13.277, 0, 74, 171.77, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:13.283, 1, 69, 51.25, 0, 15308, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:14.290, 0, 74, 58.09, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:14.293, 1, 69, 203.59, 0, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:15.305, 0, 75, 155.34, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:15.308, 1, 72, 155.40, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:16.312, 0, 75, 148.07, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:16.315, 1, 73, 141.91, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:17.323, 0, 76, 148.55, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:17.326, 1, 71, 53.29, 0, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:18.338, 0, 75, 203.42, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:18.341, 1, 73, 152.82, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:19.349, 0, 76, 165.14, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:19.352, 1, 74, 166.25, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:20.363, 0, 77, 149.57, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:20.366, 1, 72, 54.55, 0, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:21.378, 0, 75, 176.06, 0, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:21.381, 1, 73, 180.70, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:22.392, 0, 77, 154.54, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:22.395, 1, 74, 204.45, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:23.406, 0, 77, 218.56, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:23.409, 1, 75, 168.51, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:24.418, 0, 76, 56.28, 0, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:24.421, 1, 73, 141.63, 58, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:25.434, 0, 78, 187.72, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:25.437, 1, 75, 210.99, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:26.443, 0, 78, 149.64, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:26.446, 1, 75, 144.91, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:27.456, 0, 79, 200.95, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:27.462, 1, 73, 54.42, 0, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:28.467, 0, 78, 149.78, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:28.470, 1, 75, 207.33, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:29.477, 0, 79, 153.15, 100, 16016, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:29.481, 1, 76, 193.65, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:30.490, 0, 79, 145.18, 100, 16016, 1290, 715, P0, 0x0000000000000000
2026/09/17 17:50:30.493, 1, 75, 56.20, 39, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:31.503, 0, 77, 51.98, 0, 16016, 1278, 715, P0, 0x0000000000000000
2026/09/17 17:50:31.506, 1, 75, 145.63, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:32.517, 0, 79, 192.94, 100, 16016, 1316, 715, P0, 0x0000000000000020
2026/09/17 17:50:32.520, 1, 76, 148.79, 100, 15728, 1328, 715, P0, 0x0000000000000000
2026/09/17 17:50:33.529, 0, 79, 173.68, 100, 16016, 1316, 715, P0, 0x0000000000000000
