timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/18 19:23:49.472, 0, 77, 54.78, 6, 9, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:23:49.476, 1, 77, 55.72, 6, 9, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:23:50.484, 0, 76, 54.51, 0, 265, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:23:50.487, 1, 77, 55.45, 0, 265, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:23:51.492, 0, 76, 47.32, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:23:52.402, 1, 76, 48.27, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:23:53.411, 0, 76, 46.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:23:53.414, 1, 76, 48.03, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:23:54.426, 0, 75, 46.35, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:23:56.004, 1, 75, 47.55, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:23:57.013, 0, 75, 46.60, 26, 5890, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:23:57.017, 1, 75, 47.55, 0, 5613, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:23:58.038, 0, 75, 45.87, 25, 5890, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:23:58.049, 1, 75, 49.73, 43, 5613, 1290, 715, P0, 0x0000000000000000
2026/09/18 19:23:59.068, 0, 74, 45.86, 0, 5890, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:23:59.071, 1, 75, 55.02, 98, 5613, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:24:00.077, 0, 74, 48.04, 0, 9374, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:24:00.080, 1, 75, 54.04, 56, 9329, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:24:01.088, 0, 79, 195.93, 95, 9384, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:24:01.092, 1, 77, 185.27, 91, 9401, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:24:02.102, 0, 79, 158.69, 99, 9384, 1252, 715, P0, 0x0000000000000020
2026/09/18 19:24:02.110, 1, 77, 176.36, 28, 9401, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:24:03.116, 0, 79, 142.70, 100, 9384, 1177, 715, P0, 0x0000000000000020
2026/09/18 19:24:03.119, 1, 79, 192.48, 100, 9401, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:24:04.128, 0, 79, 149.51, 99, 9384, 1177, 715, P0, 0x0000000000000020
2026/09/18 19:24:04.132, 1, 79, 176.09, 22, 9401, 1316, 715, P0, 0x0000000000000020
2026/09/18 19:24:05.145, 0, 79, 142.31, 100, 9384, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:24:05.149, 1, 79, 176.79, 100, 9401, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:24:06.157, 0, 79, 130.99, 99, 9384, 1101, 715, P0, 0x0000000000000020
2026/09/18 19:24:06.160, 1, 79, 174.22, 0, 9401, 1303, 715, P0, 0x0000000000000020
2026/09/18 19:24:07.168, 0, 79, 119.23, 100, 9384, 1075, 715, P0, 0x0000000000000020
2026/09/18 19:24:07.170, 1, 79, 173.69, 100, 9401, 1303, 715, P0, 0x0000000000000000
2026/09/18 19:24:08.181, 0, 79, 128.93, 100, 9384, 1101, 715, P0, 0x0000000000000020
2026/09/18 19:24:08.189, 1, 78, 55.54, 98, 9401, 1290, 715, P0, 0x0000000000000000
2026/09/18 19:24:09.197, 0, 79, 123.57, 99, 9384, 1101, 715, P0, 0x0000000000000020
2026/09/18 19:24:09.200, 1, 79, 157.00, 9, 9401, 1252, 715, P0, 0x0000000000000020
2026/09/18 19:24:10.207, 0, 79, 122.35, 100, 9384, 1101, 715, P0, 0x0000000000000000
2026/09/18 19:24:10.211, 1, 79, 168.96, 100, 9401, 1265, 715, P0, 0x0000000000000000
2026/09/18 19:24:11.224, 0, 79, 122.77, 100, 9384, 1101, 715, P0, 0x0000000000000020
2026/09/18 19:24:11.230, 1, 79, 52.20, 100, 9401, 1215, 715, P0, 0x0000000000000000
2026/09/18 19:24:12.234, 0, 79, 127.86, 100, 9384, 1101, 715, P0, 0x0000000000000020
2026/09/18 19:24:12.238, 1, 79, 155.09, 5, 9401, 1227, 715, P0, 0x0000000000000020
2026/09/18 19:24:13.248, 0, 79, 124.53, 100, 9384, 1101, 715, P0, 0x0000000000000020
2026/09/18 19:24:13.251, 1, 79, 155.13, 92, 9401, 1227, 715, P0, 0x0000000000000000
2026/09/18 19:24:14.267, 0, 79, 129.82, 100, 9384, 1101, 715, P0, 0x0000000000000020
2026/09/18 19:24:14.269, 1, 79, 144.08, 100, 9401, 1164, 715, P0, 0x0000000000000020
2026/09/18 19:24:15.284, 0, 79, 128.77, 100, 9384, 1101, 715, P0, 0x0000000000000020
2026/09/18 19:24:15.287, 1, 78, 50.27, 22, 9401, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:24:16.299, 0, 79, 106.10, 99, 9384, 974, 715, P0, 0x0000000000000000
2026/09/18 19:24:16.311, 1, 79, 162.79, 45, 9401, 1215, 715, P0, 0x0000000000000020
2026/09/18 19:24:17.330, 0, 79, 109.09, 100, 9384, 1012, 715, P0, 0x0000000000000000
2026/09/18 19:24:17.333, 1, 79, 131.51, 100, 9401, 1139, 715, P0, 0x0000000000000020
2026/09/18 19:24:18.350, 0, 79, 112.60, 100, 9384, 961, 715, P0, 0x0000000000000020
2026/09/18 19:24:18.353, 1, 79, 137.79, 100, 9401, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:24:19.365, 0, 79, 115.18, 100, 9384, 1037, 715, P0, 0x0000000000000000
2026/09/18 19:24:19.369, 1, 79, 140.74, 100, 9401, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:24:20.379, 0, 79, 109.94, 100, 9384, 1025, 715, P0, 0x0000000000000000
2026/09/18 19:24:20.381, 1, 80, 86.24, 100, 9401, 1240, 715, P0, 0x0000000000000000
2026/09/18 19:24:21.392, 0, 79, 109.95, 100, 9384, 1025, 715, P0, 0x0000000000000000
2026/09/18 19:24:21.395, 1, 77, 54.91, 100, 9401, 417, 715, P0, 0x0000000000000000
2026/09/18 19:24:22.424, 0, 79, 109.72, 100, 9384, 999, 715, P0, 0x0000000000000000
2026/09/18 19:24:22.433, 1, 78, 99.34, 100, 9401, 911, 715, P0, 0x0000000000000020
2026/09/18 19:24:23.456, 0, 79, 106.74, 100, 9384, 1025, 715, P0, 0x0000000000000020
2026/09/18 19:24:23.459, 1, 78, 128.28, 100, 9401, 1126, 715, P0, 0x0000000000000020
2026/09/18 19:24:24.471, 0, 79, 115.03, 100, 9384, 999, 715, P0, 0x0000000000000020
2026/09/18 19:24:24.474, 1, 79, 134.55, 100, 9401, 1126, 715, P0, 0x0000000000000020
2026/09/18 19:24:25.496, 0, 79, 109.60, 100, 9384, 1012, 715, P0, 0x0000000000000000
2026/09/18 19:24:25.499, 1, 79, 131.77, 75, 9401, 1139, 715, P0, 0x0000000000000020
2026/09/18 19:24:26.510, 0, 79, 111.87, 100, 9384, 1025, 715, P0, 0x0000000000000020
2026/09/18 19:24:26.513, 1, 79, 144.73, 100, 9401, 1189, 715, P0, 0x0000000000000000
