timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/18 19:53:02.881, 0, 77, 54.55, 6, 9, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:53:02.886, 1, 77, 55.73, 6, 9, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:53:03.893, 0, 76, 45.87, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:03.896, 1, 76, 47.55, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:04.902, 0, 76, 47.08, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:04.905, 1, 76, 48.03, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:05.925, 0, 76, 47.08, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:05.928, 1, 76, 47.79, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:06.937, 0, 76, 47.08, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:09.254, 1, 75, 47.55, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:10.270, 0, 75, 46.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:10.273, 1, 75, 47.30, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:11.279, 0, 75, 47.12, 9, 8623, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:11.282, 1, 75, 47.33, 0, 9601, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:12.290, 0, 74, 46.86, 26, 8623, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:12.293, 1, 74, 47.09, 0, 9601, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:13.307, 0, 74, 46.84, 26, 8623, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:13.310, 1, 74, 47.09, 0, 9601, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:14.316, 0, 74, 46.10, 0, 8623, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:14.321, 1, 74, 53.83, 99, 9601, 1316, 715, P0, 0x0000000000000000
2026/09/18 19:53:15.325, 0, 74, 46.10, 0, 8623, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:15.328, 1, 74, 54.32, 99, 9601, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:53:16.335, 0, 74, 45.86, 0, 8623, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:16.341, 1, 74, 54.05, 98, 9601, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:53:17.347, 0, 73, 45.86, 0, 8623, 1189, 715, P0, 0x0000000000000000
2026/09/18 19:53:17.350, 1, 74, 54.08, 92, 9601, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:53:18.358, 0, 76, 173.14, 91, 14059, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:53:18.361, 1, 74, 54.20, 0, 13169, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:53:19.371, 0, 78, 188.54, 100, 14059, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:53:19.374, 1, 77, 112.44, 100, 13169, 1328, 715, P0, 0x0000000000000000
2026/09/18 19:53:20.383, 0, 79, 195.91, 100, 14059, 1328, 715, P0, 0x0000000000000000
