timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/18 18:37:22.829, 0, 77, 54.54, 4, 9, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:22.832, 1, 77, 55.48, 6, 9, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:23.840, 0, 76, 46.84, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:23.843, 1, 76, 48.51, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:24.851, 0, 76, 47.08, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:27.499, 1, 75, 47.79, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:28.504, 0, 75, 46.84, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:28.507, 1, 75, 47.55, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:29.522, 0, 75, 46.60, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:31.462, 1, 75, 47.30, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:32.466, 0, 75, 47.08, 26, 10832, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:32.472, 1, 74, 47.30, 0, 10323, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:33.483, 0, 74, 46.84, 26, 10832, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:33.487, 1, 74, 47.06, 0, 10323, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:34.502, 0, 74, 46.84, 25, 10832, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:34.504, 1, 74, 47.06, 0, 10323, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:35.514, 0, 74, 46.10, 0, 10832, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:35.517, 1, 74, 54.53, 97, 10323, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:36.523, 0, 74, 45.86, 0, 10832, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:36.530, 1, 74, 54.53, 98, 10323, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:37.549, 0, 74, 45.86, 0, 10832, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:37.552, 1, 74, 54.29, 72, 10323, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:38.563, 0, 74, 45.62, 0, 10832, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:38.566, 1, 74, 54.29, 87, 10323, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:39.572, 0, 75, 140.65, 26, 13996, 1189, 715, P0, 0x0000000000000000
2026/09/18 18:37:39.576, 1, 74, 54.27, 48, 13855, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:40.593, 0, 78, 195.05, 100, 13996, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:40.596, 1, 76, 60.12, 72, 13869, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:41.603, 0, 78, 59.06, 61, 13996, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:41.607, 1, 77, 179.86, 41, 13869, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:42.618, 0, 79, 190.51, 100, 13996, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:42.621, 1, 78, 182.77, 100, 13869, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:43.630, 0, 80, 184.55, 100, 13996, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:43.633, 1, 78, 62.06, 90, 13869, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:44.648, 0, 80, 94.98, 100, 13996, 1265, 715, P0, 0x0000000000000000
2026/09/18 18:37:44.651, 1, 77, 147.73, 0, 13869, 1328, 715, P0, 0x0000000000000000
2026/09/18 18:37:45.663, 0, 79, 147.86, 21, 13996, 1215, 715, P0, 0x0000000000000020
