timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/18 14:40:15.846, 0, 44, 27.75, 0, 9, 405, 715, P0, 0x0000000000000001
2026/09/18 14:40:15.850, 1, 45, 27.75, 0, 9, 405, 715, P0, 0x0000000000000001
2026/09/18 14:40:16.856, 0, 45, 34.54, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 14:40:16.859, 1, 45, 33.55, 0, 265, 1189, 715, P0, 0x0000000000000000
2026/09/18 14:40:17.881, 0, 45, 34.78, 26, 1024, 1189, 715, P0, 0x0000000000000000
2026/09/18 14:40:17.888, 1, 45, 34.03, 0, 1421, 1189, 715, P0, 0x0000000000000000
2026/09/18 14:40:18.893, 0, 48, 176.27, 99, 1252, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:18.896, 1, 47, 156.45, 76, 2095, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:19.908, 0, 48, 81.27, 39, 1252, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:19.911, 1, 48, 92.24, 52, 2095, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:20.917, 0, 47, 92.07, 40, 1252, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:20.920, 1, 48, 111.13, 52, 2095, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:21.929, 0, 52, 194.16, 99, 1252, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:21.932, 1, 50, 174.68, 88, 2095, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:22.944, 0, 50, 83.42, 55, 1252, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:22.948, 1, 51, 114.29, 88, 2095, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:23.989, 0, 49, 84.41, 39, 1252, 1328, 715, P0, 0x0000000000000000
2026/09/18 14:40:23.992, 1, 50, 109.10, 52, 2095, 1328, 715, P0, 0x0000000000000000
