timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 07:14:06.287, 0, 69, 43.47, 0, 15779, 1189, 715, P0, 0x0000000000000000
2026/09/19 07:14:06.290, 1, 71, 51.90, 0, 14366, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:07.300, 0, 71, 155.01, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:07.307, 1, 71, 51.90, 0, 14366, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:08.311, 0, 73, 154.87, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:08.314, 1, 70, 51.64, 0, 14366, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:09.319, 0, 70, 53.60, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:09.324, 1, 73, 155.47, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:10.329, 0, 72, 140.66, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:10.332, 1, 72, 54.77, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:11.341, 0, 73, 162.50, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:11.344, 1, 71, 53.96, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:12.351, 0, 71, 54.14, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:12.354, 1, 73, 139.20, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:13.362, 0, 72, 193.68, 2, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:13.365, 1, 73, 55.58, 83, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:14.369, 0, 73, 161.05, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:14.373, 1, 71, 54.28, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:15.391, 0, 72, 54.77, 16, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:15.394, 1, 72, 170.62, 93, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:16.400, 0, 71, 53.60, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:16.403, 1, 74, 152.59, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:17.408, 0, 73, 151.93, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:17.411, 1, 71, 54.03, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:18.422, 0, 74, 148.57, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:18.425, 1, 71, 53.80, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:19.432, 0, 71, 53.61, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:19.435, 1, 73, 147.82, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:20.445, 0, 73, 148.34, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:20.448, 1, 72, 54.51, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:21.457, 0, 74, 155.39, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:21.460, 1, 71, 53.78, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:22.467, 0, 72, 54.56, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:22.471, 1, 73, 159.35, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:23.478, 0, 73, 166.55, 63, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:23.481, 1, 73, 56.15, 23, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:24.486, 0, 74, 149.82, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:24.489, 1, 71, 53.78, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:25.498, 0, 74, 56.27, 57, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:25.501, 1, 72, 150.47, 58, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:26.514, 0, 72, 54.13, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:26.517, 1, 74, 143.60, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:27.525, 0, 74, 142.69, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:27.528, 1, 72, 54.76, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:28.535, 0, 75, 153.89, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:28.538, 1, 71, 54.02, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:29.546, 0, 73, 55.34, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:29.549, 1, 73, 138.65, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:30.557, 0, 73, 147.29, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:30.559, 1, 74, 57.17, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:31.568, 0, 75, 154.34, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:31.571, 1, 72, 53.96, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:32.577, 0, 76, 152.21, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:32.580, 1, 71, 67.06, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:33.602, 0, 73, 55.06, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:33.606, 1, 74, 146.12, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:34.615, 0, 75, 188.60, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:34.618, 1, 72, 55.39, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:35.623, 0, 76, 151.15, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:35.626, 1, 71, 54.03, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:36.634, 0, 74, 53.79, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:36.637, 1, 73, 187.30, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:37.644, 0, 73, 52.62, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:37.649, 1, 75, 175.40, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:38.659, 0, 75, 151.69, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:38.662, 1, 72, 54.77, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:39.673, 0, 76, 165.98, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:39.676, 1, 71, 53.94, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:40.698, 0, 74, 55.06, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:40.701, 1, 73, 142.33, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:41.708, 0, 73, 54.82, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:41.711, 1, 75, 148.75, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:42.719, 0, 76, 194.81, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:42.722, 1, 72, 54.61, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:43.730, 0, 77, 156.35, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:43.733, 1, 71, 54.05, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:44.742, 0, 74, 54.73, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:44.745, 1, 74, 188.51, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:45.751, 0, 74, 143.69, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:45.754, 1, 74, 56.90, 90, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:46.761, 0, 77, 176.46, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:46.764, 1, 72, 54.44, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:47.771, 0, 77, 211.01, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:47.774, 1, 71, 53.88, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:48.779, 0, 74, 54.79, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:48.783, 1, 74, 147.36, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:49.789, 0, 76, 199.32, 94, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:49.791, 1, 73, 56.01, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:50.804, 0, 77, 195.02, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:50.807, 1, 72, 54.37, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:51.814, 0, 77, 58.69, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:51.817, 1, 72, 139.99, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:52.832, 0, 74, 55.08, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:52.835, 1, 74, 155.46, 98, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:53.846, 0, 76, 146.84, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:53.850, 1, 73, 55.48, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:54.858, 0, 77, 187.77, 98, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:54.861, 1, 72, 54.20, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:55.867, 0, 77, 58.64, 99, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:55.872, 1, 73, 141.27, 0, 14496, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:56.878, 0, 75, 55.25, 0, 15909, 1328, 715, P0, 0x0000000000000000
2026/09/19 07:14:56.882, 1, 75, 156.44, 98, 14496, 1328, 715, P0, 0x0000000000000000
