timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 03:22:31.892, 0, 73, 53.58, 8, 9193, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:31.898, 1, 73, 53.79, 10, 10127, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:32.921, 0, 75, 160.43, 32, 9277, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:32.925, 1, 75, 167.06, 99, 10231, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:33.932, 0, 78, 177.22, 100, 9277, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:33.938, 1, 76, 176.60, 100, 10231, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:34.945, 0, 79, 176.30, 100, 9277, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:34.948, 1, 78, 173.97, 100, 10231, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:35.956, 0, 79, 194.60, 99, 9277, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:35.960, 1, 78, 167.02, 100, 10231, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:36.974, 0, 79, 160.87, 100, 9277, 1240, 715, P0, 0x0000000000000000
2026/09/19 03:22:36.976, 1, 79, 185.22, 100, 10231, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:37.988, 0, 79, 151.23, 100, 9277, 1240, 715, P0, 0x0000000000000020
2026/09/19 03:22:37.991, 1, 79, 180.13, 100, 10231, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:39.001, 0, 79, 135.88, 100, 9277, 1240, 715, P0, 0x0000000000000000
2026/09/19 03:22:39.004, 1, 79, 190.30, 100, 10231, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:40.014, 0, 79, 157.83, 100, 9277, 1252, 715, P0, 0x0000000000000000
2026/09/19 03:22:40.019, 1, 80, 165.93, 100, 10231, 1328, 715, P0, 0x0000000000000000
2026/09/19 03:22:41.028, 0, 79, 166.46, 100, 9277, 1240, 715, P0, 0x0000000000000000
2026/09/19 03:22:41.031, 1, 79, 168.37, 100, 10231, 1303, 715, P0, 0x0000000000000000
2026/09/19 03:22:42.048, 0, 79, 134.94, 100, 9277, 1189, 715, P0, 0x0000000000000000
2026/09/19 03:22:42.051, 1, 79, 145.21, 100, 10231, 1290, 715, P0, 0x0000000000000000
2026/09/19 03:22:43.061, 0, 79, 128.45, 100, 9277, 1189, 715, P0, 0x0000000000000000
2026/09/19 03:22:43.064, 1, 79, 134.30, 100, 10231, 1215, 715, P0, 0x0000000000000000
2026/09/19 03:22:44.091, 0, 79, 125.30, 100, 9277, 1202, 715, P0, 0x0000000000000000
2026/09/19 03:22:44.096, 1, 79, 146.41, 100, 10231, 1189, 715, P0, 0x0000000000000020
2026/09/19 03:22:45.107, 0, 79, 138.93, 99, 9277, 1177, 715, P0, 0x0000000000000000
2026/09/19 03:22:45.113, 1, 78, 126.68, 100, 10231, 1189, 715, P0, 0x0000000000000000
2026/09/19 03:22:46.124, 0, 79, 149.99, 100, 9277, 1202, 715, P0, 0x0000000000000000
2026/09/19 03:22:46.129, 1, 79, 128.95, 100, 10231, 1202, 715, P0, 0x0000000000000020
2026/09/19 03:22:47.138, 0, 79, 131.99, 100, 9277, 1202, 715, P0, 0x0000000000000000
2026/09/19 03:22:47.141, 1, 79, 140.38, 100, 10231, 1227, 715, P0, 0x0000000000000020
2026/09/19 03:22:48.156, 0, 79, 125.38, 99, 9277, 1113, 715, P0, 0x0000000000000020
2026/09/19 03:22:48.159, 1, 79, 133.96, 66, 10231, 1227, 715, P0, 0x0000000000000000
2026/09/19 03:22:49.171, 0, 79, 130.31, 100, 9277, 1075, 715, P0, 0x0000000000000020
2026/09/19 03:22:49.182, 1, 79, 144.19, 100, 10231, 1227, 715, P0, 0x0000000000000020
2026/09/19 03:22:50.203, 0, 79, 113.09, 100, 9277, 1050, 715, P0, 0x0000000000000020
2026/09/19 03:22:50.206, 1, 79, 145.22, 100, 10231, 1227, 715, P0, 0x0000000000000020
2026/09/19 03:22:51.216, 0, 79, 113.74, 100, 9277, 1063, 715, P0, 0x0000000000000000
2026/09/19 03:22:51.221, 1, 78, 146.29, 70, 10231, 1303, 715, P0, 0x0000000000000020
2026/09/19 03:22:52.244, 0, 79, 119.67, 99, 9277, 1101, 715, P0, 0x0000000000000020
2026/09/19 03:22:52.247, 1, 79, 136.45, 94, 10231, 1189, 715, P0, 0x0000000000000000
2026/09/19 03:22:53.255, 0, 79, 114.48, 100, 9277, 1088, 715, P0, 0x0000000000000000
2026/09/19 03:22:53.262, 1, 79, 141.63, 100, 10231, 1189, 715, P0, 0x0000000000000020
2026/09/19 03:22:54.268, 0, 79, 103.11, 100, 9277, 1075, 715, P0, 0x0000000000000000
2026/09/19 03:22:54.271, 1, 79, 138.42, 100, 10231, 1227, 715, P0, 0x0000000000000000
2026/09/19 03:22:55.284, 0, 79, 117.43, 100, 9277, 1088, 715, P0, 0x0000000000000000
2026/09/19 03:22:55.287, 1, 78, 133.10, 92, 10231, 1252, 715, P0, 0x0000000000000000
2026/09/19 03:22:56.300, 0, 79, 100.24, 100, 9277, 1088, 715, P0, 0x0000000000000000
2026/09/19 03:22:56.303, 1, 80, 138.90, 51, 10231, 1189, 715, P0, 0x0000000000000020
2026/09/19 03:22:57.313, 0, 79, 113.86, 100, 9277, 1050, 715, P0, 0x0000000000000020
2026/09/19 03:22:57.323, 1, 79, 121.12, 100, 10231, 1113, 715, P0, 0x0000000000000020
2026/09/19 03:22:58.330, 0, 79, 123.85, 100, 9277, 1113, 715, P0, 0x0000000000000000
2026/09/19 03:22:58.333, 1, 79, 120.13, 100, 10231, 1113, 715, P0, 0x0000000000000000
2026/09/19 03:22:59.341, 0, 79, 122.75, 100, 9277, 1101, 715, P0, 0x0000000000000020
2026/09/19 03:22:59.345, 1, 79, 120.62, 100, 10231, 1113, 715, P0, 0x0000000000000020
2026/09/19 03:23:00.354, 0, 79, 105.53, 99, 9277, 1088, 715, P0, 0x0000000000000000
2026/09/19 03:23:00.357, 1, 79, 134.55, 69, 10231, 1126, 715, P0, 0x0000000000000020
2026/09/19 03:23:01.370, 0, 79, 100.34, 99, 9277, 1075, 715, P0, 0x0000000000000000
2026/09/19 03:23:01.373, 1, 79, 129.67, 100, 10231, 1075, 715, P0, 0x0000000000000020
2026/09/19 03:23:02.383, 0, 79, 127.38, 100, 9277, 1101, 715, P0, 0x0000000000000020
2026/09/19 03:23:02.389, 1, 79, 116.59, 100, 10231, 1151, 715, P0, 0x0000000000000000
2026/09/19 03:23:03.398, 0, 79, 116.24, 100, 9277, 1113, 715, P0, 0x0000000000000000
2026/09/19 03:23:03.408, 1, 79, 109.28, 100, 10231, 1151, 715, P0, 0x0000000000000000
2026/09/19 03:23:04.412, 0, 79, 105.75, 100, 9277, 1063, 715, P0, 0x0000000000000000
2026/09/19 03:23:04.415, 1, 79, 132.76, 100, 10231, 1164, 715, P0, 0x0000000000000020
2026/09/19 03:23:05.426, 0, 79, 114.41, 100, 9277, 1088, 715, P0, 0x0000000000000000
2026/09/19 03:23:05.430, 1, 79, 51.99, 100, 10231, 1189, 715, P0, 0x0000000000000000
2026/09/19 03:23:06.436, 0, 79, 118.55, 100, 9277, 1101, 715, P0, 0x0000000000000000
