timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 12:14:39.308, 0, 71, 44.65, 0, 14283, 1189, 715, P0, 0x0000000000000000
2026/09/19 12:14:39.312, 1, 72, 53.56, 0, 13768, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:40.320, 0, 75, 191.47, 4, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:40.323, 1, 74, 174.52, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:41.331, 0, 76, 190.29, 100, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:41.334, 1, 74, 57.28, 88, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:42.343, 0, 77, 190.18, 100, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:42.386, 1, 74, 55.86, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:43.399, 0, 76, 173.15, 19, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:43.402, 1, 75, 180.90, 38, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:44.413, 0, 77, 194.46, 99, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:44.416, 1, 76, 160.83, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:45.428, 0, 78, 188.49, 100, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:45.431, 1, 75, 57.76, 99, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:46.439, 0, 78, 192.07, 100, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:46.444, 1, 75, 56.54, 45, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:47.451, 0, 79, 147.92, 100, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:47.454, 1, 74, 113.24, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:48.464, 0, 77, 139.89, 53, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:48.467, 1, 76, 181.23, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:49.477, 0, 79, 193.49, 38, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:49.482, 1, 77, 179.90, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:50.487, 0, 79, 191.40, 100, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:50.491, 1, 77, 157.07, 99, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:51.501, 0, 79, 186.21, 100, 14343, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:51.504, 1, 76, 58.00, 52, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:52.512, 0, 79, 167.35, 100, 14343, 1278, 715, P0, 0x0000000000000020
2026/09/19 12:14:52.515, 1, 75, 57.33, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:53.521, 0, 79, 177.08, 100, 14343, 1303, 715, P0, 0x0000000000000000
2026/09/19 12:14:53.527, 1, 75, 57.08, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:54.536, 0, 79, 109.93, 100, 14343, 1265, 715, P0, 0x0000000000000020
2026/09/19 12:14:54.539, 1, 75, 123.50, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:55.548, 0, 78, 55.48, 100, 14343, 1303, 715, P0, 0x0000000000000000
2026/09/19 12:14:55.551, 1, 76, 183.56, 21, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:56.561, 0, 78, 116.19, 89, 14343, 1303, 715, P0, 0x0000000000000000
2026/09/19 12:14:56.564, 1, 77, 184.23, 72, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:57.574, 0, 77, 143.68, 16, 14343, 1252, 715, P0, 0x0000000000000000
2026/09/19 12:14:57.578, 1, 77, 177.31, 78, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:58.589, 0, 78, 170.65, 18, 14343, 1265, 715, P0, 0x0000000000000020
2026/09/19 12:14:58.594, 1, 77, 187.45, 81, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:14:59.601, 0, 79, 164.34, 30, 14343, 1265, 715, P0, 0x0000000000000020
2026/09/19 12:14:59.604, 1, 77, 176.76, 94, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:00.616, 0, 79, 151.37, 41, 14343, 1227, 715, P0, 0x0000000000000020
2026/09/19 12:15:00.619, 1, 77, 180.86, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:01.629, 0, 79, 149.99, 74, 14343, 1227, 715, P0, 0x0000000000000020
2026/09/19 12:15:01.634, 1, 78, 187.91, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:02.644, 0, 79, 145.02, 96, 14343, 1202, 715, P0, 0x0000000000000000
2026/09/19 12:15:02.647, 1, 78, 183.00, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:03.656, 0, 79, 141.30, 81, 14343, 1202, 715, P0, 0x0000000000000000
2026/09/19 12:15:03.659, 1, 78, 190.00, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:04.671, 0, 79, 136.84, 73, 14343, 1177, 715, P0, 0x0000000000000020
2026/09/19 12:15:04.677, 1, 78, 189.79, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:05.688, 0, 79, 134.33, 29, 14343, 1151, 715, P0, 0x0000000000000020
2026/09/19 12:15:05.699, 1, 78, 180.21, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:06.717, 0, 79, 136.85, 13, 14343, 1164, 715, P0, 0x0000000000000020
2026/09/19 12:15:06.720, 1, 78, 182.20, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:07.730, 0, 79, 146.56, 17, 14343, 1177, 715, P0, 0x0000000000000020
2026/09/19 12:15:07.738, 1, 78, 179.51, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:08.743, 0, 78, 119.96, 60, 14343, 1303, 715, P0, 0x0000000000000000
2026/09/19 12:15:08.746, 1, 77, 184.49, 93, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:09.753, 0, 78, 48.78, 95, 14343, 1189, 715, P0, 0x0000000000000000
2026/09/19 12:15:09.757, 1, 78, 178.01, 57, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:10.765, 0, 79, 48.81, 100, 14343, 1189, 715, P0, 0x0000000000000000
2026/09/19 12:15:10.768, 1, 77, 180.77, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:11.777, 0, 79, 129.32, 100, 14343, 1139, 715, P0, 0x0000000000000020
2026/09/19 12:15:11.780, 1, 76, 57.69, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:12.792, 0, 80, 135.54, 100, 14343, 1139, 715, P0, 0x0000000000000020
2026/09/19 12:15:12.800, 1, 76, 57.66, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:13.805, 0, 79, 124.36, 100, 14343, 1088, 715, P0, 0x0000000000000020
2026/09/19 12:15:13.808, 1, 77, 58.18, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:14.821, 0, 79, 114.90, 100, 14343, 1101, 715, P0, 0x0000000000000020
2026/09/19 12:15:14.824, 1, 77, 59.17, 81, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:15.838, 0, 79, 121.01, 100, 14343, 1126, 715, P0, 0x0000000000000000
2026/09/19 12:15:15.842, 1, 78, 76.19, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:16.852, 0, 79, 130.26, 100, 14343, 1151, 715, P0, 0x0000000000000020
2026/09/19 12:15:16.860, 1, 79, 148.24, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:17.865, 0, 79, 133.76, 54, 14343, 1139, 715, P0, 0x0000000000000020
2026/09/19 12:15:17.869, 1, 79, 180.22, 100, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:18.883, 0, 78, 101.71, 25, 14343, 1189, 715, P0, 0x0000000000000000
2026/09/19 12:15:18.885, 1, 78, 184.51, 33, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:19.900, 0, 79, 62.52, 100, 14343, 1189, 715, P0, 0x0000000000000000
2026/09/19 12:15:19.903, 1, 77, 156.57, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:20.917, 0, 79, 118.20, 100, 14343, 1101, 715, P0, 0x0000000000000000
2026/09/19 12:15:20.922, 1, 77, 58.20, 0, 13828, 1328, 715, P0, 0x0000000000000000
2026/09/19 12:15:21.934, 0, 79, 124.83, 100, 14343, 1126, 715, P0, 0x0000000000000020
