timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 08:21:41.063, 0, 70, 44.19, 0, 15598, 1189, 715, P0, 0x0000000000000000
2026/09/19 08:21:41.067, 1, 71, 52.62, 0, 14893, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:42.075, 0, 74, 59.33, 100, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:42.079, 1, 71, 181.92, 0, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:43.085, 0, 75, 201.87, 100, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:43.088, 1, 72, 54.84, 7, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:44.098, 0, 76, 204.30, 55, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:44.101, 1, 75, 189.94, 100, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:45.112, 0, 75, 202.04, 0, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:45.114, 1, 75, 193.02, 100, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:46.124, 0, 74, 134.22, 9, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:46.126, 1, 75, 190.06, 98, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:47.139, 0, 75, 56.40, 89, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:47.142, 1, 75, 189.96, 18, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:48.154, 0, 78, 204.14, 100, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:48.157, 1, 73, 66.40, 0, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:49.165, 0, 78, 202.86, 100, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:49.168, 1, 75, 56.80, 63, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:50.179, 0, 78, 206.98, 100, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:50.182, 1, 76, 61.09, 74, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:51.194, 0, 78, 207.85, 100, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:51.197, 1, 77, 194.62, 100, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:52.208, 0, 76, 186.76, 0, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:52.211, 1, 77, 198.00, 100, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:53.223, 0, 78, 58.08, 54, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:53.227, 1, 76, 194.57, 54, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:54.236, 0, 80, 176.32, 100, 15658, 1303, 715, P0, 0x0000000000000000
2026/09/19 08:21:54.239, 1, 75, 56.87, 0, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:55.246, 0, 79, 202.62, 100, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:55.249, 1, 76, 57.73, 17, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:56.256, 0, 80, 198.83, 100, 15658, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:56.259, 1, 78, 75.14, 100, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:57.269, 0, 78, 163.29, 100, 15658, 1240, 715, P0, 0x0000000000000000
2026/09/19 08:21:57.275, 1, 78, 194.34, 100, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:58.281, 0, 77, 171.69, 0, 15658, 1316, 715, P0, 0x0000000000000000
2026/09/19 08:21:58.284, 1, 77, 192.85, 100, 14953, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:21:59.297, 0, 78, 50.67, 100, 15658, 1240, 715, P0, 0x0000000000000000
