timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 08:33:11.361, 0, 70, 44.19, 0, 16073, 1189, 715, P0, 0x0000000000000000
2026/09/19 08:33:11.365, 1, 71, 52.39, 0, 15256, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:12.371, 0, 73, 115.57, 95, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:12.378, 1, 71, 51.96, 0, 15256, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:13.382, 0, 73, 176.83, 94, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:13.385, 1, 71, 51.85, 0, 15256, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:14.396, 0, 72, 54.35, 0, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:14.401, 1, 72, 134.10, 93, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:15.421, 0, 71, 53.71, 0, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:15.424, 1, 73, 118.10, 93, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:16.430, 0, 73, 119.89, 95, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:16.432, 1, 72, 54.34, 0, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:17.437, 0, 74, 126.52, 94, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:17.440, 1, 71, 53.88, 0, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:18.448, 0, 73, 55.08, 0, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:18.452, 1, 72, 151.79, 92, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:19.459, 0, 72, 54.09, 0, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:19.462, 1, 73, 164.10, 92, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:20.467, 0, 74, 116.51, 95, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:20.470, 1, 72, 54.34, 0, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:21.474, 0, 74, 121.08, 94, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:21.477, 1, 71, 53.86, 0, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:22.481, 0, 74, 56.94, 93, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:22.485, 1, 71, 155.64, 0, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:23.503, 0, 72, 54.51, 0, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:23.506, 1, 73, 156.68, 93, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:24.513, 0, 74, 131.96, 96, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:24.516, 1, 72, 54.57, 0, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:25.529, 0, 74, 118.73, 95, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:25.532, 1, 71, 53.64, 0, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:26.538, 0, 75, 128.92, 95, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:26.540, 1, 71, 53.63, 0, 15484, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:27.553, 0, 72, 54.67, 0, 16225, 1328, 715, P0, 0x0000000000000000
2026/09/19 08:33:27.556, 1, 73, 116.88, 92, 15484, 1328, 715, P0, 0x0000000000000000
