timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 10:45:01.331, 0, 75, 46.14, 0, 7767, 1189, 715, P0, 0x0000000000000000
2026/09/19 10:45:01.334, 1, 46, 39.58, 0, 8309, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:02.340, 0, 80, 230.25, 100, 7965, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:02.343, 1, 49, 179.52, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:03.353, 0, 79, 157.89, 99, 7965, 1189, 715, P0, 0x0000000000000020
2026/09/19 10:45:03.356, 1, 50, 179.44, 75, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:04.367, 0, 79, 144.73, 100, 7965, 1088, 715, P0, 0x0000000000000020
2026/09/19 10:45:04.376, 1, 51, 164.05, 90, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:05.384, 0, 79, 141.29, 100, 7965, 1113, 715, P0, 0x0000000000000020
2026/09/19 10:45:05.393, 1, 51, 42.74, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:06.400, 0, 79, 142.18, 100, 7965, 1088, 715, P0, 0x0000000000000020
2026/09/19 10:45:06.403, 1, 53, 106.35, 97, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:07.408, 0, 79, 129.08, 100, 7965, 1050, 715, P0, 0x0000000000000000
2026/09/19 10:45:07.417, 1, 53, 172.90, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:08.424, 0, 79, 122.40, 98, 7965, 1050, 715, P0, 0x0000000000000000
2026/09/19 10:45:08.427, 1, 53, 176.64, 83, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:09.439, 0, 79, 110.87, 100, 7965, 1050, 715, P0, 0x0000000000000000
2026/09/19 10:45:09.442, 1, 52, 43.31, 52, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:10.455, 0, 79, 134.42, 100, 7965, 1075, 715, P0, 0x0000000000000000
2026/09/19 10:45:10.459, 1, 54, 171.11, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:11.472, 0, 79, 115.37, 98, 7965, 987, 715, P0, 0x0000000000000000
2026/09/19 10:45:11.478, 1, 54, 180.99, 38, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:12.486, 0, 79, 129.82, 100, 7965, 1050, 715, P0, 0x0000000000000020
2026/09/19 10:45:12.497, 1, 55, 58.64, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:13.502, 0, 80, 132.52, 100, 7965, 1037, 715, P0, 0x0000000000000020
2026/09/19 10:45:13.504, 1, 55, 168.50, 88, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:14.520, 0, 79, 108.52, 100, 7965, 1050, 715, P0, 0x0000000000000000
2026/09/19 10:45:14.523, 1, 54, 44.05, 95, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:15.538, 0, 79, 111.99, 98, 7965, 810, 715, P0, 0x0000000000000020
2026/09/19 10:45:15.542, 1, 55, 153.15, 66, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:16.550, 0, 79, 118.04, 100, 7965, 835, 715, P0, 0x0000000000000020
2026/09/19 10:45:16.562, 1, 56, 180.15, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:17.579, 0, 79, 100.65, 100, 7965, 911, 715, P0, 0x0000000000000000
2026/09/19 10:45:17.582, 1, 55, 44.52, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:18.596, 0, 79, 89.66, 100, 7965, 860, 715, P0, 0x0000000000000000
2026/09/19 10:45:18.601, 1, 54, 43.60, 36, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:19.615, 0, 79, 105.58, 100, 7965, 746, 715, P0, 0x0000000000000020
2026/09/19 10:45:19.622, 1, 55, 181.78, 59, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 10:45:20.631, 0, 79, 115.96, 99, 7965, 797, 715, P0, 0x0000000000000000
