timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 17:34:52.950, 0, 72, 53.09, 0, 11948, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:52.954, 1, 72, 52.58, 0, 11435, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:53.973, 0, 74, 54.76, 0, 12008, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:53.979, 1, 74, 175.56, 98, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:54.996, 0, 77, 189.79, 100, 12008, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:55.000, 1, 75, 177.19, 100, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:56.008, 0, 78, 190.02, 100, 12008, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:56.011, 1, 74, 56.55, 74, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:57.022, 0, 77, 58.14, 50, 12008, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:57.025, 1, 75, 180.46, 30, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:58.037, 0, 78, 193.32, 100, 12008, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:58.040, 1, 76, 181.20, 100, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:59.051, 0, 79, 194.52, 100, 12008, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:34:59.056, 1, 76, 60.86, 100, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:00.062, 0, 80, 195.29, 100, 12008, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:00.066, 1, 75, 57.03, 34, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:01.074, 0, 78, 173.83, 45, 12008, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:01.077, 1, 77, 177.01, 35, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:02.089, 0, 79, 167.79, 97, 12008, 1290, 715, P0, 0x0000000000000000
2026/09/19 17:35:02.092, 1, 77, 181.06, 100, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:03.103, 0, 79, 170.80, 100, 12008, 1303, 715, P0, 0x0000000000000000
2026/09/19 17:35:03.106, 1, 77, 70.96, 100, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:04.117, 0, 80, 160.07, 100, 12008, 1227, 715, P0, 0x0000000000000020
2026/09/19 17:35:04.122, 1, 76, 57.62, 79, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:05.133, 0, 78, 51.66, 100, 12008, 1240, 715, P0, 0x0000000000000000
2026/09/19 17:35:05.138, 1, 77, 177.74, 54, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:06.147, 0, 79, 153.03, 50, 12008, 1227, 715, P0, 0x0000000000000020
2026/09/19 17:35:06.149, 1, 77, 179.18, 100, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:07.161, 0, 79, 148.51, 18, 12008, 1215, 715, P0, 0x0000000000000000
2026/09/19 17:35:07.164, 1, 78, 185.16, 100, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:08.175, 0, 79, 156.95, 100, 12008, 1227, 715, P0, 0x0000000000000020
2026/09/19 17:35:08.185, 1, 78, 189.14, 100, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:09.200, 0, 79, 146.19, 100, 12008, 1227, 715, P0, 0x0000000000000020
2026/09/19 17:35:09.203, 1, 78, 180.40, 100, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:10.214, 0, 79, 138.15, 100, 12008, 1189, 715, P0, 0x0000000000000000
2026/09/19 17:35:10.217, 1, 78, 80.65, 100, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:11.231, 0, 79, 139.91, 100, 12008, 1189, 715, P0, 0x0000000000000020
2026/09/19 17:35:11.234, 1, 78, 59.58, 99, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:12.241, 0, 79, 139.75, 100, 12008, 1177, 715, P0, 0x0000000000000020
2026/09/19 17:35:12.247, 1, 78, 59.33, 92, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:13.255, 0, 80, 138.09, 100, 12008, 1189, 715, P0, 0x0000000000000000
2026/09/19 17:35:13.258, 1, 78, 58.87, 57, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:14.270, 0, 80, 144.00, 100, 12008, 1189, 715, P0, 0x0000000000000000
2026/09/19 17:35:14.273, 1, 77, 58.84, 46, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:15.283, 0, 79, 127.72, 100, 12008, 1113, 715, P0, 0x0000000000000020
2026/09/19 17:35:15.289, 1, 77, 58.42, 0, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:16.296, 0, 79, 125.31, 100, 12008, 1139, 715, P0, 0x0000000000000020
2026/09/19 17:35:16.306, 1, 77, 58.43, 4, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:17.311, 0, 79, 132.97, 100, 12008, 1164, 715, P0, 0x0000000000000020
2026/09/19 17:35:17.313, 1, 78, 58.86, 44, 11495, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:35:18.324, 0, 79, 143.38, 100, 12008, 1189, 715, P0, 0x0000000000000020
2026/09/19 17:35:18.327, 1, 77, 54.77, 0, 11495, 1290, 715, P0, 0x0000000000000000
2026/09/19 17:35:19.340, 0, 79, 127.48, 100, 12008, 1139, 715, P0, 0x0000000000000020
2026/09/19 17:35:19.347, 1, 77, 55.51, 0, 11495, 1303, 715, P0, 0x0000000000000000
2026/09/19 17:35:20.354, 0, 80, 128.87, 100, 12008, 1126, 715, P0, 0x0000000000000020
2026/09/19 17:35:20.358, 1, 78, 56.98, 0, 11495, 1316, 715, P0, 0x0000000000000000
2026/09/19 17:35:21.367, 0, 80, 121.07, 100, 12008, 1126, 715, P0, 0x0000000000000000
2026/09/19 17:35:21.370, 1, 78, 55.31, 6, 11495, 1290, 715, P0, 0x0000000000000000
2026/09/19 17:35:22.383, 0, 79, 119.89, 100, 12008, 1101, 715, P0, 0x0000000000000020
2026/09/19 17:35:22.388, 1, 79, 56.53, 59, 11495, 1316, 715, P0, 0x0000000000000020
2026/09/19 17:35:23.395, 0, 79, 110.57, 100, 12008, 1063, 715, P0, 0x0000000000000000
2026/09/19 17:35:23.398, 1, 79, 62.55, 100, 11495, 1328, 715, P0, 0x0000000000000000
