timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 09:17:22.436, 0, 72, 44.91, 0, 11014, 1189, 715, P0, 0x0000000000000000
2026/09/19 09:17:22.440, 1, 72, 54.07, 0, 12231, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:23.447, 0, 74, 156.08, 100, 11330, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:23.450, 1, 72, 53.78, 0, 12231, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:24.460, 0, 76, 197.29, 100, 11330, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:24.463, 1, 72, 53.89, 0, 12231, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:25.471, 0, 74, 53.57, 0, 11330, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:25.475, 1, 74, 174.89, 99, 12547, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:26.495, 0, 76, 179.09, 100, 11330, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:26.498, 1, 76, 163.59, 99, 12547, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:27.512, 0, 76, 56.68, 51, 11330, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:27.515, 1, 74, 179.15, 25, 12547, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:28.520, 0, 77, 209.46, 100, 11330, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:28.523, 1, 76, 204.51, 100, 12547, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:29.529, 0, 78, 197.21, 100, 11330, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:29.533, 1, 75, 56.50, 0, 12547, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:30.545, 0, 75, 55.30, 0, 11330, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:30.548, 1, 76, 163.91, 100, 12547, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:31.560, 0, 78, 184.48, 100, 11330, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:31.563, 1, 77, 189.73, 100, 12547, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:32.570, 0, 79, 74.02, 100, 11330, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:32.573, 1, 74, 186.94, 0, 12547, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:17:33.585, 0, 78, 173.49, 100, 11330, 1328, 715, P0, 0x0000000000000000
