timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 09:05:47.818, 0, 69, 43.72, 0, 15970, 1189, 715, P0, 0x0000000000000000
2026/09/19 09:05:47.821, 1, 70, 44.18, 0, 15154, 1189, 715, P0, 0x0000000000000000
2026/09/19 09:05:48.827, 0, 74, 184.84, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:48.831, 1, 69, 43.90, 0, 15154, 1189, 715, P0, 0x0000000000000000
2026/09/19 09:05:49.843, 0, 74, 188.53, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:49.848, 1, 72, 54.17, 49, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:50.853, 0, 75, 186.01, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:50.856, 1, 74, 166.42, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:51.861, 0, 75, 199.79, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:51.867, 1, 74, 175.82, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:52.876, 0, 74, 187.48, 0, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:52.878, 1, 74, 171.76, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:53.886, 0, 75, 55.73, 70, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:53.889, 1, 73, 178.46, 26, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:54.898, 0, 76, 193.49, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:54.901, 1, 73, 54.86, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:55.911, 0, 76, 190.64, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:55.914, 1, 75, 78.29, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:56.971, 0, 76, 191.84, 89, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:56.974, 1, 75, 185.52, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:57.983, 0, 74, 55.51, 2, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:57.985, 1, 75, 183.56, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:58.996, 0, 77, 198.02, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:05:58.999, 1, 73, 55.10, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:00.009, 0, 77, 188.52, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:00.013, 1, 75, 57.47, 54, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:01.023, 0, 77, 185.43, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:01.026, 1, 76, 186.08, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:02.033, 0, 76, 201.28, 38, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:02.037, 1, 76, 180.09, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:03.045, 0, 76, 57.17, 22, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:03.051, 1, 75, 181.20, 82, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:04.057, 0, 79, 192.84, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:04.060, 1, 74, 56.06, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:05.070, 0, 79, 191.02, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:05.073, 1, 76, 60.61, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:06.084, 0, 78, 192.13, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:06.087, 1, 76, 188.51, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:07.095, 0, 76, 56.65, 0, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:07.098, 1, 76, 183.39, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:08.113, 0, 79, 96.46, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:08.116, 1, 74, 143.04, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:09.128, 0, 79, 195.49, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:09.131, 1, 76, 57.51, 71, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:10.137, 0, 79, 178.88, 100, 16030, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:10.142, 1, 77, 189.00, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:11.147, 0, 77, 54.30, 0, 16030, 1316, 715, P0, 0x0000000000000000
2026/09/19 09:06:11.150, 1, 77, 180.07, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:12.156, 0, 79, 152.51, 100, 16030, 1240, 715, P0, 0x0000000000000000
2026/09/19 09:06:12.159, 1, 75, 56.42, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:13.168, 0, 79, 168.58, 100, 16030, 1303, 715, P0, 0x0000000000000000
2026/09/19 09:06:13.171, 1, 77, 63.53, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:14.185, 0, 79, 174.03, 53, 16030, 1290, 715, P0, 0x0000000000000000
2026/09/19 09:06:14.192, 1, 77, 183.71, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:15.198, 0, 78, 54.30, 73, 16030, 1303, 715, P0, 0x0000000000000000
2026/09/19 09:06:15.201, 1, 77, 181.77, 14, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:16.212, 0, 80, 155.62, 100, 16030, 1265, 715, P0, 0x0000000000000000
2026/09/19 09:06:16.216, 1, 76, 57.58, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:17.229, 0, 79, 161.93, 100, 16030, 1252, 715, P0, 0x0000000000000020
2026/09/19 09:06:17.235, 1, 78, 185.44, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:18.254, 0, 77, 51.88, 0, 16030, 1265, 715, P0, 0x0000000000000000
2026/09/19 09:06:18.258, 1, 77, 178.86, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:19.266, 0, 80, 136.91, 100, 16030, 1164, 715, P0, 0x0000000000000020
2026/09/19 09:06:19.269, 1, 76, 57.18, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:20.279, 0, 79, 139.77, 100, 16030, 1215, 715, P0, 0x0000000000000000
2026/09/19 09:06:20.283, 1, 78, 187.40, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:21.289, 0, 78, 154.67, 28, 16030, 1240, 715, P0, 0x0000000000000020
2026/09/19 09:06:21.291, 1, 78, 184.08, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:22.303, 0, 79, 71.20, 100, 16030, 1189, 715, P0, 0x0000000000000000
2026/09/19 09:06:22.308, 1, 76, 137.54, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:23.317, 0, 79, 140.65, 100, 16030, 1202, 715, P0, 0x0000000000000020
2026/09/19 09:06:23.320, 1, 77, 59.06, 69, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:24.328, 0, 78, 149.76, 31, 16030, 1189, 715, P0, 0x0000000000000000
2026/09/19 09:06:24.331, 1, 78, 190.51, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:25.339, 0, 80, 144.07, 100, 16030, 1189, 715, P0, 0x0000000000000020
2026/09/19 09:06:25.342, 1, 76, 57.44, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:26.352, 0, 79, 132.34, 100, 16030, 1164, 715, P0, 0x0000000000000020
2026/09/19 09:06:26.355, 1, 78, 60.80, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:27.361, 0, 77, 51.42, 0, 16030, 1252, 715, P0, 0x0000000000000000
2026/09/19 09:06:27.364, 1, 78, 180.29, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:28.377, 0, 79, 136.72, 100, 16030, 1189, 715, P0, 0x0000000000000020
2026/09/19 09:06:28.380, 1, 77, 58.38, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:29.389, 0, 78, 112.84, 100, 16030, 1050, 715, P0, 0x0000000000000020
2026/09/19 09:06:29.397, 1, 79, 187.05, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:30.413, 0, 78, 47.81, 100, 16030, 1189, 715, P0, 0x0000000000000000
2026/09/19 09:06:30.416, 1, 77, 187.08, 0, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:31.427, 0, 79, 134.97, 100, 16030, 1189, 715, P0, 0x0000000000000000
2026/09/19 09:06:31.430, 1, 78, 60.06, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:32.442, 0, 77, 124.83, 0, 16030, 1189, 715, P0, 0x0000000000000000
2026/09/19 09:06:32.446, 1, 79, 183.85, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:33.452, 0, 80, 132.68, 100, 16030, 1189, 715, P0, 0x0000000000000020
2026/09/19 09:06:33.460, 1, 77, 55.74, 0, 15214, 1316, 715, P0, 0x0000000000000000
2026/09/19 09:06:34.465, 0, 80, 149.28, 100, 16030, 1202, 715, P0, 0x0000000000000020
2026/09/19 09:06:34.468, 1, 80, 190.12, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:35.477, 0, 78, 48.06, 27, 16030, 1189, 715, P0, 0x0000000000000000
2026/09/19 09:06:35.480, 1, 79, 185.39, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:36.486, 0, 79, 131.72, 100, 16030, 1139, 715, P0, 0x0000000000000000
2026/09/19 09:06:36.488, 1, 77, 55.05, 0, 15214, 1290, 715, P0, 0x0000000000000000
2026/09/19 09:06:37.500, 0, 79, 133.40, 100, 16030, 1164, 715, P0, 0x0000000000000020
2026/09/19 09:06:37.503, 1, 79, 176.54, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:38.514, 0, 78, 52.64, 64, 16030, 1290, 715, P0, 0x0000000000000000
2026/09/19 09:06:38.519, 1, 78, 162.79, 12, 15214, 1265, 715, P0, 0x0000000000000000
2026/09/19 09:06:39.525, 0, 79, 141.23, 100, 16030, 1202, 715, P0, 0x0000000000000000
2026/09/19 09:06:39.529, 1, 78, 56.21, 74, 15214, 1303, 715, P0, 0x0000000000000000
2026/09/19 09:06:40.535, 0, 78, 135.07, 42, 16030, 1151, 715, P0, 0x0000000000000020
2026/09/19 09:06:40.542, 1, 79, 171.76, 100, 15214, 1303, 715, P0, 0x0000000000000000
2026/09/19 09:06:41.552, 0, 79, 147.34, 100, 16030, 1189, 715, P0, 0x0000000000000020
2026/09/19 09:06:41.555, 1, 77, 55.71, 0, 15214, 1316, 715, P0, 0x0000000000000000
2026/09/19 09:06:42.565, 0, 79, 141.35, 100, 16030, 1202, 715, P0, 0x0000000000000020
2026/09/19 09:06:42.568, 1, 80, 175.81, 100, 15214, 1316, 715, P0, 0x0000000000000000
2026/09/19 09:06:43.581, 0, 78, 54.07, 0, 16030, 1303, 715, P0, 0x0000000000000000
2026/09/19 09:06:43.586, 1, 79, 176.77, 100, 15214, 1290, 715, P0, 0x0000000000000020
2026/09/19 09:06:44.596, 0, 79, 135.00, 100, 16030, 1164, 715, P0, 0x0000000000000020
2026/09/19 09:06:44.607, 1, 78, 54.08, 26, 15214, 1265, 715, P0, 0x0000000000000000
2026/09/19 09:06:45.621, 0, 79, 132.17, 64, 16030, 1177, 715, P0, 0x0000000000000000
2026/09/19 09:06:45.627, 1, 80, 187.37, 100, 15214, 1328, 715, P0, 0x0000000000000000
2026/09/19 09:06:46.631, 0, 79, 116.10, 100, 16030, 1101, 715, P0, 0x0000000000000020
2026/09/19 09:06:46.634, 1, 77, 55.82, 0, 15214, 1316, 715, P0, 0x0000000000000000
2026/09/19 09:06:47.647, 0, 79, 130.67, 100, 16030, 1164, 715, P0, 0x0000000000000020
2026/09/19 09:06:47.650, 1, 79, 161.03, 100, 15214, 1278, 715, P0, 0x0000000000000020
