timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 02:50:20.564, 0, 68, 42.98, 0, 15356, 1189, 715, P0, 0x0000000000000000
2026/09/19 02:50:20.568, 1, 68, 50.44, 0, 14540, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:21.577, 0, 71, 177.04, 100, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:21.582, 1, 68, 50.57, 0, 14540, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:22.587, 0, 72, 186.22, 74, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:22.589, 1, 71, 170.33, 100, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:23.613, 0, 70, 172.54, 0, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:23.616, 1, 71, 170.09, 100, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:24.622, 0, 72, 53.83, 68, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:24.626, 1, 71, 175.31, 54, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:25.638, 0, 74, 186.10, 100, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:25.641, 1, 70, 52.97, 0, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:26.649, 0, 74, 188.27, 100, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:26.652, 1, 71, 54.42, 44, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:27.662, 0, 74, 188.67, 100, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:27.665, 1, 73, 183.39, 100, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:28.675, 0, 73, 191.06, 0, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:28.680, 1, 73, 176.57, 100, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:29.686, 0, 73, 54.76, 80, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:29.689, 1, 72, 181.90, 44, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:30.697, 0, 75, 193.01, 100, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:30.701, 1, 71, 53.20, 0, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:31.708, 0, 76, 195.17, 100, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:31.711, 1, 74, 184.37, 100, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:32.722, 0, 75, 187.74, 97, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:32.725, 1, 74, 176.95, 100, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:33.734, 0, 74, 54.97, 0, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:33.736, 1, 73, 182.42, 36, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:34.747, 0, 76, 189.85, 100, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:34.750, 1, 72, 54.19, 0, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:35.755, 0, 77, 192.19, 100, 15416, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:35.759, 1, 73, 55.86, 100, 14600, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:50:36.766, 0, 76, 191.58, 100, 15416, 1328, 715, P0, 0x0000000000000000
