timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 11:03:23.646, 0, 74, 53.58, 0, 10757, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:03:23.649, 1, 74, 54.28, 0, 11462, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:03:24.657, 0, 78, 202.58, 100, 10877, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:03:24.661, 1, 77, 184.16, 100, 11582, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:03:25.666, 0, 79, 182.10, 100, 10877, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:03:25.668, 1, 78, 186.20, 100, 11582, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:03:26.679, 0, 79, 172.95, 99, 10877, 1278, 715, P0, 0x0000000000000020
2026/09/19 11:03:26.682, 1, 79, 188.64, 100, 11582, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:03:27.691, 0, 79, 161.95, 100, 10877, 1265, 715, P0, 0x0000000000000000
2026/09/19 11:03:27.696, 1, 79, 179.95, 62, 11582, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:03:28.704, 0, 79, 129.45, 100, 10877, 1227, 715, P0, 0x0000000000000000
2026/09/19 11:03:28.707, 1, 79, 165.74, 100, 11582, 1290, 715, P0, 0x0000000000000000
2026/09/19 11:03:29.722, 0, 79, 137.22, 99, 10877, 1215, 715, P0, 0x0000000000000000
2026/09/19 11:03:29.725, 1, 79, 173.76, 87, 11582, 1303, 715, P0, 0x0000000000000000
2026/09/19 11:03:30.734, 0, 79, 154.77, 100, 10877, 1227, 715, P0, 0x0000000000000020
2026/09/19 11:03:30.738, 1, 79, 130.95, 100, 11582, 1252, 715, P0, 0x0000000000000000
2026/09/19 11:03:31.753, 0, 79, 132.12, 99, 10877, 1189, 715, P0, 0x0000000000000000
2026/09/19 11:03:31.756, 1, 79, 153.83, 100, 11582, 1240, 715, P0, 0x0000000000000000
2026/09/19 11:03:32.766, 0, 79, 139.04, 100, 10877, 1177, 715, P0, 0x0000000000000020
2026/09/19 11:03:32.770, 1, 79, 128.26, 100, 11582, 1240, 715, P0, 0x0000000000000000
2026/09/19 11:03:33.781, 0, 79, 119.61, 99, 10877, 1189, 715, P0, 0x0000000000000000
2026/09/19 11:03:33.785, 1, 79, 152.93, 73, 11582, 1240, 715, P0, 0x0000000000000020
2026/09/19 11:03:34.793, 0, 79, 109.97, 100, 10877, 1126, 715, P0, 0x0000000000000000
