timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 04:46:00.140, 0, 73, 54.06, 0, 15023, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:00.143, 1, 73, 54.50, 0, 15564, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:01.150, 0, 78, 235.10, 100, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:01.153, 1, 73, 54.54, 0, 15564, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:02.163, 0, 77, 226.78, 0, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:02.169, 1, 75, 172.34, 80, 15914, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:03.180, 0, 79, 212.59, 100, 15373, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:03.183, 1, 77, 212.93, 100, 15914, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:04.194, 0, 77, 48.53, 39, 15373, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:04.197, 1, 76, 216.54, 39, 15914, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:05.209, 0, 79, 172.65, 100, 15373, 1227, 715, P0, 0x0000000000000000
2026/09/19 04:46:05.212, 1, 78, 210.10, 100, 15914, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:06.223, 0, 79, 170.76, 100, 15373, 1227, 715, P0, 0x0000000000000020
2026/09/19 04:46:06.226, 1, 76, 57.15, 0, 15914, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:07.235, 0, 79, 172.54, 100, 15373, 1240, 715, P0, 0x0000000000000020
2026/09/19 04:46:07.238, 1, 78, 196.90, 100, 15914, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:08.250, 0, 79, 154.14, 100, 15373, 1075, 715, P0, 0x0000000000000020
2026/09/19 04:46:08.260, 1, 77, 58.39, 0, 15914, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:09.279, 0, 79, 138.65, 100, 15373, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:09.282, 1, 79, 205.29, 100, 15914, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:10.293, 0, 79, 135.58, 100, 15373, 1139, 715, P0, 0x0000000000000020
2026/09/19 04:46:10.298, 1, 80, 178.23, 100, 15914, 1290, 715, P0, 0x0000000000000020
2026/09/19 04:46:11.307, 0, 79, 139.69, 83, 15373, 1177, 715, P0, 0x0000000000000000
2026/09/19 04:46:11.310, 1, 79, 214.94, 100, 15914, 1328, 715, P0, 0x0000000000000000
2026/09/19 04:46:12.319, 0, 79, 169.56, 100, 15373, 1113, 715, P0, 0x0000000000000020
2026/09/19 04:46:12.322, 1, 80, 164.01, 100, 15914, 1316, 715, P0, 0x0000000000000020
2026/09/19 04:46:13.336, 0, 80, 142.64, 100, 15373, 1101, 715, P0, 0x0000000000000020
2026/09/19 04:46:13.341, 1, 77, 56.57, 0, 15914, 1316, 715, P0, 0x0000000000000000
2026/09/19 04:46:14.351, 0, 79, 120.34, 100, 15373, 1164, 715, P0, 0x0000000000000000
2026/09/19 04:46:14.354, 1, 80, 190.35, 100, 15914, 1303, 715, P0, 0x0000000000000000
2026/09/19 04:46:15.362, 0, 80, 131.31, 100, 15373, 1025, 715, P0, 0x0000000000000020
2026/09/19 04:46:15.366, 1, 78, 54.84, 79, 15914, 1278, 715, P0, 0x0000000000000000
2026/09/19 04:46:16.376, 0, 79, 105.92, 100, 15373, 1113, 715, P0, 0x0000000000000000
2026/09/19 04:46:16.385, 1, 79, 181.06, 100, 15914, 1252, 715, P0, 0x0000000000000020
2026/09/19 04:46:17.405, 0, 79, 126.14, 100, 15373, 1101, 715, P0, 0x0000000000000000
2026/09/19 04:46:17.408, 1, 79, 170.68, 100, 15914, 1227, 715, P0, 0x0000000000000020
2026/09/19 04:46:18.422, 0, 79, 48.59, 100, 15373, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:18.424, 1, 78, 155.98, 0, 15914, 1240, 715, P0, 0x0000000000000000
2026/09/19 04:46:19.440, 0, 79, 100.57, 100, 15373, 1126, 715, P0, 0x0000000000000000
2026/09/19 04:46:19.447, 1, 79, 116.01, 100, 15914, 1151, 715, P0, 0x0000000000000000
2026/09/19 04:46:20.456, 0, 79, 125.64, 100, 15373, 987, 715, P0, 0x0000000000000020
2026/09/19 04:46:20.459, 1, 78, 50.30, 45, 15914, 1316, 715, P0, 0x0000000000000020
2026/09/19 04:46:21.468, 0, 79, 122.05, 83, 15373, 1063, 715, P0, 0x0000000000000000
2026/09/19 04:46:21.471, 1, 79, 140.97, 100, 15914, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:22.484, 0, 79, 113.01, 100, 15373, 1063, 715, P0, 0x0000000000000000
2026/09/19 04:46:22.491, 1, 80, 147.45, 100, 15914, 1189, 715, P0, 0x0000000000000020
2026/09/19 04:46:23.498, 0, 79, 97.80, 100, 15373, 594, 715, P0, 0x0000000000000020
2026/09/19 04:46:23.501, 1, 78, 54.94, 0, 15914, 1290, 715, P0, 0x0000000000000000
2026/09/19 04:46:24.511, 0, 78, 130.17, 100, 15373, 949, 715, P0, 0x0000000000000020
2026/09/19 04:46:24.514, 1, 79, 135.59, 100, 15914, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:25.531, 0, 79, 114.15, 100, 15373, 708, 715, P0, 0x0000000000000020
2026/09/19 04:46:25.537, 1, 79, 166.11, 100, 15914, 1139, 715, P0, 0x0000000000000020
2026/09/19 04:46:26.561, 0, 79, 126.12, 100, 15373, 810, 715, P0, 0x0000000000000000
2026/09/19 04:46:26.576, 1, 77, 49.33, 0, 15914, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:27.590, 0, 78, 126.23, 38, 15373, 1037, 715, P0, 0x0000000000000020
2026/09/19 04:46:27.594, 1, 77, 78.82, 100, 15914, 847, 715, P0, 0x0000000000000000
2026/09/19 04:46:28.605, 0, 79, 147.74, 100, 15373, 1037, 715, P0, 0x0000000000000020
2026/09/19 04:46:28.615, 1, 78, 131.85, 100, 15914, 987, 715, P0, 0x0000000000000020
2026/09/19 04:46:29.633, 0, 79, 89.49, 100, 15373, 670, 715, P0, 0x0000000000000000
2026/09/19 04:46:29.639, 1, 79, 127.64, 100, 15914, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:30.650, 0, 79, 96.38, 82, 15373, 746, 715, P0, 0x0000000000000000
2026/09/19 04:46:30.659, 1, 79, 165.97, 100, 15914, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:31.667, 0, 79, 107.44, 100, 15373, 772, 715, P0, 0x0000000000000000
2026/09/19 04:46:31.679, 1, 80, 152.67, 100, 15914, 1139, 715, P0, 0x0000000000000020
2026/09/19 04:46:32.697, 0, 79, 137.06, 100, 15373, 822, 715, P0, 0x0000000000000020
2026/09/19 04:46:32.700, 1, 78, 50.00, 0, 15914, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:33.713, 0, 79, 127.89, 69, 15373, 860, 715, P0, 0x0000000000000020
2026/09/19 04:46:33.720, 1, 78, 112.96, 100, 15914, 1227, 715, P0, 0x0000000000000000
2026/09/19 04:46:34.729, 0, 79, 108.58, 100, 15373, 961, 715, P0, 0x0000000000000000
2026/09/19 04:46:34.739, 1, 79, 143.29, 100, 15914, 1126, 715, P0, 0x0000000000000020
2026/09/19 04:46:35.744, 0, 79, 95.38, 100, 15373, 1075, 715, P0, 0x0000000000000000
2026/09/19 04:46:35.747, 1, 78, 52.76, 41, 15914, 1252, 715, P0, 0x0000000000000000
2026/09/19 04:46:36.760, 0, 79, 104.44, 28, 15373, 860, 715, P0, 0x0000000000000000
2026/09/19 04:46:36.763, 1, 79, 115.74, 100, 15914, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:37.776, 0, 79, 122.60, 100, 15373, 974, 715, P0, 0x0000000000000000
2026/09/19 04:46:37.781, 1, 79, 125.85, 100, 15914, 911, 715, P0, 0x0000000000000020
2026/09/19 04:46:38.789, 0, 79, 145.93, 100, 15373, 860, 715, P0, 0x0000000000000020
2026/09/19 04:46:38.803, 1, 79, 123.64, 100, 15914, 1126, 715, P0, 0x0000000000000020
2026/09/19 04:46:39.820, 0, 79, 120.07, 55, 15373, 923, 715, P0, 0x0000000000000000
2026/09/19 04:46:39.823, 1, 79, 152.61, 100, 15914, 1101, 715, P0, 0x0000000000000020
2026/09/19 04:46:40.833, 0, 79, 123.25, 100, 15373, 936, 715, P0, 0x0000000000000000
2026/09/19 04:46:40.843, 1, 79, 135.65, 100, 15914, 1126, 715, P0, 0x0000000000000020
2026/09/19 04:46:41.847, 0, 79, 124.44, 100, 15373, 987, 715, P0, 0x0000000000000000
2026/09/19 04:46:41.851, 1, 79, 49.57, 100, 15914, 1189, 715, P0, 0x0000000000000000
2026/09/19 04:46:42.863, 0, 79, 130.20, 52, 15373, 860, 715, P0, 0x0000000000000020
