timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 02:57:58.617, 0, 73, 45.38, 0, 6678, 1189, 715, P0, 0x0000000000000000
2026/09/19 02:57:58.621, 1, 73, 53.10, 0, 6401, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:57:59.628, 0, 78, 200.16, 100, 6724, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:57:59.631, 1, 76, 182.89, 100, 6447, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:58:00.648, 0, 79, 196.58, 100, 6724, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:58:00.650, 1, 77, 190.12, 100, 6447, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:58:01.659, 0, 80, 188.04, 99, 6724, 1316, 715, P0, 0x0000000000000020
2026/09/19 02:58:01.662, 1, 77, 187.67, 33, 6447, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:58:02.672, 0, 80, 164.14, 100, 6724, 1265, 715, P0, 0x0000000000000000
2026/09/19 02:58:02.675, 1, 79, 190.01, 100, 6447, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:58:03.689, 0, 79, 148.66, 99, 6724, 1189, 715, P0, 0x0000000000000020
2026/09/19 02:58:03.691, 1, 78, 191.98, 100, 6447, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:58:04.697, 0, 79, 150.57, 100, 6724, 1189, 715, P0, 0x0000000000000020
2026/09/19 02:58:04.700, 1, 78, 61.01, 82, 6447, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:58:05.710, 0, 79, 140.67, 99, 6724, 1189, 715, P0, 0x0000000000000020
2026/09/19 02:58:05.712, 1, 79, 195.31, 100, 6447, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:58:06.723, 0, 79, 147.67, 100, 6724, 1202, 715, P0, 0x0000000000000020
2026/09/19 02:58:06.729, 1, 79, 70.56, 100, 6447, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:58:07.736, 0, 79, 131.69, 99, 6724, 1139, 715, P0, 0x0000000000000020
2026/09/19 02:58:07.739, 1, 79, 177.93, 54, 6447, 1316, 715, P0, 0x0000000000000020
2026/09/19 02:58:08.752, 0, 79, 141.62, 100, 6724, 1139, 715, P0, 0x0000000000000020
2026/09/19 02:58:08.755, 1, 79, 183.84, 100, 6447, 1328, 715, P0, 0x0000000000000000
2026/09/19 02:58:09.762, 0, 79, 132.49, 100, 6724, 1139, 715, P0, 0x0000000000000020
2026/09/19 02:58:09.770, 1, 78, 56.26, 69, 6447, 1316, 715, P0, 0x0000000000000000
2026/09/19 02:58:10.775, 0, 79, 136.49, 99, 6724, 1139, 715, P0, 0x0000000000000020
2026/09/19 02:58:10.778, 1, 79, 167.22, 61, 6447, 1278, 715, P0, 0x0000000000000000
2026/09/19 02:58:11.786, 0, 79, 134.34, 100, 6724, 1139, 715, P0, 0x0000000000000020
2026/09/19 02:58:11.790, 1, 79, 166.99, 100, 6447, 1290, 715, P0, 0x0000000000000020
2026/09/19 02:58:12.800, 0, 79, 131.32, 100, 6724, 1139, 715, P0, 0x0000000000000020
2026/09/19 02:58:12.811, 1, 78, 53.13, 90, 6447, 1252, 715, P0, 0x0000000000000000
2026/09/19 02:58:13.815, 0, 79, 111.45, 100, 6724, 1037, 715, P0, 0x0000000000000000
2026/09/19 02:58:13.818, 1, 79, 166.81, 0, 6447, 1290, 715, P0, 0x0000000000000020
2026/09/19 02:58:14.833, 0, 79, 114.89, 99, 6724, 1063, 715, P0, 0x0000000000000000
2026/09/19 02:58:14.836, 1, 79, 157.16, 88, 6447, 1240, 715, P0, 0x0000000000000000
2026/09/19 02:58:15.847, 0, 79, 112.89, 100, 6724, 1063, 715, P0, 0x0000000000000000
2026/09/19 02:58:15.853, 1, 79, 162.99, 100, 6447, 1252, 715, P0, 0x0000000000000000
2026/09/19 02:58:16.859, 0, 79, 111.98, 100, 6724, 1050, 715, P0, 0x0000000000000000
2026/09/19 02:58:16.862, 1, 79, 153.92, 100, 6447, 1215, 715, P0, 0x0000000000000000
2026/09/19 02:58:17.875, 0, 79, 117.09, 100, 6724, 1050, 715, P0, 0x0000000000000020
2026/09/19 02:58:17.878, 1, 78, 52.71, 100, 6447, 1227, 715, P0, 0x0000000000000000
2026/09/19 02:58:18.884, 0, 79, 112.75, 100, 6724, 1050, 715, P0, 0x0000000000000000
2026/09/19 02:58:18.892, 1, 78, 55.35, 0, 6447, 1290, 715, P0, 0x0000000000000000
2026/09/19 02:58:19.911, 0, 79, 117.07, 99, 6724, 1050, 715, P0, 0x0000000000000020
2026/09/19 02:58:19.915, 1, 78, 143.72, 27, 6447, 1189, 715, P0, 0x0000000000000000
2026/09/19 02:58:20.927, 0, 79, 112.97, 99, 6724, 1050, 715, P0, 0x0000000000000020
2026/09/19 02:58:20.932, 1, 79, 154.94, 92, 6447, 1252, 715, P0, 0x0000000000000000
2026/09/19 02:58:21.942, 0, 79, 114.45, 100, 6724, 1050, 715, P0, 0x0000000000000020
2026/09/19 02:58:21.952, 1, 79, 140.03, 100, 6447, 1189, 715, P0, 0x0000000000000020
2026/09/19 02:58:22.971, 0, 79, 111.63, 100, 6724, 1037, 715, P0, 0x0000000000000000
2026/09/19 02:58:22.975, 1, 79, 148.19, 100, 6447, 1202, 715, P0, 0x0000000000000000
2026/09/19 02:58:23.988, 0, 79, 116.62, 100, 6724, 1063, 715, P0, 0x0000000000000000
2026/09/19 02:58:23.993, 1, 79, 141.61, 100, 6447, 1177, 715, P0, 0x0000000000000020
2026/09/19 02:58:25.003, 0, 79, 114.51, 100, 6724, 1050, 715, P0, 0x0000000000000020
2026/09/19 02:58:25.010, 1, 79, 139.77, 100, 6447, 1189, 715, P0, 0x0000000000000020
2026/09/19 02:58:26.015, 0, 79, 116.62, 100, 6724, 1025, 715, P0, 0x0000000000000020
2026/09/19 02:58:26.018, 1, 79, 139.31, 100, 6447, 1189, 715, P0, 0x0000000000000000
2026/09/19 02:58:27.026, 0, 79, 112.30, 100, 6724, 1075, 715, P0, 0x0000000000000000
2026/09/19 02:58:27.032, 1, 79, 51.75, 100, 6447, 1202, 715, P0, 0x0000000000000000
2026/09/19 02:58:28.041, 0, 79, 120.46, 100, 6724, 1050, 715, P0, 0x0000000000000020
2026/09/19 02:58:28.052, 1, 78, 50.76, 93, 6447, 1189, 715, P0, 0x0000000000000000
2026/09/19 02:58:29.071, 0, 79, 111.08, 100, 6724, 1037, 715, P0, 0x0000000000000000
2026/09/19 02:58:29.073, 1, 78, 52.95, 89, 6447, 1252, 715, P0, 0x0000000000000000
2026/09/19 02:58:30.087, 0, 79, 113.95, 100, 6724, 1050, 715, P0, 0x0000000000000020
2026/09/19 02:58:30.091, 1, 78, 56.32, 0, 6447, 1303, 715, P0, 0x0000000000000000
2026/09/19 02:58:31.099, 0, 79, 111.30, 100, 6724, 1063, 715, P0, 0x0000000000000020
2026/09/19 02:58:31.102, 1, 78, 133.27, 4, 6447, 1316, 715, P0, 0x0000000000000000
2026/09/19 02:58:32.114, 0, 79, 115.04, 100, 6724, 1063, 715, P0, 0x0000000000000020
2026/09/19 02:58:32.117, 1, 78, 160.39, 11, 6447, 1126, 715, P0, 0x0000000000000020
