timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 11:50:44.513, 0, 72, 53.58, 20, 14936, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:44.516, 1, 73, 53.55, 26, 13970, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:45.522, 0, 74, 55.24, 0, 14996, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:45.526, 1, 75, 174.17, 98, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:46.535, 0, 77, 60.29, 100, 14996, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:46.538, 1, 74, 175.49, 10, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:47.546, 0, 77, 198.35, 19, 14996, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:47.549, 1, 76, 179.63, 100, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:48.560, 0, 78, 196.89, 100, 14996, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:48.563, 1, 77, 180.04, 100, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:49.570, 0, 79, 195.55, 100, 14996, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:49.573, 1, 78, 196.00, 100, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:50.582, 0, 79, 194.92, 100, 14996, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:50.586, 1, 76, 58.22, 50, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:51.593, 0, 78, 60.05, 100, 14996, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:51.596, 1, 77, 181.43, 6, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:52.605, 0, 78, 183.26, 37, 14996, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:52.608, 1, 78, 178.60, 74, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:53.617, 0, 79, 179.15, 50, 14996, 1316, 715, P0, 0x0000000000000020
2026/09/19 11:50:53.620, 1, 78, 180.16, 100, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:54.632, 0, 79, 169.80, 100, 14996, 1278, 715, P0, 0x0000000000000020
2026/09/19 11:50:54.635, 1, 78, 185.96, 100, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:55.645, 0, 79, 154.21, 100, 14996, 1240, 715, P0, 0x0000000000000000
2026/09/19 11:50:55.648, 1, 79, 182.97, 100, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:56.659, 0, 80, 161.86, 100, 14996, 1265, 715, P0, 0x0000000000000000
2026/09/19 11:50:56.662, 1, 78, 65.00, 100, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:57.670, 0, 80, 163.79, 100, 14996, 1252, 715, P0, 0x0000000000000000
2026/09/19 11:50:57.673, 1, 78, 59.50, 88, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:58.684, 0, 79, 144.86, 100, 14996, 1202, 715, P0, 0x0000000000000000
2026/09/19 11:50:58.689, 1, 77, 58.85, 53, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:50:59.709, 0, 79, 159.01, 100, 14996, 1240, 715, P0, 0x0000000000000020
2026/09/19 11:50:59.714, 1, 78, 58.82, 0, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:51:00.720, 0, 79, 58.18, 86, 14996, 1265, 715, P0, 0x0000000000000020
2026/09/19 11:51:00.724, 1, 78, 168.79, 18, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:51:01.729, 0, 79, 58.67, 90, 14996, 1252, 715, P0, 0x0000000000000000
2026/09/19 11:51:01.734, 1, 78, 165.74, 14, 14030, 1328, 715, P0, 0x0000000000000000
2026/09/19 11:51:02.743, 0, 79, 56.05, 91, 14996, 1252, 715, P0, 0x0000000000000000
2026/09/19 11:51:02.747, 1, 78, 161.37, 14, 14030, 1290, 715, P0, 0x0000000000000000
2026/09/19 11:51:03.760, 0, 79, 50.00, 94, 14996, 1189, 715, P0, 0x0000000000000000
