timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 21:25:04.047, 0, 75, 46.62, 0, 7767, 1189, 715, P0, 0x0000000000000000
2026/09/19 21:25:04.052, 1, 46, 39.58, 0, 8309, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:05.070, 0, 79, 223.43, 100, 7965, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:05.074, 1, 49, 161.26, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:06.081, 0, 79, 163.45, 100, 7965, 1177, 715, P0, 0x0000000000000020
2026/09/19 21:25:06.084, 1, 50, 172.14, 88, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:07.098, 0, 79, 160.27, 100, 7965, 1177, 715, P0, 0x0000000000000020
2026/09/19 21:25:07.101, 1, 50, 167.20, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:08.113, 0, 79, 137.14, 100, 7965, 1139, 715, P0, 0x0000000000000000
2026/09/19 21:25:08.119, 1, 51, 42.77, 48, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:09.128, 0, 79, 148.32, 100, 7965, 1101, 715, P0, 0x0000000000000020
2026/09/19 21:25:09.140, 1, 52, 179.12, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:10.154, 0, 79, 141.43, 100, 7965, 1126, 715, P0, 0x0000000000000000
2026/09/19 21:25:10.160, 1, 53, 182.62, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:11.172, 0, 79, 121.44, 98, 7965, 961, 715, P0, 0x0000000000000020
2026/09/19 21:25:11.180, 1, 53, 176.30, 74, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:12.198, 0, 79, 119.05, 100, 7965, 961, 715, P0, 0x0000000000000000
2026/09/19 21:25:12.203, 1, 52, 43.04, 83, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:13.217, 0, 79, 108.52, 100, 7965, 974, 715, P0, 0x0000000000000000
2026/09/19 21:25:13.222, 1, 54, 181.95, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:14.232, 0, 79, 123.31, 100, 7965, 1012, 715, P0, 0x0000000000000000
2026/09/19 21:25:14.242, 1, 52, 43.06, 54, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:15.261, 0, 79, 122.45, 100, 7965, 999, 715, P0, 0x0000000000000020
2026/09/19 21:25:15.264, 1, 54, 157.04, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:16.278, 0, 79, 125.70, 100, 7965, 923, 715, P0, 0x0000000000000020
2026/09/19 21:25:16.284, 1, 53, 66.76, 68, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:17.293, 0, 79, 120.77, 100, 7965, 936, 715, P0, 0x0000000000000020
2026/09/19 21:25:17.305, 1, 55, 157.99, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:18.311, 0, 79, 118.33, 100, 7965, 1025, 715, P0, 0x0000000000000000
2026/09/19 21:25:18.314, 1, 54, 43.52, 5, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:19.328, 0, 79, 123.85, 100, 7965, 911, 715, P0, 0x0000000000000020
2026/09/19 21:25:19.331, 1, 55, 178.51, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:20.343, 0, 79, 124.27, 100, 7965, 923, 715, P0, 0x0000000000000020
2026/09/19 21:25:20.346, 1, 55, 44.49, 67, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:21.357, 0, 79, 117.26, 98, 7965, 1025, 715, P0, 0x0000000000000000
2026/09/19 21:25:21.365, 1, 55, 182.62, 75, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:22.386, 0, 79, 108.34, 100, 7965, 923, 715, P0, 0x0000000000000000
2026/09/19 21:25:22.390, 1, 56, 175.52, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:23.400, 0, 79, 118.36, 100, 7965, 987, 715, P0, 0x0000000000000000
2026/09/19 21:25:23.407, 1, 55, 163.40, 14, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:24.417, 0, 79, 101.95, 100, 7965, 987, 715, P0, 0x0000000000000000
2026/09/19 21:25:24.427, 1, 57, 173.73, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:25.448, 0, 79, 120.65, 100, 7965, 949, 715, P0, 0x0000000000000020
2026/09/19 21:25:25.451, 1, 56, 45.95, 100, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:26.463, 0, 79, 98.70, 100, 7965, 632, 715, P0, 0x0000000000000000
2026/09/19 21:25:26.472, 1, 57, 178.05, 4, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:27.477, 0, 79, 97.51, 100, 7965, 632, 715, P0, 0x0000000000000000
2026/09/19 21:25:27.493, 1, 57, 168.93, 0, 8507, 1328, 715, P0, 0x0000000000000000
2026/09/19 21:25:28.510, 0, 79, 93.25, 98, 7965, 607, 715, P0, 0x0000000000000000
