timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 23:16:38.818, 0, 72, 44.89, 0, 14622, 1189, 715, P0, 0x0000000000000000
2026/09/19 23:16:38.821, 1, 72, 53.83, 25, 14109, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:39.832, 0, 73, 54.00, 0, 14682, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:39.837, 1, 75, 177.18, 77, 14169, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:40.843, 0, 76, 191.94, 36, 14682, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:40.848, 1, 75, 179.65, 72, 14169, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:41.858, 0, 77, 188.99, 100, 14682, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:41.862, 1, 76, 110.73, 100, 14169, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:42.872, 0, 78, 82.79, 100, 14682, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:42.876, 1, 75, 160.60, 39, 14169, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:43.883, 0, 78, 194.30, 25, 14682, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:43.886, 1, 77, 184.73, 55, 14169, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:44.899, 0, 79, 193.59, 100, 14682, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:44.902, 1, 77, 179.39, 100, 14169, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:45.912, 0, 79, 193.01, 100, 14682, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:45.917, 1, 76, 58.72, 39, 14169, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:46.925, 0, 78, 60.00, 100, 14682, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:46.928, 1, 77, 183.80, 34, 14169, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:47.939, 0, 79, 180.12, 24, 14682, 1316, 715, P0, 0x0000000000000000
2026/09/19 23:16:47.942, 1, 78, 185.90, 100, 14169, 1328, 715, P0, 0x0000000000000000
2026/09/19 23:16:48.952, 0, 79, 192.07, 100, 14682, 1328, 715, P0, 0x0000000000000000
