timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 20:08:57.861, 0, 73, 51.15, 0, 14276, 1316, 715, P0, 0x0000000000000000
2026/09/19 20:08:57.865, 1, 73, 54.76, 0, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:08:58.877, 0, 76, 157.23, 100, 14638, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:08:58.881, 1, 73, 54.71, 0, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:08:59.888, 0, 77, 160.28, 100, 14638, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:08:59.890, 1, 72, 54.23, 0, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:00.898, 0, 77, 227.45, 0, 14638, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:00.901, 1, 74, 141.35, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:01.909, 0, 78, 171.17, 100, 14638, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:01.915, 1, 76, 147.34, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:02.924, 0, 79, 157.75, 100, 14638, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:02.927, 1, 75, 57.17, 56, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:03.934, 0, 79, 151.21, 100, 14638, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:03.937, 1, 77, 211.77, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:04.946, 0, 79, 183.59, 100, 14638, 1101, 715, P0, 0x0000000000000020
2026/09/19 20:09:04.952, 1, 77, 205.73, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:05.958, 0, 79, 166.96, 100, 14638, 1202, 715, P0, 0x0000000000000020
2026/09/19 20:09:05.961, 1, 75, 56.92, 0, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:06.969, 0, 78, 168.84, 100, 14638, 1278, 715, P0, 0x0000000000000000
2026/09/19 20:09:06.973, 1, 78, 162.51, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:07.981, 0, 79, 191.87, 100, 14638, 1303, 715, P0, 0x0000000000000000
2026/09/19 20:09:07.984, 1, 78, 219.44, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:08.995, 0, 78, 50.62, 9, 14638, 1240, 715, P0, 0x0000000000000000
2026/09/19 20:09:08.999, 1, 77, 211.71, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:10.012, 0, 79, 131.81, 100, 14638, 1278, 715, P0, 0x0000000000000000
2026/09/19 20:09:10.017, 1, 79, 150.68, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:11.024, 0, 78, 105.49, 100, 14638, 936, 715, P0, 0x0000000000000000
2026/09/19 20:09:11.027, 1, 79, 161.99, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:12.038, 0, 77, 48.74, 0, 14638, 1202, 715, P0, 0x0000000000000000
2026/09/19 20:09:12.041, 1, 78, 212.92, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:13.050, 0, 79, 175.17, 100, 14638, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:13.053, 1, 79, 214.91, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:14.065, 0, 79, 122.74, 100, 14638, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:14.068, 1, 79, 229.05, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:15.083, 0, 78, 124.75, 0, 14638, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:15.087, 1, 79, 169.80, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:16.097, 0, 79, 128.39, 100, 14638, 1037, 715, P0, 0x0000000000000000
2026/09/19 20:09:16.105, 1, 80, 167.54, 100, 14364, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:09:17.114, 0, 79, 100.91, 100, 14638, 1063, 715, P0, 0x0000000000000000
2026/09/19 20:09:17.126, 1, 78, 100.55, 100, 14364, 999, 715, P0, 0x0000000000000000
2026/09/19 20:09:18.143, 0, 78, 127.66, 0, 14638, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:18.146, 1, 78, 110.11, 100, 14364, 1113, 715, P0, 0x0000000000000000
2026/09/19 20:09:19.158, 0, 79, 144.46, 100, 14638, 1151, 715, P0, 0x0000000000000000
2026/09/19 20:09:19.167, 1, 79, 165.30, 100, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:20.173, 0, 79, 134.42, 100, 14638, 1164, 715, P0, 0x0000000000000000
2026/09/19 20:09:20.176, 1, 79, 124.53, 100, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:21.186, 0, 78, 54.77, 0, 14638, 1316, 715, P0, 0x0000000000000000
2026/09/19 20:09:21.189, 1, 78, 179.24, 80, 14364, 1252, 715, P0, 0x0000000000000000
2026/09/19 20:09:22.203, 0, 79, 148.10, 100, 14638, 1050, 715, P0, 0x0000000000000020
2026/09/19 20:09:22.210, 1, 79, 127.94, 100, 14364, 1252, 715, P0, 0x0000000000000000
2026/09/19 20:09:23.218, 0, 78, 109.63, 100, 14638, 582, 715, P0, 0x0000000000000020
2026/09/19 20:09:23.235, 1, 79, 173.33, 100, 14364, 1303, 715, P0, 0x0000000000000000
2026/09/19 20:09:24.247, 0, 79, 124.91, 100, 14638, 734, 715, P0, 0x0000000000000020
2026/09/19 20:09:24.254, 1, 77, 50.54, 0, 14364, 1215, 715, P0, 0x0000000000000000
2026/09/19 20:09:25.260, 0, 78, 126.72, 100, 14638, 1063, 715, P0, 0x0000000000000000
2026/09/19 20:09:25.271, 1, 79, 187.72, 100, 14364, 1290, 715, P0, 0x0000000000000000
2026/09/19 20:09:26.277, 0, 79, 143.59, 100, 14638, 1012, 715, P0, 0x0000000000000020
2026/09/19 20:09:26.280, 1, 80, 200.91, 100, 14364, 1265, 715, P0, 0x0000000000000020
2026/09/19 20:09:27.293, 0, 79, 115.61, 100, 14638, 873, 715, P0, 0x0000000000000020
2026/09/19 20:09:27.296, 1, 78, 56.82, 0, 14364, 1316, 715, P0, 0x0000000000000000
2026/09/19 20:09:28.306, 0, 79, 114.81, 74, 14638, 1012, 715, P0, 0x0000000000000000
2026/09/19 20:09:28.314, 1, 79, 191.89, 100, 14364, 1252, 715, P0, 0x0000000000000000
2026/09/19 20:09:29.322, 0, 79, 112.85, 100, 14638, 1088, 715, P0, 0x0000000000000000
2026/09/19 20:09:29.325, 1, 80, 172.42, 100, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:30.343, 0, 79, 145.83, 100, 14638, 999, 715, P0, 0x0000000000000020
2026/09/19 20:09:30.346, 1, 79, 57.94, 100, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:31.355, 0, 79, 164.10, 0, 14638, 1113, 715, P0, 0x0000000000000020
2026/09/19 20:09:31.358, 1, 79, 127.08, 100, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:32.367, 0, 79, 102.22, 100, 14638, 455, 715, P0, 0x0000000000000020
2026/09/19 20:09:32.384, 1, 79, 132.10, 100, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:33.397, 0, 79, 110.08, 100, 14638, 784, 715, P0, 0x0000000000000020
2026/09/19 20:09:33.401, 1, 79, 126.60, 100, 14364, 1189, 715, P0, 0x0000000000000020
2026/09/19 20:09:34.413, 0, 79, 101.85, 100, 14638, 949, 715, P0, 0x0000000000000000
2026/09/19 20:09:34.419, 1, 77, 49.37, 0, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:35.437, 0, 79, 131.31, 100, 14638, 797, 715, P0, 0x0000000000000020
2026/09/19 20:09:35.442, 1, 79, 158.26, 100, 14364, 1189, 715, P0, 0x0000000000000020
2026/09/19 20:09:36.451, 0, 79, 142.66, 100, 14638, 847, 715, P0, 0x0000000000000020
2026/09/19 20:09:36.462, 1, 79, 175.97, 100, 14364, 1189, 715, P0, 0x0000000000000020
2026/09/19 20:09:37.479, 0, 79, 131.96, 100, 14638, 1012, 715, P0, 0x0000000000000000
2026/09/19 20:09:37.482, 1, 79, 104.01, 100, 14364, 1025, 715, P0, 0x0000000000000000
2026/09/19 20:09:38.504, 0, 78, 49.03, 34, 14638, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:38.510, 1, 78, 160.68, 100, 14364, 1101, 715, P0, 0x0000000000000020
2026/09/19 20:09:39.519, 0, 79, 145.71, 100, 14638, 1113, 715, P0, 0x0000000000000000
2026/09/19 20:09:39.522, 1, 79, 160.79, 100, 14364, 1139, 715, P0, 0x0000000000000020
2026/09/19 20:09:40.536, 0, 80, 124.29, 100, 14638, 911, 715, P0, 0x0000000000000020
2026/09/19 20:09:40.543, 1, 79, 137.43, 100, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:41.551, 0, 79, 68.54, 100, 14638, 405, 715, P0, 0x0000000000000020
2026/09/19 20:09:41.572, 1, 78, 55.46, 0, 14364, 1303, 715, P0, 0x0000000000000000
2026/09/19 20:09:42.581, 0, 78, 101.55, 100, 14638, 923, 715, P0, 0x0000000000000000
2026/09/19 20:09:42.585, 1, 79, 118.60, 100, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:43.597, 0, 79, 111.93, 100, 14638, 911, 715, P0, 0x0000000000000000
2026/09/19 20:09:43.605, 1, 80, 129.54, 100, 14364, 1177, 715, P0, 0x0000000000000020
2026/09/19 20:09:44.611, 0, 79, 131.55, 100, 14638, 873, 715, P0, 0x0000000000000020
2026/09/19 20:09:44.614, 1, 79, 103.37, 100, 14364, 1037, 715, P0, 0x0000000000000000
2026/09/19 20:09:45.631, 0, 78, 49.08, 0, 14638, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:45.634, 1, 79, 128.59, 54, 14364, 1101, 715, P0, 0x0000000000000020
2026/09/19 20:09:46.650, 0, 79, 86.60, 100, 14638, 544, 715, P0, 0x0000000000000020
2026/09/19 20:09:46.654, 1, 79, 166.09, 100, 14364, 1075, 715, P0, 0x0000000000000020
2026/09/19 20:09:47.679, 0, 79, 97.88, 100, 14638, 544, 715, P0, 0x0000000000000020
2026/09/19 20:09:47.691, 1, 80, 164.73, 100, 14364, 1189, 715, P0, 0x0000000000000020
2026/09/19 20:09:48.697, 0, 79, 99.93, 100, 14638, 645, 715, P0, 0x0000000000000000
2026/09/19 20:09:48.711, 1, 78, 49.61, 0, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:49.729, 0, 78, 48.36, 92, 14638, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:49.732, 1, 78, 142.40, 49, 14364, 1189, 715, P0, 0x0000000000000020
2026/09/19 20:09:50.744, 0, 79, 106.57, 100, 14638, 1050, 715, P0, 0x0000000000000000
2026/09/19 20:09:50.747, 1, 80, 179.16, 100, 14364, 1202, 715, P0, 0x0000000000000000
2026/09/19 20:09:51.758, 0, 79, 107.35, 100, 14638, 1012, 715, P0, 0x0000000000000000
2026/09/19 20:09:51.768, 1, 79, 99.18, 100, 14364, 734, 715, P0, 0x0000000000000000
2026/09/19 20:09:52.773, 0, 80, 106.64, 100, 14638, 936, 715, P0, 0x0000000000000000
2026/09/19 20:09:52.777, 1, 78, 50.11, 18, 14364, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:09:53.782, 0, 79, 116.10, 100, 14638, 1101, 715, P0, 0x0000000000000000
