timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 20:33:55.689, 0, 74, 46.38, 0, 8138, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:33:55.692, 1, 47, 39.81, 0, 7857, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:33:56.702, 0, 79, 204.01, 100, 8184, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:33:56.705, 1, 50, 165.65, 100, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:33:57.712, 0, 80, 164.70, 99, 8184, 1265, 715, P0, 0x0000000000000000
2026/09/19 20:33:57.719, 1, 51, 167.82, 29, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:33:58.728, 0, 79, 162.97, 100, 8184, 1227, 715, P0, 0x0000000000000020
2026/09/19 20:33:58.732, 1, 50, 41.99, 100, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:33:59.748, 0, 79, 148.07, 100, 8184, 1177, 715, P0, 0x0000000000000020
2026/09/19 20:33:59.751, 1, 52, 165.91, 100, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:34:00.767, 0, 79, 137.45, 100, 8184, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:34:00.770, 1, 51, 117.38, 0, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:34:01.777, 0, 79, 117.16, 100, 8184, 1075, 715, P0, 0x0000000000000000
2026/09/19 20:34:01.789, 1, 53, 166.89, 100, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:34:02.807, 0, 79, 124.71, 100, 8184, 1075, 715, P0, 0x0000000000000020
2026/09/19 20:34:02.810, 1, 52, 42.54, 48, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:34:03.817, 0, 79, 116.93, 100, 8184, 1075, 715, P0, 0x0000000000000020
2026/09/19 20:34:03.825, 1, 53, 169.24, 49, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:34:04.831, 0, 79, 117.65, 100, 8184, 1075, 715, P0, 0x0000000000000020
2026/09/19 20:34:04.834, 1, 54, 168.82, 100, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:34:05.848, 0, 79, 123.51, 100, 8184, 1075, 715, P0, 0x0000000000000020
2026/09/19 20:34:05.852, 1, 53, 42.81, 78, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:34:06.862, 0, 79, 123.31, 99, 8184, 1075, 715, P0, 0x0000000000000020
2026/09/19 20:34:06.868, 1, 53, 168.28, 0, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:34:07.874, 0, 79, 116.68, 100, 8184, 1075, 715, P0, 0x0000000000000020
2026/09/19 20:34:07.878, 1, 55, 169.98, 100, 7903, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:34:08.889, 0, 79, 118.13, 100, 8184, 1075, 715, P0, 0x0000000000000000
2026/09/19 20:34:08.892, 1, 55, 168.72, 100, 7903, 1328, 715, P0, 0x0000000000000000
