timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 20:41:50.105, 0, 74, 46.10, 0, 7598, 1189, 715, P0, 0x0000000000000000
2026/09/19 20:41:50.109, 1, 74, 55.25, 0, 7319, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:41:51.118, 0, 79, 200.93, 100, 7644, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:41:51.121, 1, 77, 187.59, 100, 7365, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:41:52.131, 0, 80, 187.70, 99, 7644, 1303, 715, P0, 0x0000000000000020
2026/09/19 20:41:52.228, 1, 79, 191.02, 100, 7365, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:41:53.234, 0, 79, 155.61, 99, 7644, 1215, 715, P0, 0x0000000000000020
2026/09/19 20:41:53.239, 1, 78, 187.69, 18, 7365, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:41:54.245, 0, 79, 151.52, 100, 7644, 1202, 715, P0, 0x0000000000000020
2026/09/19 20:41:54.248, 1, 79, 190.88, 100, 7365, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:41:55.259, 0, 79, 139.33, 99, 7644, 1139, 715, P0, 0x0000000000000020
2026/09/19 20:41:55.263, 1, 79, 191.88, 22, 7365, 1328, 715, P0, 0x0000000000000000
2026/09/19 20:41:56.274, 0, 79, 146.66, 100, 7644, 1139, 715, P0, 0x0000000000000020
2026/09/19 20:41:56.282, 1, 77, 56.26, 100, 7365, 442, 715, P0, 0x0000000000000000
2026/09/19 20:41:57.296, 0, 79, 135.50, 100, 7644, 1177, 715, P0, 0x0000000000000000
2026/09/19 20:41:57.302, 1, 77, 107.77, 100, 7365, 987, 715, P0, 0x0000000000000020
2026/09/19 20:41:58.313, 0, 79, 124.45, 100, 7644, 1101, 715, P0, 0x0000000000000000
2026/09/19 20:41:58.322, 1, 78, 128.87, 100, 7365, 1126, 715, P0, 0x0000000000000020
