timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/18 21:46:59.660, 0, 72, 44.92, 0, 13281, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:46:59.667, 1, 73, 54.07, 0, 13281, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:00.685, 0, 73, 137.34, 79, 13353, 1316, 715, P0, 0x0000000000000000
2026/09/18 21:47:00.688, 1, 74, 127.05, 88, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:01.695, 0, 75, 150.60, 79, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:01.699, 1, 75, 151.90, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:02.708, 0, 76, 164.50, 79, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:02.711, 1, 76, 138.38, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:03.719, 0, 77, 148.35, 79, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:03.722, 1, 76, 145.77, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:04.735, 0, 77, 100.35, 76, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:04.737, 1, 76, 99.42, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:05.750, 0, 77, 148.65, 67, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:05.753, 1, 76, 148.52, 96, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:06.763, 0, 78, 161.64, 75, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:06.766, 1, 77, 150.83, 93, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:07.775, 0, 78, 158.19, 82, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:07.778, 1, 77, 157.34, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:08.785, 0, 78, 151.40, 80, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:08.788, 1, 77, 138.31, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:09.793, 0, 78, 150.78, 80, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:09.796, 1, 77, 140.06, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:10.806, 0, 79, 168.79, 80, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:10.808, 1, 78, 141.99, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:11.815, 0, 79, 156.23, 81, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:11.818, 1, 78, 142.90, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:12.825, 0, 77, 113.68, 75, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:12.828, 1, 77, 110.03, 80, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:13.833, 0, 77, 115.88, 75, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:13.836, 1, 77, 113.39, 79, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:14.846, 0, 78, 164.95, 70, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:14.846, 1, 78, 153.15, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:15.855, 0, 79, 174.75, 82, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:15.858, 1, 78, 168.88, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:16.868, 0, 79, 170.98, 80, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:16.871, 1, 79, 167.65, 98, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:17.877, 0, 79, 142.28, 80, 13353, 1290, 715, P0, 0x0000000000000000
2026/09/18 21:47:17.880, 1, 79, 144.40, 96, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:18.887, 0, 79, 143.09, 80, 13353, 1303, 715, P0, 0x0000000000000000
2026/09/18 21:47:18.890, 1, 79, 173.18, 96, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:19.901, 0, 79, 140.33, 82, 13353, 1303, 715, P0, 0x0000000000000000
2026/09/18 21:47:19.904, 1, 79, 146.15, 97, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:20.913, 0, 79, 132.44, 81, 13353, 1316, 715, P0, 0x0000000000000020
2026/09/18 21:47:20.916, 1, 79, 154.50, 97, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:21.926, 0, 79, 135.25, 81, 13353, 1303, 715, P0, 0x0000000000000000
2026/09/18 21:47:21.929, 1, 80, 132.32, 96, 13353, 1252, 715, P0, 0x0000000000000000
2026/09/18 21:47:22.937, 0, 80, 132.13, 82, 13353, 1303, 715, P0, 0x0000000000000020
2026/09/18 21:47:22.941, 1, 79, 141.67, 99, 13353, 1290, 715, P0, 0x0000000000000000
2026/09/18 21:47:23.963, 0, 80, 149.89, 82, 13353, 1303, 715, P0, 0x0000000000000000
2026/09/18 21:47:23.967, 1, 79, 163.49, 96, 13353, 1316, 715, P0, 0x0000000000000000
2026/09/18 21:47:24.976, 0, 79, 125.89, 83, 13353, 1227, 715, P0, 0x0000000000000000
2026/09/18 21:47:24.979, 1, 79, 155.32, 92, 13353, 1316, 715, P0, 0x0000000000000000
2026/09/18 21:47:25.987, 0, 79, 142.61, 81, 13353, 1265, 715, P0, 0x0000000000000020
2026/09/18 21:47:25.994, 1, 79, 139.20, 93, 13353, 1303, 715, P0, 0x0000000000000020
2026/09/18 21:47:27.014, 0, 79, 105.01, 83, 13353, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:47:27.017, 1, 79, 113.35, 93, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:28.026, 0, 79, 110.37, 82, 13353, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:47:28.029, 1, 79, 140.77, 93, 13353, 1316, 715, P0, 0x0000000000000020
2026/09/18 21:47:29.038, 0, 79, 112.15, 83, 13353, 1202, 715, P0, 0x0000000000000000
2026/09/18 21:47:29.041, 1, 79, 132.87, 94, 13353, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:47:30.052, 0, 79, 122.99, 82, 13353, 1189, 715, P0, 0x0000000000000020
2026/09/18 21:47:30.062, 1, 79, 146.62, 94, 13353, 1316, 715, P0, 0x0000000000000020
2026/09/18 21:47:31.067, 0, 79, 108.01, 83, 13353, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:47:31.070, 1, 79, 99.29, 97, 13353, 1101, 715, P0, 0x0000000000000000
2026/09/18 21:47:32.080, 0, 79, 125.89, 81, 13353, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:47:32.086, 1, 79, 118.23, 99, 13353, 1139, 715, P0, 0x0000000000000020
2026/09/18 21:47:33.095, 0, 80, 127.51, 84, 13353, 1215, 715, P0, 0x0000000000000000
2026/09/18 21:47:33.098, 1, 79, 102.35, 99, 13353, 1113, 715, P0, 0x0000000000000000
2026/09/18 21:47:34.120, 0, 79, 92.76, 85, 13353, 1101, 715, P0, 0x0000000000000000
2026/09/18 21:47:34.128, 1, 79, 112.33, 86, 13353, 1252, 715, P0, 0x0000000000000000
2026/09/18 21:47:35.135, 0, 79, 109.78, 84, 13353, 1164, 715, P0, 0x0000000000000000
2026/09/18 21:47:35.139, 1, 79, 124.89, 91, 13353, 1265, 715, P0, 0x0000000000000000
2026/09/18 21:47:36.152, 0, 79, 115.33, 83, 13353, 1139, 715, P0, 0x0000000000000020
2026/09/18 21:47:36.155, 1, 79, 116.38, 92, 13353, 1278, 715, P0, 0x0000000000000000
2026/09/18 21:47:37.164, 0, 79, 99.82, 85, 13353, 1151, 715, P0, 0x0000000000000000
2026/09/18 21:47:37.170, 1, 79, 124.61, 88, 13353, 1252, 715, P0, 0x0000000000000000
2026/09/18 21:47:38.189, 0, 79, 103.01, 73, 13353, 1101, 715, P0, 0x0000000000000020
2026/09/18 21:47:38.193, 1, 79, 109.65, 92, 13353, 1202, 715, P0, 0x0000000000000000
2026/09/18 21:47:39.203, 0, 78, 79.93, 79, 13353, 1265, 715, P0, 0x0000000000000000
