timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/18 23:45:52.251, 0, 69, 50.95, 0, 15600, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:52.255, 1, 69, 51.64, 0, 15600, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:53.274, 0, 71, 126.86, 67, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:53.278, 1, 71, 122.63, 84, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:54.299, 0, 72, 140.21, 67, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:54.302, 1, 72, 112.70, 85, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:55.310, 0, 73, 120.46, 67, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:55.313, 1, 72, 142.89, 85, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:56.322, 0, 73, 142.53, 69, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:56.325, 1, 73, 118.34, 85, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:57.338, 0, 73, 114.10, 68, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:57.343, 1, 73, 141.66, 85, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:58.365, 0, 74, 147.60, 69, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:58.368, 1, 73, 122.77, 84, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:59.379, 0, 74, 138.23, 68, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:45:59.382, 1, 73, 144.77, 85, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:00.404, 0, 74, 132.32, 69, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:00.407, 1, 73, 139.26, 84, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:01.413, 0, 74, 150.88, 73, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:01.415, 1, 74, 122.30, 88, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:02.423, 0, 75, 153.74, 59, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:02.426, 1, 74, 134.32, 74, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:03.436, 0, 75, 111.24, 73, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:03.438, 1, 74, 152.96, 86, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:04.449, 0, 75, 144.15, 74, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:04.454, 1, 74, 147.32, 86, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:05.460, 0, 76, 125.23, 71, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:05.463, 1, 74, 147.73, 86, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:06.471, 0, 76, 149.14, 73, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:06.474, 1, 75, 136.32, 86, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:07.479, 0, 75, 114.88, 71, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:07.482, 1, 74, 112.29, 75, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:08.488, 0, 75, 114.35, 71, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:08.491, 1, 74, 113.48, 75, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:09.498, 0, 75, 128.70, 53, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:09.501, 1, 74, 170.05, 66, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:10.506, 0, 76, 154.82, 73, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:10.509, 1, 75, 170.51, 89, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:11.515, 0, 77, 158.67, 75, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:11.519, 1, 76, 126.30, 88, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:12.538, 0, 77, 161.27, 76, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:12.540, 1, 76, 164.96, 87, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:13.551, 0, 77, 161.33, 74, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:13.554, 1, 76, 157.13, 88, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:14.560, 0, 78, 164.80, 68, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:14.563, 1, 77, 145.98, 88, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:15.570, 0, 78, 158.32, 76, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:15.573, 1, 77, 162.77, 86, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:16.584, 0, 78, 170.15, 75, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:16.587, 1, 77, 129.02, 89, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:17.606, 0, 78, 181.96, 76, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:17.609, 1, 77, 152.99, 89, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:18.618, 0, 79, 160.87, 76, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:18.621, 1, 77, 153.34, 89, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:19.629, 0, 79, 186.99, 76, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:19.632, 1, 78, 156.68, 89, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:20.644, 0, 79, 131.63, 76, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:20.645, 1, 78, 166.42, 89, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:21.655, 0, 79, 168.21, 77, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:21.658, 1, 78, 118.57, 89, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:22.671, 0, 80, 179.17, 71, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:22.674, 1, 78, 147.40, 87, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:23.684, 0, 78, 116.49, 81, 15676, 1189, 715, P0, 0x0000000000000000
2026/09/18 23:46:23.687, 1, 78, 154.05, 81, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:24.698, 0, 78, 135.26, 78, 15676, 1278, 715, P0, 0x0000000000000020
2026/09/18 23:46:24.701, 1, 78, 151.72, 86, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:25.709, 0, 79, 136.21, 75, 15676, 1278, 715, P0, 0x0000000000000000
2026/09/18 23:46:25.712, 1, 78, 155.61, 86, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:26.725, 0, 79, 167.83, 79, 15676, 1316, 715, P0, 0x0000000000000020
2026/09/18 23:46:26.728, 1, 79, 157.57, 90, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:27.740, 0, 79, 153.82, 80, 15676, 1278, 715, P0, 0x0000000000000000
2026/09/18 23:46:27.746, 1, 79, 165.59, 87, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:28.750, 0, 79, 152.40, 73, 15676, 1303, 715, P0, 0x0000000000000020
2026/09/18 23:46:28.753, 1, 79, 134.31, 85, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:29.761, 0, 79, 128.72, 79, 15676, 1278, 715, P0, 0x0000000000000000
2026/09/18 23:46:29.768, 1, 79, 162.59, 91, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:30.777, 0, 79, 134.96, 82, 15676, 1265, 715, P0, 0x0000000000000000
2026/09/18 23:46:30.780, 1, 79, 153.53, 85, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:31.791, 0, 79, 131.73, 76, 15676, 1227, 715, P0, 0x0000000000000000
2026/09/18 23:46:31.794, 1, 80, 149.73, 84, 15676, 1328, 715, P0, 0x0000000000000000
2026/09/18 23:46:32.807, 0, 79, 136.86, 77, 15676, 1240, 715, P0, 0x0000000000000000
2026/09/18 23:46:32.811, 1, 79, 109.33, 92, 15676, 1189, 715, P0, 0x0000000000000000
2026/09/18 23:46:33.822, 0, 79, 131.99, 80, 15676, 1202, 715, P0, 0x0000000000000020
2026/09/18 23:46:33.825, 1, 78, 136.72, 87, 15676, 1227, 715, P0, 0x0000000000000000
2026/09/18 23:46:34.836, 0, 79, 139.04, 81, 15676, 1202, 715, P0, 0x0000000000000020
2026/09/18 23:46:34.845, 1, 79, 137.32, 88, 15676, 1303, 715, P0, 0x0000000000000000
2026/09/18 23:46:35.864, 0, 79, 121.65, 80, 15676, 1215, 715, P0, 0x0000000000000000
