timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/18 21:00:08.812, 0, 72, 45.40, 0, 13647, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:00:08.816, 1, 72, 53.59, 0, 13647, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:09.825, 0, 73, 134.73, 62, 13719, 1316, 715, P0, 0x0000000000000000
2026/09/18 21:00:09.829, 1, 73, 133.32, 78, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:10.839, 0, 76, 148.25, 79, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:10.842, 1, 75, 150.62, 98, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:11.852, 0, 77, 145.90, 78, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:11.855, 1, 76, 142.15, 98, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:12.865, 0, 77, 146.15, 78, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:12.868, 1, 76, 150.63, 98, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:13.878, 0, 77, 142.37, 79, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:13.880, 1, 76, 145.75, 98, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:14.887, 0, 78, 145.89, 79, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:14.890, 1, 76, 143.82, 98, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:15.898, 0, 78, 114.42, 78, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:15.901, 1, 77, 126.35, 98, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:16.912, 0, 78, 170.43, 80, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:16.916, 1, 77, 146.26, 96, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:17.923, 0, 78, 168.88, 67, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:17.926, 1, 77, 142.96, 78, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:18.937, 0, 79, 168.58, 75, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:18.941, 1, 77, 155.68, 94, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:19.949, 0, 79, 148.43, 75, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:19.952, 1, 78, 155.98, 95, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:20.959, 0, 79, 167.16, 80, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:20.961, 1, 78, 146.46, 98, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:21.969, 0, 78, 116.26, 75, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:21.973, 1, 77, 111.17, 80, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:22.982, 0, 78, 122.51, 75, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:22.985, 1, 77, 115.00, 80, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:23.997, 0, 78, 95.96, 75, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:24.000, 1, 77, 86.10, 80, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:25.012, 0, 79, 170.04, 74, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:25.015, 1, 78, 155.53, 93, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:26.026, 0, 79, 151.04, 75, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:26.029, 1, 78, 146.44, 93, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:27.033, 0, 79, 138.81, 77, 13719, 1278, 715, P0, 0x0000000000000000
2026/09/18 21:00:27.036, 1, 79, 166.02, 91, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:28.042, 0, 79, 145.72, 75, 13719, 1290, 715, P0, 0x0000000000000000
2026/09/18 21:00:28.044, 1, 79, 146.79, 92, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:29.056, 0, 79, 146.82, 76, 13719, 1303, 715, P0, 0x0000000000000020
2026/09/18 21:00:29.061, 1, 79, 170.17, 93, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:30.069, 0, 79, 128.98, 77, 13719, 1303, 715, P0, 0x0000000000000000
2026/09/18 21:00:30.073, 1, 79, 157.94, 93, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:31.082, 0, 79, 107.04, 82, 13719, 1177, 715, P0, 0x0000000000000020
2026/09/18 21:00:31.086, 1, 79, 151.80, 89, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:32.097, 0, 79, 103.13, 78, 13719, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:00:32.100, 1, 80, 145.51, 87, 13719, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:00:33.108, 0, 79, 112.72, 77, 13719, 1151, 715, P0, 0x0000000000000020
2026/09/18 21:00:33.113, 1, 79, 140.61, 89, 13719, 1303, 715, P0, 0x0000000000000000
2026/09/18 21:00:34.122, 0, 79, 112.37, 82, 13719, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:00:34.125, 1, 79, 139.44, 92, 13719, 1316, 715, P0, 0x0000000000000000
2026/09/18 21:00:35.135, 0, 79, 125.24, 83, 13719, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:00:35.138, 1, 79, 134.60, 92, 13719, 1252, 715, P0, 0x0000000000000020
2026/09/18 21:00:36.147, 0, 79, 113.10, 81, 13719, 1202, 715, P0, 0x0000000000000000
2026/09/18 21:00:36.150, 1, 79, 118.93, 96, 13719, 1265, 715, P0, 0x0000000000000000
2026/09/18 21:00:37.160, 0, 79, 117.29, 82, 13719, 1139, 715, P0, 0x0000000000000020
2026/09/18 21:00:37.167, 1, 79, 143.72, 95, 13719, 1303, 715, P0, 0x0000000000000000
2026/09/18 21:00:38.176, 0, 79, 121.01, 83, 13719, 1189, 715, P0, 0x0000000000000020
2026/09/18 21:00:38.179, 1, 79, 140.61, 92, 13719, 1290, 715, P0, 0x0000000000000020
2026/09/18 21:00:39.196, 0, 79, 112.85, 83, 13719, 1151, 715, P0, 0x0000000000000020
2026/09/18 21:00:39.199, 1, 79, 126.73, 95, 13719, 1265, 715, P0, 0x0000000000000000
2026/09/18 21:00:40.230, 0, 79, 121.82, 83, 13719, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:00:40.234, 1, 79, 123.05, 94, 13719, 1303, 715, P0, 0x0000000000000020
2026/09/18 21:00:41.259, 0, 79, 128.48, 81, 13719, 1240, 715, P0, 0x0000000000000020
2026/09/18 21:00:41.262, 1, 79, 122.57, 92, 13719, 1303, 715, P0, 0x0000000000000000
2026/09/18 21:00:42.274, 0, 79, 137.77, 82, 13719, 1240, 715, P0, 0x0000000000000000
