timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/18 22:09:22.491, 0, 73, 44.90, 0, 10469, 1189, 715, P0, 0x0000000000000000
2026/09/18 22:09:22.495, 1, 73, 54.32, 0, 10693, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:23.509, 0, 73, 87.04, 16, 10625, 1189, 715, P0, 0x0000000000000000
2026/09/18 22:09:23.512, 1, 74, 121.84, 5, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:24.522, 0, 75, 117.92, 52, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:24.525, 1, 76, 125.54, 80, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:25.536, 0, 76, 165.02, 58, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:25.539, 1, 76, 109.94, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:26.546, 0, 76, 157.49, 58, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:26.550, 1, 77, 122.02, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:27.555, 0, 77, 148.01, 59, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:27.558, 1, 77, 141.13, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:28.570, 0, 77, 118.36, 60, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:28.573, 1, 77, 142.98, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:29.578, 0, 77, 157.12, 68, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:29.581, 1, 77, 161.15, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:30.591, 0, 77, 155.51, 64, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:30.594, 1, 77, 105.12, 89, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:31.603, 0, 77, 69.21, 67, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:31.606, 1, 77, 68.90, 88, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:32.614, 0, 78, 152.88, 72, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:32.616, 1, 77, 152.45, 86, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:33.625, 0, 78, 124.64, 65, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:33.628, 1, 77, 110.95, 89, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:34.637, 0, 78, 148.75, 65, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:34.641, 1, 78, 146.55, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:35.648, 0, 78, 143.63, 65, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:35.651, 1, 78, 133.60, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:36.658, 0, 78, 120.75, 64, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:36.662, 1, 78, 117.54, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:37.670, 0, 78, 132.91, 75, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:37.673, 1, 77, 128.76, 79, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:38.680, 0, 78, 135.22, 75, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:38.683, 1, 78, 133.26, 79, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:39.689, 0, 78, 148.71, 47, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:39.692, 1, 78, 101.13, 62, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:40.698, 0, 79, 156.99, 62, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:40.701, 1, 78, 149.78, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:41.708, 0, 79, 163.11, 63, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:41.711, 1, 79, 149.40, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:42.720, 0, 79, 95.46, 71, 10625, 1240, 715, P0, 0x0000000000000000
2026/09/18 22:09:42.723, 1, 78, 141.58, 87, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:43.732, 0, 79, 117.06, 65, 10625, 1265, 715, P0, 0x0000000000000020
2026/09/18 22:09:43.739, 1, 79, 140.56, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:44.747, 0, 79, 100.18, 71, 10625, 1316, 715, P0, 0x0000000000000000
2026/09/18 22:09:44.750, 1, 79, 154.25, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:45.763, 0, 79, 130.38, 72, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:45.766, 1, 79, 159.49, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:46.777, 0, 79, 102.67, 70, 10625, 1303, 715, P0, 0x0000000000000000
2026/09/18 22:09:46.780, 1, 79, 143.54, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:47.790, 0, 79, 106.12, 72, 10625, 1316, 715, P0, 0x0000000000000000
2026/09/18 22:09:47.793, 1, 79, 141.12, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:48.797, 0, 79, 118.74, 61, 10625, 1303, 715, P0, 0x0000000000000020
2026/09/18 22:09:48.804, 1, 80, 149.84, 94, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:49.808, 0, 79, 108.70, 71, 10625, 1316, 715, P0, 0x0000000000000000
2026/09/18 22:09:49.812, 1, 79, 126.12, 86, 10849, 1290, 715, P0, 0x0000000000000000
2026/09/18 22:09:50.821, 0, 79, 143.58, 75, 10625, 1303, 715, P0, 0x0000000000000000
2026/09/18 22:09:50.827, 1, 79, 96.10, 88, 10849, 1290, 715, P0, 0x0000000000000020
2026/09/18 22:09:51.837, 0, 79, 132.66, 71, 10625, 1290, 715, P0, 0x0000000000000000
2026/09/18 22:09:51.839, 1, 79, 129.19, 86, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:09:52.850, 0, 79, 95.08, 72, 10625, 1290, 715, P0, 0x0000000000000000
2026/09/18 22:09:52.853, 1, 79, 122.61, 91, 10849, 1290, 715, P0, 0x0000000000000020
2026/09/18 22:09:53.863, 0, 79, 95.84, 64, 10625, 1278, 715, P0, 0x0000000000000000
2026/09/18 22:09:53.866, 1, 79, 124.62, 87, 10849, 1303, 715, P0, 0x0000000000000000
2026/09/18 22:09:54.875, 0, 79, 128.60, 67, 10625, 1265, 715, P0, 0x0000000000000000
2026/09/18 22:09:54.879, 1, 79, 128.93, 91, 10849, 1316, 715, P0, 0x0000000000000020
2026/09/18 22:09:55.888, 0, 79, 105.03, 74, 10625, 1240, 715, P0, 0x0000000000000000
2026/09/18 22:09:55.891, 1, 79, 113.47, 89, 10849, 1278, 715, P0, 0x0000000000000020
2026/09/18 22:09:56.903, 0, 79, 105.26, 77, 10625, 1189, 715, P0, 0x0000000000000020
2026/09/18 22:09:56.906, 1, 79, 104.79, 87, 10849, 1290, 715, P0, 0x0000000000000000
