timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/18 21:23:05.317, 0, 72, 44.90, 0, 13735, 1189, 715, P0, 0x0000000000000000
2026/09/18 21:23:05.320, 1, 72, 53.10, 0, 13735, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:06.333, 0, 74, 138.15, 79, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:06.336, 1, 74, 149.21, 97, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:07.342, 0, 76, 159.08, 79, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:07.345, 1, 75, 134.84, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:08.355, 0, 76, 154.50, 80, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:08.358, 1, 76, 154.52, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:09.369, 0, 77, 153.55, 80, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:09.372, 1, 76, 153.89, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:10.379, 0, 77, 167.74, 81, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:10.383, 1, 76, 144.58, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:11.396, 0, 78, 150.92, 81, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:11.399, 1, 77, 156.87, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:12.420, 0, 78, 163.33, 81, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:12.423, 1, 77, 139.26, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:13.432, 0, 78, 156.36, 81, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:13.438, 1, 77, 159.00, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:14.445, 0, 78, 147.77, 80, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:14.448, 1, 77, 152.61, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:15.457, 0, 79, 155.86, 81, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:15.460, 1, 77, 151.55, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:16.469, 0, 79, 166.05, 81, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:16.472, 1, 78, 158.14, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:17.479, 0, 79, 168.79, 81, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:17.482, 1, 78, 146.08, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:18.488, 0, 79, 173.55, 80, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:18.492, 1, 78, 144.55, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:19.497, 0, 78, 114.98, 75, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:19.500, 1, 77, 117.54, 80, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:20.505, 0, 78, 116.60, 74, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:20.508, 1, 77, 112.71, 79, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:21.526, 0, 79, 158.23, 82, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:21.530, 1, 78, 153.18, 98, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:22.536, 0, 79, 154.80, 82, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:22.541, 1, 79, 153.09, 97, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:23.552, 0, 79, 141.04, 80, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:23.556, 1, 79, 163.87, 97, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:24.560, 0, 80, 139.87, 82, 13807, 1303, 715, P0, 0x0000000000000000
2026/09/18 21:23:24.563, 1, 79, 161.74, 97, 13807, 1328, 715, P0, 0x0000000000000000
2026/09/18 21:23:25.574, 0, 79, 139.12, 83, 13807, 1240, 715, P0, 0x0000000000000020
2026/09/18 21:23:25.583, 1, 79, 144.65, 92, 13807, 1328, 715, P0, 0x0000000000000000
